GEOID,school_id,grade_band,n_expected,p
530330001012,204,es,0.0084,0.002157
530330001012,208,es,0.0089,0.002282
530330001012,210,es,0.3882,0.099604
530330001012,230,es,0.0257,0.006598
530330001012,241,es,0.0244,0.00627
530330001012,247,es,0.0164,0.004205
530330001012,257,es,0.0104,0.00268
530330001012,261,es,2.9995,0.769678
530330001012,262,es,0.0145,0.003731
530330001012,266,es,0.0123,0.003159
530330001012,268,es,0.0254,0.006524
530330001012,287,es,0.0046,0.001185
530330001012,291,es,0.0394,0.010117
530330001012,292,es,0.209,0.053638
530330001012,935,es,0.0049,0.001269
530330001012,971,es,0.0836,0.021449
530330001012,977,es,0.0213,0.005453
530330001013,204,es,0.1906,0.002157
530330001013,208,es,0.2015,0.002281
530330001013,210,es,8.8067,0.099697
530330001013,230,es,0.5823,0.006592
530330001013,241,es,0.5548,0.006281
530330001013,242,es,0.0002,2e-06
530330001013,247,es,0.3717,0.004207
530330001013,257,es,0.2372,0.002685
530330001013,261,es,67.9366,0.769086
530330001013,262,es,0.3302,0.003738
530330001013,266,es,0.3082,0.003489
530330001013,268,es,0.5768,0.006529
530330001013,269,es,0.0002,2e-06
530330001013,273,es,0.002,2.3e-05
530330001013,277,es,0.0004,4e-06
530330001013,279,es,0.001,1.2e-05
530330001013,286,es,0.0011,1.2e-05
530330001013,287,es,0.1048,0.001186
530330001013,291,es,0.8945,0.010126
530330001013,292,es,4.7394,0.053653
530330001013,935,es,0.1124,0.001273
530330001013,949,es,0.0001,1e-06
530330001013,971,es,1.895,0.021452
530330001013,977,es,0.4865,0.005508
530330001021,204,es,0.0898,0.002226
530330001021,208,es,0.075,0.001859
530330001021,210,es,5.8084,0.143985
530330001021,230,es,0.1588,0.003937
530330001021,241,es,0.4592,0.011383
530330001021,242,es,0.0446,0.001106
530330001021,247,es,0.2243,0.005559
530330001021,257,es,0.2057,0.005099
530330001021,261,es,19.6122,0.486171
530330001021,262,es,0.2864,0.007098
530330001021,266,es,6.5102,0.161382
530330001021,268,es,0.3633,0.009005
530330001021,269,es,0.0376,0.000933
530330001021,273,es,0.4473,0.011089
530330001021,277,es,0.0864,0.002142
530330001021,279,es,0.2257,0.005594
530330001021,286,es,0.2303,0.005709
530330001021,287,es,0.0702,0.001739
530330001021,291,es,0.5988,0.014844
