school_id,name,classification,is_hcc_site_current,year,basic_n_routes,basic_avg_dist_mi,basic_avg_stops,gifted_n_routes,gifted_avg_dist_mi,gifted_avg_stops,gifted_dist_ratio,gifted_longer
14,Garfield,neighborhood,False,2017,2,2.935,9.5,6,6.449999999999999,10.666666666666666,2.197614991482112,True
105,Hamilton,neighborhood,False,2017,2,2.35,3.5,4,3.01,5.0,1.2808510638297872,True
106,Jane Addams,neighborhood,False,2017,3,1.9833333333333332,4.666666666666667,5,2.57,9.2,1.2957983193277312,True
107,Madison,neighborhood,False,2017,3,2.4333333333333336,7.666666666666667,2,4.135,6.0,1.6993150684931504,True
113,Robert Eagle Staff,neighborhood,False,2017,2,2.515,5.5,3,2.85,4.666666666666667,1.1332007952286283,True
117,Washington,neighborhood,False,2017,2,2.435,4.0,7,3.5457142857142863,8.714285714285714,1.4561454972132593,True
203,Arbor Heights,neighborhood,False,2017,2,1.45,10.5,1,2.0,8.0,1.3793103448275863,True
208,Broadview-Thomson,neighborhood,False,2017,1,1.21,4.0,1,1.59,7.0,1.3140495867768596,True
212,Thurgood Marshall,neighborhood,True,2017,1,1.93,13.0,9,3.4244444444444446,13.0,1.774323546344272,True
222,Fairmount Park,neighborhood,False,2017,1,2.23,13.0,4,1.925,16.5,0.8632286995515696,False
243,Lawton,neighborhood,False,2017,2,1.215,7.0,1,1.22,6.0,1.0041152263374484,True
277,View Ridge,neighborhood,False,2017,1,2.15,6.0,2,1.855,8.0,0.8627906976744186,False
279,Wedgwood,neighborhood,False,2017,1,1.09,6.0,2,1.39,10.0,1.275229357798165,True
14,Garfield,neighborhood,False,2018,2,2.935,9.5,6,6.638333333333333,10.166666666666666,2.2617830777967063,True
105,Hamilton,neighborhood,False,2018,2,2.375,4.0,4,3.0025,5.0,1.2642105263157895,True
106,Jane Addams,neighborhood,False,2018,2,1.94,3.5,6,2.475,8.5,1.2757731958762888,True
107,Madison,neighborhood,False,2018,1,2.61,8.0,4,3.2325,6.75,1.238505747126437,True
113,Robert Eagle Staff,neighborhood,False,2018,3,2.556666666666666,6.0,3,2.926666666666667,5.0,1.1447196870925689,True
203,Arbor Heights,neighborhood,False,2018,2,1.485,9.5,1,1.95,8.0,1.313131313131313,True
239,Lafayette,neighborhood,False,2018,1,2.3,8.0,1,1.34,10.0,0.582608695652174,False
243,Lawton,neighborhood,False,2018,1,1.0,9.0,1,1.38,9.0,1.38,True
277,View Ridge,neighborhood,False,2018,1,1.77,5.0,2,2.095,7.0,1.1836158192090396,True
279,Wedgwood,neighborhood,False,2018,1,0.82,4.0,2,1.47,9.0,1.7926829268292683,True
105,Hamilton,neighborhood,False,2019,2,2.3699999999999997,3.5,4,3.0875,4.5,1.3027426160337554,True
106,Jane Addams,neighborhood,False,2019,5,2.14,3.8,4,2.65,9.25,1.2383177570093458,True
107,Madison,neighborhood,False,2019,3,2.4066666666666667,6.0,2,3.82,6.5,1.5872576177285318,True
113,Robert Eagle Staff,neighborhood,False,2019,3,2.566666666666667,5.333333333333333,2,3.0750000000000006,4.0,1.1980519480519483,True
117,Washington,neighborhood,False,2019,3,2.6566666666666667,6.333333333333333,6,3.691666666666667,10.666666666666666,1.389585947302384,True
203,Arbor Heights,neighborhood,False,2019,2,1.515,8.5,1,1.4799999999999998,7.0,0.9768976897689768,False
222,Fairmount Park,neighborhood,False,2019,2,1.86,9.5,3,2.023333333333333,11.666666666666666,1.0878136200716844,True
279,Wedgwood,neighborhood,False,2019,1,0.8000000000000002,5.0,2,1.265,6.0,1.5812499999999996,True
282,Whittier,neighborhood,False,2019,1,1.08,3.0,1,1.0,4.0,0.9259259259259258,False
