school_id,year,enrollment,low_income,homeless,highly_capable,students_with_disabilities,english_language_learners
935,2022,476,157,16,38,85,56
935,2023,473,135,7,48,90,46
935,2015,485,145,9,0,75,33
935,2024,450,132,8,45,97,50
935,2018,483,129,7,6,73,40
935,2017,471,125,10,4,55,33
935,2019,491,129,18,6,80,48
935,2020,485,134,4,9,70,49
935,2014,503,170,3,0,91,41
935,2021,476,138,13,19,80,49
935,2016,471,125,8,0,69,34
930,2018,488,71,5,8,118,3
930,2019,494,71,3,9,111,5
930,2024,403,67,2,30,119,13
930,2022,465,72,3,30,120,11
930,2017,487,74,7,9,113,7
930,2014,506,125,10,0,134,13
930,2015,505,107,11,0,128,14
930,2023,451,71,3,30,118,13
930,2016,490,84,10,0,122,7
930,2021,468,64,2,22,108,7
930,2020,492,59,2,10,108,6
949,2015,671,72,5,0,139,4
949,2020,661,63,0,24,151,20
949,2022,657,68,0,68,151,5
949,2016,658,64,7,0,149,15
949,2021,664,78,0,35,149,16
949,2024,598,66,1,43,146,15
949,2023,634,67,0,62,133,13
949,2018,654,53,4,15,170,11
949,2019,675,73,9,15,173,19
949,2014,673,69,5,0,134,2
949,2017,656,54,9,13,158,9
24,2022,245,55,6,24,62,4
24,2024,165,24,1,19,50,2
24,2016,234,39,8,0,47,1
24,2014,275,46,4,0,59,0
24,2017,242,34,5,12,55,1
24,2018,245,27,0,18,47,0
24,2020,250,45,2,20,64,3
24,2019,253,37,1,23,60,2
24,2023,184,32,4,20,51,5
24,2015,270,56,6,0,51,1
24,2021,268,60,0,21,72,3
229,2020,352,40,0,6,46,21
229,2016,427,68,8,0,56,35
229,2014,301,50,7,0,39,11
229,2019,430,47,2,5,57,24
229,2018,447,53,5,4,64,29
229,2015,336,54,7,0,47,22
229,2023,323,99,8,13,76,41
229,2021,308,49,2,9,47,32
229,2022,328,75,2,12,54,41
229,2017,437,58,6,11,61,30
229,2024,368,137,16,14,82,58
234,2020,383,57,16,5,53,48
234,2016,499,64,13,0,54,44
234,2017,491,62,9,8,60,56
234,2022,272,67,11,11,60,41
234,2018,481,67,9,3,55,41
234,2015,500,72,15,0,52,29
234,2021,305,47,10,12,50,44
234,2024,287,90,9,6,65,49
234,2023,268,80,6,5,54,47
234,2014,521,78,18,0,58,13
234,2019,497,64,7,6,61,60
249,2019,269,130,23,10,30,35
249,2016,308,179,49,0,55,33
249,2024,227,99,30,2,45,20
249,2022,227,127,25,5,28,24
249,2014,300,180,36,0,49,20
249,2020,259,127,23,9,27,35
249,2017,237,126,36,6,36,29
249,2023,219,97,26,3,31,25
249,2018,251,123,22,8,34,33
249,2021,236,117,21,10,21,22
249,2015,301,187,40,0,53,33
205,2015,459,285,7,0,47,210
205,2020,388,211,11,9,41,137
205,2021,326,169,9,19,40,146
205,2016,423,259,17,0,42,164
205,2019,418,222,8,13,41,146
205,2018,411,227,3,9,37,148
205,2017,416,247,9,7,37,163
205,2023,349,171,17,21,54,149
205,2014,481,295,9,0,64,220
205,2024,350,177,24,25,46,154
205,2022,342,180,12,21,40,163
272,2015,336,121,22,0,50,27
272,2024,155,52,8,15,46,13
272,2019,231,76,12,10,45,21
272,2022,176,56,7,15,35,18
272,2018,247,75,14,10,45,14
272,2017,287,102,23,6,50,18
272,2023,152,49,7,18,38,14
272,2016,296,105,22,0,52,18
272,2014,365,139,16,0,48,51
272,2021,185,62,12,13,32,19
272,2020,193,57,1,12,34,16
241,2023,417,38,1,22,41,50
241,2024,422,36,1,34,46,45
241,2016,430,34,0,0,40,54
241,2018,468,41,2,28,37,76
241,2015,453,40,1,0,35,40
241,2021,443,37,0,35,47,68
241,2017,452,38,0,21,35,77
241,2019,466,38,1,28,47,79
241,2020,461,29,0,28,49,76
241,2014,469,41,3,0,29,23
241,2022,429,36,0,31,41,49
207,2021,254,181,10,11,35,91
207,2020,308,213,18,1,52,98
207,2023,281,205,30,11,49,110
207,2022,267,184,20,14,43,105
207,2018,329,257,12,0,56,107
207,2019,320,243,17,1,58,110
207,2014,409,351,29,0,42,177
207,2016,329,229,31,0,45,133
207,2017,315,244,37,0,42,122
207,2024,289,212,37,11,53,111
207,2015,361,282,19,0,41,148
211,2024,467,54,4,43,89,25
211,2015,545,78,6,0,79,41
211,2018,535,34,0,31,81,20
211,2021,446,34,1,33,67,20
211,2023,447,50,2,39,81,28
211,2014,502,80,5,0,70,51
211,2020,498,29,1,35,79,23
211,2022,454,44,0,46,78,25
211,2016,560,57,10,0,84,31
211,2017,560,47,13,33,85,31
211,2019,553,32,2,38,92,23
282,2022,363,31,1,11,70,12
282,2015,469,54,4,25,53,5
282,2016,477,42,4,21,44,17
282,2018,441,35,2,13,58,15
282,2021,395,34,2,12,66,11
282,2014,467,50,1,24,42,3
282,2024,346,30,3,19,75,13
282,2017,495,44,7,16,53,19
282,2023,342,27,2,14,73,13
282,2019,444,33,3,11,65,20
282,2020,417,31,3,14,63,13
221,2016,329,237,43,0,47,120
221,2018,378,283,49,0,76,146
221,2022,328,264,23,7,62,127
221,2015,349,255,37,0,55,126
221,2017,337,237,58,0,54,120
