school_id,school_year,year,program,n_routes,avg_distance_mi,avg_stops
201,2017-2018,2017,basic,2,0.9250000000000002,4.0
201,2017-2018,2017,special_ed,4,2.275,5.25
130,2017-2018,2017,basic,9,2.1011111111111114,5.888888888888889
130,2017-2018,2017,special_ed,5,1.85,6.2
202,2017-2018,2017,basic,2,1.47,7.5
202,2017-2018,2017,special_ed,1,4.76,3.0
203,2017-2018,2017,basic,2,1.45,10.5
203,2017-2018,2017,gifted,1,2.0,8.0
203,2017-2018,2017,special_ed,6,2.443333333333334,5.833333333333333
218,2017-2018,2017,basic,3,0.8966666666666667,8.333333333333334
218,2017-2018,2017,special_ed,5,2.274,3.6
226,2017-2018,2017,basic,1,1.1,4.0
226,2017-2018,2017,homeless,2,2.335,2.5
226,2017-2018,2017,special_ed,5,2.046,8.2
11,2017-2018,2017,basic,2,3.2750000000000004,3.0
11,2017-2018,2017,special_ed,7,2.105714285714286,3.5714285714285716
205,2017-2018,2017,basic,1,1.25,1.0
208,2017-2018,2017,basic,1,1.21,4.0
208,2017-2018,2017,early_ed,1,1.09,14.0
208,2017-2018,2017,gifted,1,1.59,7.0
208,2017-2018,2017,special_ed,5,1.888,6.2
209,2017-2018,2017,basic,2,1.01,5.5
209,2017-2018,2017,special_ed,2,0.43,1.5
971,2017-2018,2017,gifted,13,3.224615384615385,13.76923076923077
289,2017-2018,2017,basic,2,1.075,6.5
289,2017-2018,2017,homeless,1,3.99,1.0
210,2017-2018,2017,basic,1,1.32,10.0
18,2017-2018,2017,basic,3,3.41,3.6666666666666665
18,2017-2018,2017,special_ed,6,1.7266666666666666,6.833333333333333
12,2017-2018,2017,basic,4,2.4375,3.75
12,2017-2018,2017,special_ed,4,2.5,3.5
215,2017-2018,2017,basic,1,1.81,8.0
215,2017-2018,2017,early_ed,2,0.8850000000000001,11.5
215,2017-2018,2017,special_ed,2,1.7,5.5
204,2017-2018,2017,basic,2,0.7400000000000001,4.0
204,2017-2018,2017,special_ed,5,2.0660000000000003,3.6
251,2017-2018,2017,basic,1,1.1,3.0
251,2017-2018,2017,special_ed,3,1.9933333333333336,4.666666666666667
287,2017-2018,2017,gifted,3,1.606666666666667,15.666666666666666
103,2017-2018,2017,basic,7,2.357142857142857,3.0
103,2017-2018,2017,special_ed,6,1.711666666666667,7.5
219,2017-2018,2017,bilingual,1,1.23,10.0
219,2017-2018,2017,early_ed,6,1.24,6.833333333333333
219,2017-2018,2017,special_ed,1,1.18,9.0
104,2017-2018,2017,basic,3,2.1866666666666665,4.666666666666667
104,2017-2018,2017,special_ed,5,1.462,5.6
221,2017-2018,2017,basic,2,0.8799999999999999,6.0
221,2017-2018,2017,early_ed,2,1.175,10.5
221,2017-2018,2017,special_ed,3,2.29,9.0
222,2017-2018,2017,basic,1,2.23,13.0
222,2017-2018,2017,early_ed,4,2.0725,2.0
222,2017-2018,2017,gifted,4,1.925,16.5
222,2017-2018,2017,homeless,1,6.22,1.0
222,2017-2018,2017,special_ed,1,1.37,4.0
