GEOID,age_5_9,age_10_14,age_15_17,age_5_17
530330001011,0,0,0,0
530330001012,0,21,0,21
530330001013,76,96,19,191
530330001021,55,103,38,196
530330001022,12,11,13,36
530330001023,99,11,0,110
530330002011,30,95,45,170
530330002012,28,141,60,229
530330002013,73,50,43,166
530330002021,164,58,0,222
530330002022,106,66,0,172
530330002023,72,59,71,202
530330003001,73,83,34,190
530330003002,42,88,100,230
530330004021,26,19,18,63
530330004022,160,125,19,304
530330004023,67,89,24,180
530330004024,13,18,0,31
530330004031,161,25,32,218
530330004032,31,12,0,43
530330004041,0,119,106,225
530330004042,78,186,46,310
530330004043,62,34,37,133
530330005001,180,128,58,366
530330005002,103,70,126,299
530330006011,50,25,0,75
530330006012,36,54,13,103
530330006013,124,29,0,153
530330006021,25,29,27,81
530330006022,120,54,26,200
530330006023,95,77,20,192
530330007001,22,0,0,22
530330007002,152,0,21,173
530330007003,0,18,26,44
530330007004,61,27,11,99
530330008001,65,20,42,127
530330008002,67,127,18,212
530330009001,57,35,34,126
530330009002,86,39,11,136
530330010001,87,57,75,219
530330010002,31,86,30,147
530330011001,78,100,51,229
530330011002,96,38,25,159
530330012011,38,20,16,74
530330012012,0,75,33,108
530330012013,0,19,0,19
530330012021,104,69,0,173
530330012022,25,6,40,71
530330012023,95,29,28,152
530330013001,31,73,27,131
530330013002,11,21,0,32
530330013003,0,14,37,51
530330014001,29,11,0,40
530330014002,222,62,46,330
530330014003,0,0,0,0
530330014004,108,111,59,278
530330015001,52,7,0,59
530330015002,37,73,40,150
530330016001,85,94,97,276
530330016002,121,205,102,428
530330016003,119,93,24,236
530330017011,0,0,0,0
530330017012,0,85,0,85
530330017013,15,16,14,45
530330017021,0,26,0,26
530330017022,55,28,45,128
530330017023,13,41,28,82
530330017024,96,85,17,198
530330018001,81,88,33,202
530330018002,0,0,0,0
530330018003,0,0,25,25
530330019001,98,15,82,195
530330019002,73,41,60,174
530330019003,14,0,0,14
530330019004,118,17,31,166
530330020001,107,63,31,201
530330020002,0,76,53,129
530330020003,86,55,36,177
530330021001,50,66,46,162
530330021002,69,119,104,292
530330021003,39,28,43,110
530330022001,174,147,133,454
530330022002,157,96,26,279
530330022003,73,24,31,128
530330022004,70,41,14,125
530330024001,96,80,54,230
530330024002,72,113,50,235
530330025001,96,92,25,213
530330025002,168,78,22,268
530330026001,74,96,0,170
530330026002,87,137,66,290
530330026003,27,50,12,89
530330026004,38,40,93,171
530330027001,186,0,0,186
530330027002,26,11,16,53
530330027003,18,80,12,110
530330027004,116,96,30,242
530330028001,71,35,29,135
530330028002,35,26,65,126
530330028003,57,92,16,165
530330028004,14,86,60,160
530330029001,72,41,10,123
530330029002,68,51,94,213
530330029003,81,176,25,282
530330030001,124,86,148,358
530330030002,154,87,18,259
530330030003,72,117,0,189
530330030004,106,10,92,208
530330031001,72,63,19,154
530330031002,45,121,163,329
530330031003,10,107,68,185
530330031004,83,170,23,276
530330031005,119,138,52,309
530330032011,0,22,17,39
530330032012,61,138,63,262
530330032013,13,0,0,13
530330032021,0,35,0,35
530330032022,152,157,32,341
530330032023,126,115,78,319
530330033011,58,29,36,123
530330033012,0,62,116,178
530330033013,101,121,0,222
530330033021,49,81,25,155
530330033022,26,0,20,46
530330033023,34,65,9,108
530330034001,42,61,19,122
530330034002,118,94,63,275
530330034003,34,67,19,120
530330035001,96,108,18,222
530330035002,77,48,79,204
530330035003,63,29,26,118
530330036011,0,64,43,107
530330036012,69,38,22,129
530330036013,15,0,54,69
530330036021,0,0,49,49
530330036022,0,0,54,54
530330036023,0,14,0,14
530330038001,64,138,77,279
530330038002,76,60,26,162
530330039001,141,178,200,519
530330039002,53,132,45,230
530330040001,146,133,111,390
530330040002,97,161,26,284
530330041011,103,176,35,314
530330041012,172,68,78,318
530330041013,59,45,52,156
530330041021,25,106,44,175
530330041022,155,139,28,322
530330041023,64,173,23,260
530330042011,90,114,98,302
530330042012,70,57,38,165
530330042013,61,103,49,213
530330042021,76,8,34,118
530330042022,110,59,65,234
530330042023,59,114,47,220
530330043011,112,20,11,143
530330043012,78,6,59,143
530330043013,51,69,29,149
530330043021,27,16,31,74
530330043022,0,44,4,48
530330043023,0,0,0,0
530330044011,113,56,0,169
530330044012,52,83,55,190
530330044013,12,11,26,49
530330044021,14,14,42,70
530330044022,0,10,0,10
530330044023,38,38,0,76
530330045001,0,0,0,0
530330045002,94,173,35,302
530330046001,0,78,33,111
530330046002,130,123,35,288
530330046003,56,20,30,106
530330047011,35,0,0,35
530330047012,0,0,0,0
530330047013,0,0,18,18
530330047021,24,3,0,27
530330047022,38,0,0,38
530330047023,0,0,13,13
530330047031,134,144,28,306
530330047032,15,0,0,15
530330047033,15,109,0,124
530330048001,43,2,56,101
530330048002,76,76,69,221
530330048003,0,0,0,0
530330048004,23,59,0,82
530330049011,13,0,0,13
530330049012,116,33,0,149
530330049013,12,0,46,58
530330049021,117,77,21,215
530330049022,0,0,0,0
530330050001,137,155,20,312
530330050002,81,26,0,107
530330050003,14,36,6,56
530330051001,34,60,80,174
530330051002,73,50,108,231
530330051003,76,38,0,114
530330052011,61,16,48,125
