GEOID,geoid_tract,pub_5_9,pub_10_14,pub_15_17,priv_5_9,priv_10_14,priv_15_17,pub_frac_5_9,pub_frac_10_14,pub_frac_15_17
530330001011,53033000101,76,117,19,0,0,0,1.0,1.0,1.0
530330001012,53033000101,76,117,19,0,0,0,1.0,1.0,1.0
530330001013,53033000101,76,117,19,0,0,0,1.0,1.0,1.0
530330001021,53033000102,154,113,51,12,12,0,0.927710843373494,0.904,1.0
530330001022,53033000102,154,113,51,12,12,0,0.927710843373494,0.904,1.0
530330001023,53033000102,154,113,51,12,12,0,0.927710843373494,0.904,1.0
530330002011,53033000201,64,220,114,28,66,0,0.6956521739130435,0.7692307692307693,1.0
530330002012,53033000201,64,220,114,28,66,0,0.6956521739130435,0.7692307692307693,1.0
530330002013,53033000201,64,220,114,28,66,0,0.6956521739130435,0.7692307692307693,1.0
530330002021,53033000202,174,175,71,155,8,0,0.5288753799392097,0.9562841530054644,1.0
530330002022,53033000202,174,175,71,155,8,0,0.5288753799392097,0.9562841530054644,1.0
530330002023,53033000202,174,175,71,155,8,0,0.5288753799392097,0.9562841530054644,1.0
530330003001,53033000300,84,81,90,31,90,44,0.7304347826086957,0.47368421052631576,0.6716417910447762
530330003002,53033000300,84,81,90,31,90,44,0.7304347826086957,0.47368421052631576,0.6716417910447762
530330004021,53033000402,205,221,61,61,30,0,0.7706766917293233,0.8804780876494024,1.0
530330004022,53033000402,205,221,61,61,30,0,0.7706766917293233,0.8804780876494024,1.0
530330004023,53033000402,205,221,61,61,30,0,0.7706766917293233,0.8804780876494024,1.0
530330004024,53033000402,205,221,61,61,30,0,0.7706766917293233,0.8804780876494024,1.0
530330004031,53033000403,123,37,32,69,0,0,0.640625,1.0,1.0
530330004032,53033000403,123,37,32,69,0,0,0.640625,1.0,1.0
530330004041,53033000404,95,339,189,45,0,0,0.6785714285714286,1.0,1.0
530330004042,53033000404,95,339,189,45,0,0,0.6785714285714286,1.0,1.0
530330004043,53033000404,95,339,189,45,0,0,0.6785714285714286,1.0,1.0
530330005001,53033000500,191,100,121,92,98,63,0.6749116607773852,0.5050505050505051,0.657608695652174
530330005002,53033000500,191,100,121,92,98,63,0.6749116607773852,0.5050505050505051,0.657608695652174
530330006011,53033000601,189,86,0,21,22,13,0.9,0.7962962962962963,0.0
530330006012,53033000601,189,86,0,21,22,13,0.9,0.7962962962962963,0.0
530330006013,53033000601,189,86,0,21,22,13,0.9,0.7962962962962963,0.0
530330006021,53033000602,175,143,73,65,17,0,0.7291666666666666,0.89375,1.0
530330006022,53033000602,175,143,73,65,17,0,0.7291666666666666,0.89375,1.0
530330006023,53033000602,175,143,73,65,17,0,0.7291666666666666,0.89375,1.0
530330007001,53033000700,167,45,58,68,0,0,0.7106382978723405,1.0,1.0
530330007002,53033000700,167,45,58,68,0,0,0.7106382978723405,1.0,1.0
530330007003,53033000700,167,45,58,68,0,0,0.7106382978723405,1.0,1.0
530330007004,53033000700,167,45,58,68,0,0,0.7106382978723405,1.0,1.0
530330008001,53033000800,97,147,51,35,0,8,0.7348484848484849,1.0,0.864406779661017
530330008002,53033000800,97,147,51,35,0,8,0.7348484848484849,1.0,0.864406779661017
530330009001,53033000900,90,59,30,43,15,15,0.6766917293233082,0.7972972972972973,0.6666666666666666
530330009002,53033000900,90,59,30,43,15,15,0.6766917293233082,0.7972972972972973,0.6666666666666666
530330010001,53033001000,118,103,93,0,40,12,1.0,0.7202797202797203,0.8857142857142857
530330010002,53033001000,118,103,93,0,40,12,1.0,0.7202797202797203,0.8857142857142857
530330011001,53033001100,129,130,51,45,8,25,0.7413793103448276,0.9420289855072463,0.6710526315789473
530330011002,53033001100,129,130,51,45,8,25,0.7413793103448276,0.9420289855072463,0.6710526315789473
530330012011,53033001201,0,114,49,38,0,0,0.0,1.0,1.0
530330012012,53033001201,0,114,49,38,0,0,0.0,1.0,1.0
530330012013,53033001201,0,114,49,38,0,0,0.0,1.0,1.0
530330012021,53033001202,122,104,28,90,0,40,0.5754716981132075,1.0,0.4117647058823529
530330012022,53033001202,122,104,28,90,0,40,0.5754716981132075,1.0,0.4117647058823529
530330012023,53033001202,122,104,28,90,0,40,0.5754716981132075,1.0,0.4117647058823529
530330013001,53033001300,11,108,64,0,0,0,1.0,1.0,1.0
530330013002,53033001300,11,108,64,0,0,0,1.0,1.0,1.0
530330013003,53033001300,11,108,64,0,0,0,1.0,1.0,1.0
530330014001,53033001400,186,105,85,173,79,20,0.5181058495821727,0.5706521739130435,0.8095238095238095
530330014002,53033001400,186,105,85,173,79,20,0.5181058495821727,0.5706521739130435,0.8095238095238095
530330014003,53033001400,186,105,85,173,79,20,0.5181058495821727,0.5706521739130435,0.8095238095238095
530330014004,53033001400,186,105,85,173,79,20,0.5181058495821727,0.5706521739130435,0.8095238095238095
530330015001,53033001500,42,65,32,47,7,0,0.47191011235955055,0.9027777777777778,1.0
530330015002,53033001500,42,65,32,47,7,0,0.47191011235955055,0.9027777777777778,1.0
530330016001,53033001600,200,250,111,125,142,112,0.6153846153846154,0.6377551020408163,0.4977578475336323
530330016002,53033001600,200,250,111,125,142,112,0.6153846153846154,0.6377551020408163,0.4977578475336323
530330016003,53033001600,200,250,111,125,142,112,0.6153846153846154,0.6377551020408163,0.4977578475336323
530330017011,53033001701,15,45,14,0,56,0,1.0,0.44554455445544555,1.0
530330017012,53033001701,15,45,14,0,56,0,1.0,0.44554455445544555,1.0
530330017013,53033001701,15,45,14,0,56,0,1.0,0.44554455445544555,1.0
530330017021,53033001702,164,180,90,0,0,0,1.0,1.0,1.0
530330017022,53033001702,164,180,90,0,0,0,1.0,1.0,1.0
530330017023,53033001702,164,180,90,0,0,0,1.0,1.0,1.0
530330017024,53033001702,164,180,90,0,0,0,1.0,1.0,1.0
530330018001,53033001800,67,33,25,14,55,33,0.8271604938271605,0.375,0.43103448275862066
530330018002,53033001800,67,33,25,14,55,33,0.8271604938271605,0.375,0.43103448275862066
