es_name,pathway_2025map,pathway_2023_2025,pathway_2017_2022
Adams,Cascadia,Cascadia,Cascadia
Alki,Alki,Thurgood Marshall,Fairmount Park
Arbor Heights,Alki,Thurgood Marshall,Fairmount Park
B.F. Day,Cascadia,Cascadia,Cascadia
Bagley,Cascadia,Cascadia,Cascadia
Beacon Hill Int'l,Thurgood Marshall,Thurgood Marshall,Thurgood Marshall
Broadview-Thomson K-8,Cascadia,Cascadia,Cascadia
Bryant,Decatur,Decatur,Decatur
Catharine Blaine K-8,Cascadia,Cascadia,Cascadia
Coe,Cascadia,Cascadia,Cascadia
Concord Int'l,Alki,Thurgood Marshall,Fairmount Park
Dearborn Park Int'l,Rainier View,Thurgood Marshall,Thurgood Marshall
Dunlap,Rainier View,Thurgood Marshall,Thurgood Marshall
Emerson,Rainier View,Thurgood Marshall,Thurgood Marshall
Fairmount Park,Alki,Thurgood Marshall,Fairmount Park
Gatewood,Alki,Thurgood Marshall,Fairmount Park
Gatzert,Thurgood Marshall,Thurgood Marshall,Thurgood Marshall
Genesee Hill,Alki,Thurgood Marshall,Fairmount Park
Graham Hill,Rainier View,Thurgood Marshall,Thurgood Marshall
Green Lake,Cascadia,Cascadia,Cascadia
Greenwood,Cascadia,Cascadia,Cascadia
Hawthorne,Thurgood Marshall,Thurgood Marshall,Thurgood Marshall
Hay,Cascadia,Cascadia,Cascadia
Highland Park,Alki,Thurgood Marshall,Fairmount Park
James Baldwin,Cascadia,Cascadia,Cascadia
John Muir,Thurgood Marshall,Thurgood Marshall,Thurgood Marshall
John Rogers,Cascadia,Cascadia,Cascadia
Kimball,Thurgood Marshall,Thurgood Marshall,Thurgood Marshall
Lafayette,Alki,Thurgood Marshall,Fairmount Park
Laurelhurst,Decatur,Decatur,Decatur
Lawton,Cascadia,Cascadia,Cascadia
Leschi,Thurgood Marshall,Thurgood Marshall,Thurgood Marshall
Lowell,Thurgood Marshall,Thurgood Marshall,Thurgood Marshall
Loyal Heights,Cascadia,Cascadia,Cascadia
MLK Jr.,Rainier View,Thurgood Marshall,Thurgood Marshall
Madrona,Thurgood Marshall,Thurgood Marshall,Thurgood Marshall
Magnolia,Cascadia,Cascadia,Cascadia
Maple,Rainier View,Thurgood Marshall,Thurgood Marshall
McGilvra,Thurgood Marshall,Thurgood Marshall,Thurgood Marshall
Montlake,Thurgood Marshall,Thurgood Marshall,Thurgood Marshall
North Beach,Cascadia,Cascadia,Cascadia
Olympic Hills,Cascadia,Cascadia,Cascadia
Olympic View,Cascadia,Cascadia,Cascadia
Rainier View,Rainier View,Thurgood Marshall,Thurgood Marshall
Rising Star,Rainier View,Thurgood Marshall,Thurgood Marshall
Roxhill,Alki,Thurgood Marshall,Fairmount Park
Sacajawea,Cascadia,Cascadia,Cascadia
Sand Point,Decatur,Decatur,Decatur
Sanislo,Alki,Thurgood Marshall,Fairmount Park
Stevens,Thurgood Marshall,Thurgood Marshall,Thurgood Marshall
Thurgood Marshall,Thurgood Marshall,Thurgood Marshall,Thurgood Marshall
View Ridge,Decatur,Decatur,Decatur
Viewlands,Cascadia,Cascadia,Cascadia
Wedgwood,Decatur,Decatur,Decatur
West Seattle Elem,Alki,Thurgood Marshall,Fairmount Park
West Woodland,Cascadia,Cascadia,Cascadia
Whittier,Cascadia,Cascadia,Cascadia
Wing Luke,Rainier View,Thurgood Marshall,Thurgood Marshall
