school_year,year,class_of,school_code,group_type,student_group,grade_level,n_students,n_regular,regular_attendance_rate,chronic_absent_rate,chronic_absent_count,suppressed,dat
2014-2015,2014,2015,1547,all,All Students,10,,,,,,True,Suppressed: Cross Grade
2014-2015,2014,2015,1547,all,All Students,11,54.0,22.0,0.4074074074074074,0.5925925925925926,32.0,False,No Suppression
2014-2015,2014,2015,1547,all,All Students,12,133.0,73.0,0.5488721804511278,0.45112781954887216,60.0,False,No Suppression
2014-2015,2014,2015,1547,all,All Students,9,,,,,,True,Suppressed: N<10
2014-2015,2014,2015,1547,all,All Students,All Grades,214.0,113.0,0.5280373831775701,0.4719626168224299,101.0,False,No Suppression
2014-2015,2014,2015,1579,all,All Students,1,,,,,,True,Suppressed: >94%
2014-2015,2014,2015,1579,all,All Students,2,,,,,,True,Suppressed: >94%
2014-2015,2014,2015,1579,all,All Students,3,,,,,,True,Suppressed: >93%
2014-2015,2014,2015,1579,all,All Students,4,56.0,51.0,0.9107142857142857,0.0892857142857143,5.0,False,No Suppression
2014-2015,2014,2015,1579,all,All Students,5,,,,,,True,Suppressed: >95%
2014-2015,2014,2015,1579,all,All Students,6,,,,,,True,Suppressed: >95%
2014-2015,2014,2015,1579,all,All Students,7,59.0,52.0,0.8813559322033898,0.11864406779661019,7.0,False,No Suppression
2014-2015,2014,2015,1579,all,All Students,8,,,,,,True,Suppressed: >95%
2014-2015,2014,2015,1579,all,All Students,All Grades,489.0,465.0,0.950920245398773,0.049079754601227044,24.0,False,No Suppression
2014-2015,2014,2015,1579,all,All Students,K2,52.0,48.0,0.9230769230769231,0.07692307692307687,4.0,False,No Suppression
2014-2015,2014,2015,1596,all,All Students,10,86.0,63.0,0.7325581395348837,0.2674418604651163,23.0,False,No Suppression
2014-2015,2014,2015,1596,all,All Students,11,36.0,20.0,0.5555555555555556,0.4444444444444444,16.0,False,No Suppression
2014-2015,2014,2015,1596,all,All Students,12,35.0,18.0,0.5142857142857142,0.48571428571428577,17.0,False,No Suppression
2014-2015,2014,2015,1596,all,All Students,6,,,,,,True,Suppressed: >90%
2014-2015,2014,2015,1596,all,All Students,7,,,,,,True,Suppressed: >91%
2014-2015,2014,2015,1596,all,All Students,8,,,,,,True,Suppressed: >90%
2014-2015,2014,2015,1596,all,All Students,9,72.0,56.0,0.7777777777777778,0.2222222222222222,16.0,False,No Suppression
2014-2015,2014,2015,1596,all,All Students,All Grades,307.0,235.0,0.7654723127035831,0.23452768729641693,72.0,False,No Suppression
2014-2015,2014,2015,1620,all,All Students,1,,,,,,True,Suppressed: >95%
2014-2015,2014,2015,1620,all,All Students,2,,,,,,True,Suppressed: >95%
2014-2015,2014,2015,1620,all,All Students,3,,,,,,True,Suppressed: >94%
2014-2015,2014,2015,1620,all,All Students,4,,,,,,True,Suppressed: >95%
2014-2015,2014,2015,1620,all,All Students,5,57.0,53.0,0.9298245614035088,0.07017543859649122,4.0,False,No Suppression
2014-2015,2014,2015,1620,all,All Students,6,60.0,55.0,0.9166666666666666,0.08333333333333337,5.0,False,No Suppression
2014-2015,2014,2015,1620,all,All Students,7,57.0,50.0,0.8771929824561403,0.1228070175438597,7.0,False,No Suppression
2014-2015,2014,2015,1620,all,All Students,8,60.0,52.0,0.8666666666666667,0.1333333333333333,8.0,False,No Suppression
2014-2015,2014,2015,1620,all,All Students,All Grades,506.0,473.0,0.9347826086956522,0.06521739130434778,33.0,False,No Suppression
2014-2015,2014,2015,1620,all,All Students,K2,54.0,49.0,0.9074074074074074,0.09259259259259256,5.0,False,No Suppression
2014-2015,2014,2015,1635,all,All Students,10,99.0,14.0,0.1414141414141414,0.8585858585858586,85.0,False,No Suppression
2014-2015,2014,2015,1635,all,All Students,11,135.0,13.0,0.0962962962962963,0.9037037037037037,122.0,False,No Suppression
2014-2015,2014,2015,1635,all,All Students,12,247.0,39.0,0.15789473684210525,0.8421052631578947,208.0,False,No Suppression
2014-2015,2014,2015,1635,all,All Students,7,0.0,,,,,True,No Students
2014-2015,2014,2015,1635,all,All Students,8,,,,,,True,Suppressed: N<10
2014-2015,2014,2015,1635,all,All Students,9,,,,,,True,Suppressed: Cross Grade
2014-2015,2014,2015,1635,all,All Students,All Grades,521.0,74.0,0.1420345489443378,0.8579654510556622,447.0,False,No Suppression
2014-2015,2014,2015,1750,all,All Students,10,,,,,,True,Suppressed: N<10
2014-2015,2014,2015,1750,all,All Students,11,,,,,,True,Suppressed: N<10
2014-2015,2014,2015,1750,all,All Students,12,,,,,,True,Suppressed: N<10
2014-2015,2014,2015,1750,all,All Students,9,,,,,,True,Suppressed: N<10
2014-2015,2014,2015,1750,all,All Students,All Grades,,,,,,True,Suppressed: <10%
2014-2015,2014,2015,1751,all,All Students,1,,,,,,True,Suppressed: >90%
2014-2015,2014,2015,1751,all,All Students,11,,,,,,True,Suppressed: >90%
