school_year,year,class_of,school_code,group_type,student_group,grade_level,n_students,n_regular,regular_attendance_rate,chronic_absent_rate,chronic_absent_count,suppressed,dat
2014-2015,2014,2015,1547,all,All Students,All Grades,214.0,113.0,0.5280373831775701,0.4719626168224299,101.0,False,No Suppression
2014-2015,2014,2015,1547,english_learner,English Language Learners,All Grades,,,,,,True,Suppressed: N<10
2014-2015,2014,2015,1547,english_learner,Non-English Language Learners,All Grades,,,,,,True,Suppressed: Cross Group
2014-2015,2014,2015,1547,foster,Foster Care,All Grades,,,,,,True,Suppressed: N<10
2014-2015,2014,2015,1547,foster,Non-Foster Care,All Grades,,,,,,True,Suppressed: Cross Group
2014-2015,2014,2015,1547,gender,Female,All Grades,109.0,61.0,0.5596330275229358,0.44036697247706424,48.0,False,No Suppression
2014-2015,2014,2015,1547,gender,Male,All Grades,105.0,52.0,0.49523809523809526,0.5047619047619047,53.0,False,No Suppression
2014-2015,2014,2015,1547,highly_capable,Non-Highly Capable,All Grades,214.0,113.0,0.5280373831775701,0.4719626168224299,101.0,False,No Suppression
2014-2015,2014,2015,1547,homeless,Homeless,All Grades,28.0,12.0,0.42857142857142855,0.5714285714285714,16.0,False,No Suppression
2014-2015,2014,2015,1547,homeless,Non-Homeless,All Grades,186.0,101.0,0.543010752688172,0.456989247311828,85.0,False,No Suppression
2014-2015,2014,2015,1547,low_income,Low-Income,All Grades,108.0,51.0,0.4722222222222222,0.5277777777777778,57.0,False,No Suppression
2014-2015,2014,2015,1547,low_income,Non-Low Income,All Grades,106.0,62.0,0.5849056603773585,0.41509433962264153,44.0,False,No Suppression
2014-2015,2014,2015,1547,migrant,Migrant,All Grades,,,,,,True,Suppressed: N<10
2014-2015,2014,2015,1547,migrant,Non Migrant,All Grades,,,,,,True,Suppressed: Cross Group
2014-2015,2014,2015,1547,military,Non Military Parent,All Grades,214.0,113.0,0.5280373831775701,0.4719626168224299,101.0,False,No Suppression
2014-2015,2014,2015,1547,race_ethnicity,American Indian/ Alaskan Native,All Grades,,,,,,True,Suppressed: N<10
2014-2015,2014,2015,1547,race_ethnicity,Asian,All Grades,25.0,15.0,0.6,0.4,10.0,False,No Suppression
2014-2015,2014,2015,1547,race_ethnicity,Black/ African American,All Grades,47.0,21.0,0.44680851063829785,0.5531914893617021,26.0,False,No Suppression
