year,grade,school_code,school_name,school_year,class_of,all_students,military_parent,migrant,low_income,homeless,foster_care,mobile,section_504,highly_capable,english_language_learners,students_with_disabilities,female,male,gender_x,white,black_african_american,native_hawaiian_other_pacific,hispanic_latino_of_any_race,american_indian_alaskan_native,asian,two_or_more_races,is_district_total
2015,PK,,District Total,2015-16,2016,1142,0,2,449,24,11,152,0,0,70,701,447,695,0,367,296,3,208,6,131,131,True
2016,5,,District Total,2016-17,2017,4322,4,15,1522,265,15,81,119,338,482,753,2142,2180,0,2083,618,15,535,29,578,464,True
2018,2,,District Total,2018-19,2019,4516,13,7,1406,155,26,86,66,210,774,679,2195,2321,0,2197,657,18,496,16,471,661,True
2022,2,,District Total,2022-23,2023,3751,25,0,1255,96,16,73,170,271,659,626,1840,1898,13,1717,553,17,490,17,427,530,True
2022,5,,District Total,2022-23,2023,3909,31,0,1373,103,0,61,280,594,560,745,1922,1959,28,1801,570,23,489,9,463,554,True
2020,8,,District Total,2020-21,2021,4049,10,12,1437,149,15,41,166,560,347,668,1876,2149,24,1815,581,20,579,14,538,502,True
2016,8,,District Total,2016-17,2017,3713,5,13,1456,219,16,63,160,480,343,533,1807,1906,0,1679,591,11,457,28,653,294,True
2020,6,,District Total,2020-21,2021,4043,14,6,1374,134,17,60,100,490,437,729,1924,2102,17,1871,595,13,550,18,476,520,True
2017,8,,District Total,2017-18,2018,3626,5,7,1345,221,27,77,184,530,326,511,1701,1925,0,1698,571,15,450,36,576,280,True
2021,12,,District Total,2021-22,2022,4195,18,21,1694,126,17,131,218,441,523,695,1910,2247,38,1790,731,19,591,27,666,371,True
2023,8,,District Total,2023-24,2024,3603,9,1,1283,91,12,48,295,600,432,567,1679,1856,68,1630,490,16,532,20,459,456,True
2020,7,,District Total,2020-21,2021,3918,15,4,1359,138,18,50,132,509,358,648,1859,2040,19,1811,549,18,519,14,538,469,True
2021,2,,District Total,2021-22,2022,4107,19,3,1289,106,18,81,6,338,784,612,1946,2152,9,1925,588,14,536,12,455,577,True
2022,6,,District Total,2022-23,2023,3570,14,2,1324,100,10,66,266,487,475,692,1685,1849,36,1613,550,14,489,9,402,493,True
2021,7,,District Total,2021-22,2022,3824,9,3,1359,65,10,65,90,506,398,664,1789,1993,42,1793,525,11,516,17,453,509,True
2019,2,,District Total,2019-20,2020,4470,31,6,1347,173,11,88,44,274,792,631,2245,2221,4,2172,618,20,506,14,507,633,True
2021,K,,District Total,2021-22,2022,3981,33,0,931,96,10,77,0,0,740,414,1967,2006,8,1944,520,11,500,8,463,535,True
2023,4,,District Total,2023-24,2024,3985,20,0,1341,128,11,81,214,461,749,825,1888,2071,26,1828,558,15,568,17,469,530,True
2016,1,,District Total,2016-17,2017,4775,8,6,1670,232,19,101,32,99,996,471,2342,2433,0,2356,640,15,537,13,562,652,True
2020,All Grades,,District Total,2020-21,2021,54021,233,144,17889,1847,209,974,1390,4977,6790,8319,26021,27790,210,24684,8123,220,7073,220,7093,6607,True
2017,3,,District Total,2017-18,2018,4696,11,6,1618,262,19,91,88,418,666,792,2260,2436,0,2271,677,19,564,16,502,647,True
2017,7,,District Total,2017-18,2018,3816,9,6,1408,237,25,68,161,543,322,580,1803,2013,0,1821,584,18,467,18,588,320,True
2022,K,,District Total,2022-23,2023,3928,26,2,1139,138,0,92,132,1,664,446,1939,1973,16,1842,532,10,536,18,471,519,True
2021,9,,District Total,2021-22,2022,3964,9,8,1424,62,10,71,151,573,363,617,1794,2106,64,1821,560,23,597,16,496,451,True
2017,11,,District Total,2017-18,2018,3507,2,23,1336,261,14,119,274,332,331,441,1747,1760,0,1556,562,23,436,29,643,258,True
2022,7,,District Total,2022-23,2023,3612,12,1,1321,75,12,59,289,605,424,585,1697,1855,60,1649,507,21,499,18,448,470,True
2020,5,,District Total,2020-21,2021,4236,12,6,1435,121,14,57,77,461,484,782,2093,2133,10,1965,615,13,533,16,532,562,True
2020,3,,District Total,2020-21,2021,4217,28,4,1322,133,0,57,39,347,643,686,2121,2087,9,1962,620,18,499,13,506,598,True
2021,4,,District Total,2021-22,2022,3972,29,1,1311,85,0,67,36,546,583,717,1972,1984,16,1859,583,19,471,10,475,555,True
2024,5,,District Total,2024-25,2025,3984,23,1,1359,162,12,57,265,558,627,813,1880,2070,34,1781,559,16,608,17,468,535,True
2014,2,,District Total,2014-15,2015,4894,0,9,1864,185,0,96,56,279,811,624,2341,2553,0,2327,725,24,638,17,600,563,True
2014,11,,District Total,2014-15,2015,3377,0,26,1459,161,22,126,176,126,308,436,1639,1738,0,1447,626,23,395,36,674,176,True
2018,10,,District Total,2018-19,2019,3678,11,26,1280,116,17,96,251,450,354,488,1799,1876,3,1703,531,14,470,25,631,304,True
2014,1,,District Total,2014-15,2015,4889,0,9,1868,168,11,118,20,119,920,486,2389,2500,0,2343,697,24,609,18,631,567,True
2020,11,,District Total,2020-21,2021,3695,15,29,1311,161,23,57,211,452,417,457,1743,1932,20,1662,584,16,499,27,596,311,True
2021,1,,District Total,2021-22,2022,3782,19,4,1146,96,19,74,0,157,679,437,1850,1924,8,1783,539,12,473,13,426,536,True
2021,PK,,District Total,2021-22,2022,838,2,0,373,20,0,27,0,0,0,306,406,430,2,228,277,3,138,4,111,77,True
2024,8,,District Total,2024-25,2025,3526,16,1,1240,130,10,42,288,478,487,641,1635,1837,54,1609,522,21,524,15,395,440,True
2014,9,,District Total,2014-15,2015,3513,0,18,1480,170,28,106,149,246,309,479,1770,1743,0,1539,593,18,422,37,661,243,True
2015,3,,District Total,2015-16,2016,4760,0,11,1768,236,14,105,86,356,679,750,2296,2464,0,2268,696,21,615,16,589,555,True
2024,2,,District Total,2024-25,2025,3931,27,3,1347,163,0,65,176,491,678,721,1946,1965,20,1776,527,18,613,18,461,518,True
2023,10,,District Total,2023-24,2024,3856,17,2,1326,98,0,81,392,666,405,624,1766,1988,102,1752,524,31,562,18,524,445,True
2024,1,,District Total,2024-25,2025,3779,23,2,1190,157,0,71,110,0,667,572,1897,1869,13,1729,496,19,562,13,469,491,True
2017,12,,District Total,2017-18,2018,4084,2,48,1729,423,23,193,262,300,443,674,2044,2040,0,1669,790,26,513,39,758,289,True
2018,K,,District Total,2018-19,2019,4638,35,2,1280,137,23,97,12,0,934,408,2284,2354,0,2231,598,9,539,17,524,720,True
2014,All Grades,,District Total,2014-15,2015,53361,0,214,21633,2225,268,1413,1329,3097,6762,7828,25880,27481,0,24157,8890,254,6692,394,8431,4543,True
2019,5,,District Total,2019-20,2020,4531,15,10,1517,169,23,85,141,485,501,839,2200,2324,7,2142,650,19,578,18,501,623,True
2021,8,,District Total,2021-22,2022,3737,20,1,1341,70,13,63,117,552,337,601,1748,1941,48,1713,524,20,506,15,506,453,True
2024,9,,District Total,2024-25,2025,3616,12,2,1238,115,0,57,313,523,447,550,1721,1829,66,1642,489,27,571,22,429,436,True
2019,3,,District Total,2019-20,2020,4455,16,8,1411,151,18,78,68,311,629,830,2168,2286,1,2127,662,18,535,12,476,625,True
2020,12,,District Total,2020-21,2021,4216,22,42,1575,233,21,98,254,441,462,718,2022,2171,23,1794,684,21,600,26,729,362,True
2015,2,,District Total,2015-16,2016,4765,0,14,1755,207,12,128,44,258,842,630,2305,2460,0,2320,649,24,589,20,606,557,True
2019,PK,,District Total,2019-20,2020,1562,8,1,489,47,0,192,0,0,1,650,678,883,1,510,380,8,248,6,225,185,True
2014,3,,District Total,2014-15,2015,4473,0,12,1699,158,11,82,51,269,666,717,2196,2277,0,2156,666,14,544,28,609,456,True
2016,7,,District Total,2016-17,2017,3667,7,6,1409,211,24,60,160,505,336,515,1745,1922,0,1734,582,14,448,37,579,273,True
2021,All Grades,,District Total,2021-22,2022,51653,246,65,17585,1141,173,1040,1062,5399,6819,8177,24597,26655,401,23701,7689,217,6921,199,6517,6409,True
2019,7,,District Total,2019-20,2020,4096,11,14,1432,158,20,56,184,555,343,685,1921,2168,7,1891,532,19,579,17,538,520,True
2018,7,,District Total,2018-19,2019,3788,13,11,1270,131,22,64,189,513,335,632,1848,1940,0,1844,478,13,484,20,533,416,True
2021,10,,District Total,2021-22,2022,3725,14,7,1302,68,15,85,162,461,375,521,1813,1858,54,1738,511,20,527,18,525,386,True
2024,All Grades,,District Total,2024-25,2025,51200,273,18,17538,1998,96,973,3467,6015,7540,9294,24243,26299,658,22845,7309,304,7813,220,6176,6533,True
2017,5,,District Total,2017-18,2018,4517,10,8,1577,261,21,76,154,528,476,803,2175,2342,0,2133,645,18,582,19,559,561,True
2018,12,,District Total,2018-19,2019,3993,2,49,1631,211,16,191,312,331,454,684,1929,2064,0,1640,727,24,539,37,736,290,True
2019,All Grades,,District Total,2019-20,2020,56051,232,197,18387,2168,246,1360,1846,4923,7001,8794,27036,28944,71,26060,8077,227,7207,252,7439,6789,True
2024,6,,District Total,2024-25,2025,3635,17,0,1288,119,0,66,244,497,506,644,1742,1850,43,1635,487,23,516,25,437,512,True
2016,All Grades,,District Total,2016-17,2017,54722,64,200,20301,3249,249,1366,1653,3798,6937,8132,26591,28131,0,25382,8540,210,6723,344,7970,5553,True
2017,All Grades,,District Total,2017-18,2018,55321,143,173,19411,3261,279,1482,1944,4803,6925,8576,26828,28493,0,25890,8362,252,6732,296,7815,5974,True
2017,2,,District Total,2017-18,2018,4636,9,7,1539,249,20,97,58,252,865,641,2266,2370,0,2256,636,20,525,13,555,631,True
2019,12,,District Total,2019-20,2020,4081,10,48,1604,249,20,178,306,344,471,651,1981,2095,5,1682,727,21,563,34,708,346,True
2022,4,,District Total,2022-23,2023,4007,24,0,1405,106,10,79,235,501,700,708,1956,2020,31,1805,578,12,527,18,488,579,True
2014,5,,District Total,2014-15,2015,4053,0,6,1650,164,31,88,124,308,498,635,1953,2100,0,1919,661,15,496,39,634,289,True
2022,PK,,District Total,2022-23,2023,954,2,0,474,54,0,48,16,0,0,328,456,496,2,257,322,6,144,3,124,98,True
2017,PK,,District Total,2017-18,2018,1413,5,1,467,45,0,178,0,0,1,847,571,842,0,470,306,7,243,4,220,163,True
2019,K,,District Total,2019-20,2020,4669,29,2,1212,134,13,91,6,0,926,417,2222,2441,6,2248,631,13,575,14,510,678,True
2024,4,,District Total,2024-25,2025,3737,27,1,1249,151,0,53,242,515,696,779,1806,1900,31,1694,522,21,543,12,421,524,True
