school_id,name,level,program,grade_band,n_bus_eligible,propensity,riders,n_routes_actual,est_routes
103,Denny,MS,basic,ms,268.51,0.8849,237.62,6,4.8
104,Eckstein,MS,basic,ms,133.72,0.4031,53.91,3,1.09
105,Hamilton,MS,basic,ms,450.07,0.478,215.15,2,4.34
106,Jane Addams,MS,basic,ms,458.27,0.6127,280.8,5,5.67
107,Madison,MS,basic,ms,512.34,0.499,255.66,5,5.16
109,Meany,MS,basic,ms,150.63,0.6714,101.14,3,2.04
110,Mercer,MS,basic,ms,396.67,0.527,209.06,5,4.22
113,Robert Eagle Staff,MS,basic,ms,390.77,0.6116,239.01,3,4.82
115,Whitman,MS,basic,ms,147.13,0.5888,86.63,2,1.75
117,Washington,MS,basic,ms,258.86,0.6189,160.2,2,3.23
118,McClure,MS,basic,ms,267.37,0.5291,141.46,4,2.86
130,Aki Kurose,MS,basic,ms,663.54,0.5928,393.37,7,7.94
201,Adams,ES,basic,es,78.79,0.6641,52.33,1,1.06
202,Alki,ES,basic,es,169.61,0.5216,88.47,3,1.79
203,Arbor Heights,ES,basic,es,259.65,0.6882,178.7,3,3.61
204,Bagley,ES,basic,es,177.44,0.7045,125.02,1,2.52
208,Broadview-Thomson,ES,basic,es+ms,205.31,0.8185,168.04,1,3.39
209,Bryant,ES,basic,es,148.72,0.3506,52.14,1,1.05
210,Cedar Park,ES,basic,es,192.94,0.4228,81.57,2,1.65
211,Coe,ES,basic,es,75.91,0.6287,47.73,1,0.96
215,Concord,ES,basic,es,119.5,0.5895,70.44,1,1.42
218,B F Day,ES,basic,es,157.04,0.6154,96.65,3,1.95
220,Graham Hill,ES,basic,es,89.46,0.8155,72.95,1,1.47
221,Emerson,ES,basic,es,163.85,0.6763,110.8,3,2.24
222,Fairmount Park,ES,basic,es,146.21,0.575,84.07,1,1.7
225,Gatewood,ES,basic,es,83.96,0.5046,42.37,1,0.86
226,Gatzert,ES,basic,es,258.55,0.641,165.72,1,3.34
229,Green Lake,ES,basic,es,251.68,0.8144,204.97,3,4.14
230,Greenwood,ES,basic,es,110.42,0.6722,74.23,1,1.5
233,Hawthorne,ES,basic,es,280.51,0.6172,173.12,3,3.49
234,Hay,ES,basic,es,76.54,0.8088,61.91,2,1.25
235,Highland Park,ES,basic,es,83.34,0.6267,52.23,1,1.05
236,West Seattle Elementary,ES,basic,es,50.58,0.8819,44.61,1,0.9
239,Lafayette,ES,basic,es,272.76,0.5828,158.96,2,3.21
241,Stanford,ES,basic,es,384.65,0.3395,130.6,2,2.64
242,Laurelhurst,ES,basic,es,157.6,0.6876,108.36,1,2.19
243,Lawton,ES,basic,es,216.44,0.5273,114.12,2,2.3
244,Leschi,ES,basic,es,36.95,0.9312,34.41,1,0.69
245,Lowell,ES,basic,es,320.17,0.861,275.66,6,5.56
246,Loyal Heights,ES,basic,es,232.25,0.5167,120.0,1,2.42
247,McDonald,ES,basic,es,369.9,0.3364,124.44,2,2.51
248,McGilvra,ES,basic,es,145.78,0.635,92.56,2,1.87
249,Madrona,ES,basic,es,29.85,0.7617,22.73,1,0.46
250,Magnolia,ES,basic,es,86.67,0.7387,64.02,1,1.29
251,Dearborn Park,ES,basic,es,132.3,0.4796,63.45,1,1.28
252,Maple,ES,basic,es,239.69,0.6966,166.96,1,3.37
255,Montlake,ES,basic,es,87.41,0.6602,57.71,4,1.16
257,Baldwin,ES,basic,es,121.79,0.8546,104.09,2,2.1
259,North Beach,ES,basic,es,160.69,0.7317,117.57,1,2.37
261,Olympic Hills,ES,basic,es,173.4,0.9095,157.7,2,3.18
262,Olympic View,ES,basic,es,186.98,0.7627,142.61,2,2.88
264,Rainier View,ES,basic,es,79.98,0.4548,36.37,1,0.73
266,Rogers,ES,basic,es,106.04,0.7936,84.15,4,1.7
267,Roxhill,ES,basic,es,117.45,0.8805,103.41,2,2.09
268,Sacajawea,ES,basic,es,109.94,0.95,104.45,1,2.11
269,Sand Point,ES,basic,es,105.59,0.9365,98.89,2,2.0
270,Genesee Hill,ES,basic,es,157.95,0.6801,107.42,1,2.17
272,Stevens,ES,basic,es,41.18,0.941,38.75,1,0.78
275,Rising Star,ES,basic,es,94.69,0.9372,88.75,3,1.79
276,Viewlands,ES,basic,es,150.67,0.4869,73.36,2,1.48
277,View Ridge,ES,basic,es,126.62,0.6489,82.16,1,1.66
279,Wedgwood,ES,basic,es,105.65,0.439,46.38,2,0.94
281,West Woodland,ES,basic,es,67.25,0.6701,45.06,1,0.91
282,Whittier,ES,basic,es,76.19,0.7482,57.01,1,1.15
286,Wing Luke,ES,basic,es,179.02,0.6136,109.85,1,2.22
288,Kimball,ES,basic,es,186.48,0.8604,160.45,3,3.24
289,Blaine,ES,basic,es+ms,156.42,0.8667,135.57,1,2.74
291,South Shore,ES,basic,es+ms,375.28,0.6893,258.66,5,5.22
292,Hazel Wolf,ES,basic,es+ms,563.77,0.5781,325.9,7,6.58
930,Pathfinder,ES,basic,es+ms,399.14,0.8911,355.66,7,7.18
935,TOPS,ES,basic,es+ms,437.75,0.6963,304.82,6,6.15
939,Orca,ES,basic,es+ms,219.55,0.4892,107.39,2,2.17
949,Salmon Bay,ES,basic,es+ms,378.6,0.8309,314.59,6,6.35
955,Licton Springs,ES,basic,es+ms,45.82,0.95,43.53,2,0.88
972,Boren,ES,basic,es+ms,261.46,0.7328,191.61,6,3.87
974,Queen Anne,ES,basic,es,86.83,0.9034,78.44,3,1.58
977,Thornton Creek,ES,basic,es,237.99,0.7473,177.85,4,3.59
105,Hamilton,MS,gifted,ms,180.54,0.9179,165.72,3,5.04
106,Jane Addams,MS,gifted,ms,116.46,0.9179,106.89,4,3.25
113,Robert Eagle Staff,MS,gifted,ms,134.78,0.9179,123.71,2,3.76
117,Washington,MS,gifted,ms,89.72,0.9179,82.35,4,2.5
212,Thurgood Marshall,ES,gifted,es,205.83,0.9179,188.93,12,5.74
287,Decatur,ES,gifted,es,190.0,0.9179,174.4,3,5.3
971,Cascadia,ES,gifted,es,515.88,0.9179,473.51,12,14.4
