school_id,school_code,name,level,classification,is_hcc_site_current,is_hcc_site_proposed,is_hcc_site_historical,has_gifted,has_bilingual,has_early_ed
264,3380,Rainier View,ES,neighborhood,False,True,False,False,False,False
203,2730,Arbor Heights,ES,neighborhood,False,False,False,True,False,True
221,2118,Emerson,ES,neighborhood,False,False,False,False,False,True
21,3327,Rainier Beach,HS,neighborhood,False,False,False,False,False,False
215,2199,Concord,ES,neighborhood,False,False,False,False,False,True
219,2321,Dunlap,ES,neighborhood,False,False,False,False,True,True
235,2269,Highland Park,ES,neighborhood,False,False,False,False,False,False
18,3096,Chief Sealth,HS,neighborhood,False,False,False,False,False,False
286,3581,Wing Luke,ES,neighborhood,False,False,False,True,False,True
103,2839,Denny,MS,neighborhood,False,False,False,False,False,False
267,3157,Roxhill,ES,neighborhood,False,False,False,False,False,True
110,3095,Mercer,MS,neighborhood,False,False,False,False,False,False
273,3665,Sanislo,ES,neighborhood,False,False,False,False,False,False
225,2139,Gatewood,ES,neighborhood,False,False,False,False,False,False
207,2089,Martin Luther King Jr,ES,neighborhood,False,False,False,False,False,True
236,2645,West Seattle Elementary,ES,neighborhood,False,False,False,False,False,True
220,3378,Graham Hill,ES,neighborhood,False,False,False,False,False,False
130,3774,Aki Kurose,MS,neighborhood,False,False,False,False,False,False
251,3803,Dearborn Park,ES,neighborhood,False,False,False,False,False,False
12,2392,Cleveland,HS,option,False,False,False,False,False,False
222,3518,Fairmount Park,ES,neighborhood,False,False,True,True,False,True
252,2353,Maple,ES,neighborhood,False,False,False,False,False,False
930,1620,Pathfinder,ES,option,False,False,False,False,False,False
233,4248,Hawthorne,ES,neighborhood,False,False,False,False,True,False
256,2143,Muir,ES,neighborhood,False,False,False,True,False,True
202,2181,Alki,ES,neighborhood,False,True,False,False,False,False
288,3478,Kimball,ES,neighborhood,False,False,False,False,False,True
107,2435,Madison,MS,neighborhood,False,False,False,True,False,False
13,2182,Franklin,HS,neighborhood,False,False,False,False,False,False
19,2234,West Seattle High,HS,neighborhood,False,False,False,False,False,False
