level,grade_band,school,residence_area,n
ES,,Dunlap,Dunlap,195
ES,,Dunlap,Out of District/Unknown,5
ES,,Dunlap,Emerson,5
ES,,Dunlap,Martin Luther King,4
ES,,Dunlap,John Muir,3
ES,,Dunlap,Hawthorne,2
ES,,Dunlap,Leschi,2
ES,,Dunlap,Dearborn Park Intl,1
ES,,Dunlap,Graham Hill,1
ES,,Dunlap,Kimball,1
ES,,Dunlap,Wing Luke,1
ES,,Emerson,Emerson,340
ES,,Emerson,Rainier View,10
ES,,Emerson,Out of District/Unknown,8
ES,,Emerson,Wing Luke,8
ES,,Emerson,Dunlap,6
ES,,Emerson,Graham Hill,3
ES,,Emerson,Martin Luther King,2
ES,,Emerson,Thurgood Marshall,2
ES,,Emerson,Stevens,1
ES,,Graham Hill,Graham Hill,208
ES,,Graham Hill,Emerson,12
ES,,Graham Hill,Hawthorne,11
ES,,Graham Hill,Martin Luther King,9
ES,,Graham Hill,John Muir,5
ES,,Graham Hill,Wing Luke,4
ES,,Graham Hill,Out of District/Unknown,3
ES,,Graham Hill,Kimball,3
ES,,Graham Hill,Rainier View,2
ES,,Graham Hill,Rising Star,2
ES,,Graham Hill,Beacon Hill Intl,1
ES,,Graham Hill,Dearborn Park Intl,1
ES,,Graham Hill,Madrona,1
ES,,Graham Hill,North Beach,1
ES,,Graham Hill,Roxhill,1
ES,,Graham Hill,Sand Point,1
ES,,Hawthorne,Hawthorne,375
ES,,Hawthorne,John Muir,5
ES,,Hawthorne,Out of District/Unknown,3
ES,,Hawthorne,Emerson,3
ES,,Hawthorne,Thurgood Marshall,3
ES,,Hawthorne,Graham Hill,2
ES,,Hawthorne,Kimball,2
ES,,Hawthorne,Dunlap,1
ES,,Hawthorne,Maple,1
ES,,Hawthorne,Martin Luther King,1
ES,,Martin Luther King Jr.,Martin Luther King,212
ES,,Martin Luther King Jr.,Graham Hill,10
ES,,Martin Luther King Jr.,Dunlap,5
ES,,Martin Luther King Jr.,Out of District/Unknown,4
ES,,Martin Luther King Jr.,Emerson,4
ES,,Martin Luther King Jr.,Dearborn Park Intl,3
ES,,Martin Luther King Jr.,Rising Star,3
ES,,Martin Luther King Jr.,Wing Luke,3
ES,,Martin Luther King Jr.,Bailey Gatzert,2
ES,,Martin Luther King Jr.,Beacon Hill Intl,2
ES,,Martin Luther King Jr.,John Muir,2
ES,,Martin Luther King Jr.,Kimball,2
ES,,Martin Luther King Jr.,Rainier View,2
ES,,Martin Luther King Jr.,Concord Intl,1
ES,,Martin Luther King Jr.,Hawthorne,1
ES,,Martin Luther King Jr.,Highland Park,1
ES,,Martin Luther King Jr.,Lowell,1
ES,,Martin Luther King Jr.,Roxhill,1
ES,,Rainier View,Rainier View,153
ES,,Rainier View,Out of District/Unknown,8
ES,,Rainier View,Emerson,3
ES,,Rainier View,Dunlap,2
ES,,Rainier View,Dearborn Park Intl,1
ES,,Rainier View,Rising Star,1
ES,,Wing Luke,Wing Luke,229
ES,,Wing Luke,Rising Star,12
ES,,Wing Luke,Emerson,11
ES,,Wing Luke,Out of District/Unknown,9
ES,,Wing Luke,Dearborn Park Intl,8
ES,,Wing Luke,Rainier View,7
ES,,Wing Luke,Dunlap,6
ES,,Wing Luke,Sand Point,3
ES,,Wing Luke,Maple,2
ES,,Wing Luke,Concord Intl,1
ES,,Wing Luke,John Rogers,1
ES,,Wing Luke,Kimball,1
ES,,Wing Luke,Lowell,1
ES,,Wing Luke,Madrona,1
ES,,Wing Luke,Martin Luther King,1
ES,,Wing Luke,Stevens,1
ES,,Wing Luke,Thurgood Marshall,1
ES,,Arbor Heights,Arbor Heights,436
ES,,Arbor Heights,Concord Intl,9
ES,,Arbor Heights,Gatewood,8
ES,,Arbor Heights,Out of District/Unknown,6
ES,,Arbor Heights,Sanislo,5
ES,,Arbor Heights,Emerson,2
ES,,Arbor Heights,Highland Park,2
ES,,Arbor Heights,Lafayette,2
ES,,Arbor Heights,Alki,1
ES,,Arbor Heights,Fairmount Park,1
ES,,Arbor Heights,West Seattle ES,1
ES,,Concord Intl,Concord Intl,203
ES,,Concord Intl,Out of District/Unknown,9
ES,,Concord Intl,Highland Park,9
ES,,Concord Intl,Roxhill,8
ES,,Concord Intl,Lafayette,3
ES,,Concord Intl,Fairmount Park,2
ES,,Concord Intl,Kimball,2
ES,,Concord Intl,Rainier View,2
ES,,Concord Intl,Rising Star,2
ES,,Concord Intl,Sanislo,2
ES,,Concord Intl,Adams,1
ES,,Concord Intl,Arbor Heights,1
ES,,Concord Intl,Bailey Gatzert,1
ES,,Concord Intl,Beacon Hill Intl,1
ES,,Concord Intl,Gatewood,1
ES,,Concord Intl,Hawthorne,1
ES,,Highland Park,Highland Park,237
ES,,Highland Park,Sanislo,10
ES,,Highland Park,Out of District/Unknown,9
ES,,Highland Park,Concord Intl,6
ES,,Highland Park,Roxhill,4
ES,,Highland Park,Fairmount Park,3
ES,,Highland Park,West Seattle ES,3
ES,,Highland Park,Lafayette,2
ES,,Highland Park,Hawthorne,1
ES,,Highland Park,Lowell,1
ES,,Roxhill,Roxhill,233
ES,,Roxhill,Highland Park,9
ES,,Roxhill,Out of District/Unknown,6
ES,,Roxhill,West Seattle ES,6
ES,,Roxhill,Gatewood,2
ES,,Roxhill,Sanislo,2
ES,,Roxhill,Concord Intl,1
ES,,Roxhill,Fairmount Park,1
ES,,Sanislo,Sanislo,116
ES,,Sanislo,West Seattle ES,8
ES,,Sanislo,Concord Intl,6
ES,,Sanislo,Out of District/Unknown,5
ES,,Sanislo,Roxhill,4
ES,,Sanislo,Highland Park,2
ES,,Sanislo,John Rogers,2
ES,,Sanislo,Fairmount Park,1
ES,,Sanislo,Lafayette,1
ES,,West Seattle Elem.,West Seattle ES,307
ES,,West Seattle Elem.,Sanislo,9
ES,,West Seattle Elem.,Out of District/Unknown,7
ES,,West Seattle Elem.,Roxhill,7
ES,,West Seattle Elem.,Concord Intl,6
ES,,West Seattle Elem.,Highland Park,5
ES,,West Seattle Elem.,Fairmount Park,3
ES,,West Seattle Elem.,Alki,2
ES,,West Seattle Elem.,Arbor Heights,1
ES,,West Seattle Elem.,Bailey Gatzert,1
ES,,West Seattle Elem.,Genesee Hill,1
ES,,Bryant,Bryant,452
ES,,Bryant,Sand Point,6
ES,,Bryant,View Ridge,5
ES,,Bryant,Wedgwood,5
ES,,Bryant,Out of District/Unknown,1
ES,,Bryant,Green Lake,1
ES,,Bryant,Laurelhurst,1
ES,,Bryant,West Woodland,1
ES,,Green Lake,Green Lake,345
ES,,Green Lake,B.F. Day,2
ES,,Green Lake,Bryant,2
ES,,Green Lake,Greenwood,2
ES,,Green Lake,Sand Point,2
ES,,Green Lake,Viewlands,2
ES,,Green Lake,Broadview-Thomson K-8,1
ES,,Green Lake,Catharine Blaine K-8,1
ES,,Green Lake,James Baldwin,1
ES,,Green Lake,Laurelhurst,1
ES,,Green Lake,Magnolia,1
ES,,Green Lake,Maple,1
ES,,Green Lake,North Beach,1
ES,,Green Lake,Olympic View,1
ES,,Laurelhurst,Laurelhurst,244
ES,,Laurelhurst,Sand Point,9
ES,,Laurelhurst,Bryant,7
ES,,Laurelhurst,Wedgwood,5
