level,grade_band,residence_area,school,n
ES,,Dunlap,Dunlap,195
ES,,Dunlap,South Shore PK-8,65
ES,,Dunlap,Orca K-8,14
ES,,Dunlap,Rising Star,8
ES,,Dunlap,Thurgood Marshall,7
ES,,Dunlap,Emerson,6
ES,,Dunlap,Wing Luke,6
ES,,Dunlap,Martin Luther King,5
ES,,Dunlap,Dearborn Park Intl,4
ES,,Dunlap,Maple,3
ES,,Dunlap,Cascade Parent Partnership,2
ES,,Dunlap,Rainier View,2
ES,,Dunlap,STEM K-8,2
ES,,Dunlap,Cascade Virtual Option K-12,1
ES,,Dunlap,Hawthorne,1
ES,,Dunlap,John Muir,1
ES,,Dunlap,Non Public Agencies,1
ES,,Dunlap,TOPS K-8,1
ES,,Emerson,Emerson,340
ES,,Emerson,South Shore PK-8,107
ES,,Emerson,Graham Hill,12
ES,,Emerson,Orca K-8,11
ES,,Emerson,Wing Luke,11
ES,,Emerson,Dearborn Park Intl,10
ES,,Emerson,Rising Star,8
ES,,Emerson,Thurgood Marshall,7
ES,,Emerson,Dunlap,5
ES,,Emerson,Maple,5
ES,,Emerson,Martin Luther King,4
ES,,Emerson,Hawthorne,3
ES,,Emerson,Leschi,3
ES,,Emerson,Rainier View,3
ES,,Emerson,Arbor Heights,2
ES,,Emerson,Bailey Gatzert,2
ES,,Emerson,Queen Anne,2
ES,,Emerson,STEM K-8,2
ES,,Emerson,TOPS K-8,2
ES,,Emerson,Genesee Hill,1
ES,,Emerson,Lowell,1
ES,,Emerson,Non Public Agencies,1
ES,,Emerson,Pathfinder K-8,1
ES,,Graham Hill,Graham Hill,208
ES,,Graham Hill,Orca K-8,19
ES,,Graham Hill,South Shore PK-8,14
ES,,Graham Hill,Martin Luther King,10
ES,,Graham Hill,Cascade Virtual Option K-12,3
ES,,Graham Hill,Emerson,3
ES,,Graham Hill,Stevens,3
ES,,Graham Hill,Thurgood Marshall,3
ES,,Graham Hill,Hawthorne,2
ES,,Graham Hill,Kimball,2
ES,,Graham Hill,McGilvra,2
ES,,Graham Hill,Olympic Hills,2
ES,,Graham Hill,Rising Star,2
ES,,Graham Hill,TOPS K-8,2
ES,,Graham Hill,Beacon Hill Intl,1
ES,,Graham Hill,Dunlap,1
ES,,Graham Hill,John Hay,1
ES,,Graham Hill,Non Public Agencies,1
ES,,Hawthorne,Hawthorne,375
ES,,Hawthorne,Orca K-8,81
ES,,Hawthorne,Thurgood Marshall,21
ES,,Hawthorne,Dearborn Park Intl,11
ES,,Hawthorne,Graham Hill,11
ES,,Hawthorne,South Shore PK-8,7
ES,,Hawthorne,TOPS K-8,6
ES,,Hawthorne,Kimball,4
ES,,Hawthorne,Beacon Hill Intl,3
ES,,Hawthorne,Maple,3
ES,,Hawthorne,Rising Star,3
ES,,Hawthorne,Dunlap,2
ES,,Hawthorne,Exp. Ed. Unit,2
ES,,Hawthorne,John Muir,2
ES,,Hawthorne,John Stanford Intl,2
ES,,Hawthorne,Stevens,2
ES,,Hawthorne,Viewlands,2
ES,,Hawthorne,Cascade Parent Partnership,1
ES,,Hawthorne,Concord Intl,1
ES,,Hawthorne,Highland Park,1
ES,,Hawthorne,John Hay,1
ES,,Hawthorne,Madrona,1
ES,,Hawthorne,Martin Luther King,1
ES,,Hawthorne,STEM K-8,1
ES,,Martin Luther King Jr.,Martin Luther King,212
ES,,Martin Luther King Jr.,South Shore PK-8,21
ES,,Martin Luther King Jr.,Orca K-8,17
ES,,Martin Luther King Jr.,Graham Hill,9
ES,,Martin Luther King Jr.,Rising Star,9
ES,,Martin Luther King Jr.,Kimball,7
ES,,Martin Luther King Jr.,Thurgood Marshall,6
ES,,Martin Luther King Jr.,Dunlap,4
ES,,Martin Luther King Jr.,Cascade Parent Partnership,2
ES,,Martin Luther King Jr.,Emerson,2
ES,,Martin Luther King Jr.,Maple,2
ES,,Martin Luther King Jr.,Bailey Gatzert,1
ES,,Martin Luther King Jr.,Beacon Hill Intl,1
ES,,Martin Luther King Jr.,Dearborn Park Intl,1
ES,,Martin Luther King Jr.,Hawthorne,1
ES,,Martin Luther King Jr.,Lowell,1
ES,,Martin Luther King Jr.,TOPS K-8,1
ES,,Martin Luther King Jr.,Wing Luke,1
ES,,Rainier View,Rainier View,153
ES,,Rainier View,South Shore PK-8,38
ES,,Rainier View,Emerson,10
ES,,Rainier View,Orca K-8,10
ES,,Rainier View,Rising Star,7
ES,,Rainier View,Wing Luke,7
ES,,Rainier View,Maple,5
ES,,Rainier View,Dearborn Park Intl,4
ES,,Rainier View,Thurgood Marshall,4
ES,,Rainier View,Concord Intl,2
ES,,Rainier View,Graham Hill,2
ES,,Rainier View,Martin Luther King,2
ES,,Rainier View,Priv/Paroch Sped,2
ES,,Rainier View,Cascade Parent Partnership,1
ES,,Rainier View,TOPS K-8,1
ES,,Wing Luke,Wing Luke,229
ES,,Wing Luke,South Shore PK-8,19
ES,,Wing Luke,Rising Star,18
ES,,Wing Luke,Emerson,8
ES,,Wing Luke,Thurgood Marshall,8
ES,,Wing Luke,Graham Hill,4
ES,,Wing Luke,John Muir,3
ES,,Wing Luke,Martin Luther King,3
ES,,Wing Luke,Beacon Hill Intl,2
ES,,Wing Luke,Genesee Hill,2
ES,,Wing Luke,Lowell,2
ES,,Wing Luke,Loyal Heights,2
ES,,Wing Luke,Bailey Gatzert,1
ES,,Wing Luke,Cascade Virtual Option K-12,1
ES,,Wing Luke,Dunlap,1
ES,,Wing Luke,Kimball,1
ES,,Wing Luke,Lawton,1
ES,,Wing Luke,Maple,1
ES,,Wing Luke,McDonald Intl,1
ES,,Wing Luke,Montlake,1
ES,,Wing Luke,Orca K-8,1
ES,,Wing Luke,TOPS K-8,1
ES,,Wing Luke,Wedgwood,1
ES,,Arbor Heights,Arbor Heights,436
ES,,Arbor Heights,Pathfinder K-8,20
ES,,Arbor Heights,STEM K-8,12
ES,,Arbor Heights,Gatewood,6
ES,,Arbor Heights,Genesee Hill,5
ES,,Arbor Heights,Cascade Parent Partnership,4
ES,,Arbor Heights,Alki,3
ES,,Arbor Heights,Lafayette,3
ES,,Arbor Heights,Concord Intl,1
ES,,Arbor Heights,Non Public Agencies,1
ES,,Arbor Heights,Orca K-8,1
ES,,Arbor Heights,West Seattle ES,1
ES,,Concord Intl,Concord Intl,203
ES,,Concord Intl,STEM K-8,15
ES,,Concord Intl,Pathfinder K-8,12
ES,,Concord Intl,Arbor Heights,9
ES,,Concord Intl,Highland Park,6
ES,,Concord Intl,Sanislo,6
ES,,Concord Intl,West Seattle ES,6
ES,,Concord Intl,Gatewood,3
ES,,Concord Intl,South Shore PK-8,2
ES,,Concord Intl,Dearborn Park Intl,1
ES,,Concord Intl,Fairmount Park,1
ES,,Concord Intl,Genesee Hill,1
ES,,Concord Intl,Martin Luther King,1
ES,,Concord Intl,Non Public Agencies,1
ES,,Concord Intl,Roxhill,1
ES,,Concord Intl,Thurgood Marshall,1
ES,,Concord Intl,Wing Luke,1
ES,,Highland Park,Highland Park,237
ES,,Highland Park,STEM K-8,24
ES,,Highland Park,Pathfinder K-8,12
ES,,Highland Park,Concord Intl,9
ES,,Highland Park,Roxhill,9
ES,,Highland Park,Cascade Parent Partnership,5
ES,,Highland Park,West Seattle ES,5
ES,,Highland Park,Arbor Heights,2
ES,,Highland Park,Sanislo,2
ES,,Highland Park,Alki,1
ES,,Highland Park,Cascade Virtual Option K-12,1
ES,,Highland Park,Genesee Hill,1
ES,,Highland Park,Martin Luther King,1
ES,,Highland Park,Priv/Paroch Sped,1
ES,,Highland Park,Thurgood Marshall,1
ES,,Roxhill,Roxhill,233
ES,,Roxhill,STEM K-8,38
ES,,Roxhill,Pathfinder K-8,16
ES,,Roxhill,Concord Intl,8
ES,,Roxhill,West Seattle ES,7
ES,,Roxhill,Gatewood,6
ES,,Roxhill,Thurgood Marshall,6
ES,,Roxhill,Beacon Hill Intl,5
ES,,Roxhill,Highland Park,4
ES,,Roxhill,Sanislo,4
ES,,Roxhill,Hazel Wolf K-8,3
ES,,Roxhill,Cascade Parent Partnership,2
ES,,Roxhill,Fairmount Park,2
ES,,Roxhill,Lafayette,2
ES,,Roxhill,McDonald Intl,2
ES,,Roxhill,Non Public Agencies,2
ES,,Roxhill,Exp. Ed. Unit,1
ES,,Roxhill,Genesee Hill,1
ES,,Roxhill,Graham Hill,1
ES,,Roxhill,Martin Luther King,1
ES,,Roxhill,Priv/Paroch Sped,1
ES,,Roxhill,Rising Star,1
ES,,Roxhill,TOPS K-8,1
ES,,Sanislo,Sanislo,116
ES,,Sanislo,STEM K-8,60
ES,,Sanislo,Pathfinder K-8,27
ES,,Sanislo,Highland Park,10
ES,,Sanislo,West Seattle ES,9
ES,,Sanislo,Arbor Heights,5
ES,,Sanislo,South Shore PK-8,3
ES,,Sanislo,Bailey Gatzert,2
ES,,Sanislo,Concord Intl,2
ES,,Sanislo,Fairmount Park,2
ES,,Sanislo,Roxhill,2
ES,,Sanislo,Beacon Hill Intl,1
ES,,Sanislo,Cascade Parent Partnership,1
ES,,Sanislo,Thurgood Marshall,1
ES,,Sanislo,TOPS K-8,1
ES,,West Seattle Elem.,West Seattle ES,307
ES,,West Seattle Elem.,STEM K-8,76
ES,,West Seattle Elem.,Sanislo,8
ES,,West Seattle Elem.,Pathfinder K-8,7
ES,,West Seattle Elem.,Roxhill,6
ES,,West Seattle Elem.,Fairmount Park,5
ES,,West Seattle Elem.,Thurgood Marshall,5
ES,,West Seattle Elem.,Highland Park,3
ES,,West Seattle Elem.,Lafayette,2
ES,,West Seattle Elem.,Alki,1
ES,,West Seattle Elem.,Arbor Heights,1
ES,,West Seattle Elem.,Bailey Gatzert,1
ES,,West Seattle Elem.,Cascade Virtual Option K-12,1
ES,,West Seattle Elem.,Genesee Hill,1
ES,,West Seattle Elem.,Hazel Wolf K-8,1
ES,,West Seattle Elem.,South Shore PK-8,1
ES,,Bryant,Bryant,452
ES,,Bryant,Decatur,55
ES,,Bryant,Thornton Creek,21
ES,,Bryant,John Stanford Intl,10
ES,,Bryant,Sand Point,8
ES,,Bryant,Laurelhurst,7
ES,,Bryant,McDonald Intl,5
ES,,Bryant,Daniel Bagley,3
ES,,Bryant,Wedgwood,3
ES,,Bryant,Cascade Parent Partnership,2
ES,,Bryant,Cascade Virtual Option K-12,2
ES,,Bryant,Green Lake,2
ES,,Bryant,Hazel Wolf K-8,2
ES,,Bryant,Sacajawea,2
ES,,Bryant,Adams,1
ES,,Bryant,Broadview-Thomson K-8,1
ES,,Bryant,Cascadia,1
ES,,Bryant,Non Public Agencies,1
ES,,Bryant,TOPS K-8,1
ES,,Green Lake,Green Lake,345
ES,,Green Lake,McDonald Intl,251
ES,,Green Lake,John Stanford Intl,156
ES,,Green Lake,Cascadia,49
ES,,Green Lake,Hazel Wolf K-8,20
ES,,Green Lake,Thornton Creek,19
ES,,Green Lake,Daniel Bagley,7
ES,,Green Lake,B.F. Day,5
ES,,Green Lake,TOPS K-8,5
ES,,Green Lake,West Woodland,4
ES,,Green Lake,Cascade Parent Partnership,3
ES,,Green Lake,Laurelhurst,3
ES,,Green Lake,Salmon Bay K-8,3
ES,,Green Lake,Wedgwood,3
ES,,Green Lake,Lowell,2
ES,,Green Lake,Non Public Agencies,2
ES,,Green Lake,Olympic Hills,2
ES,,Green Lake,Olympic View,2
ES,,Green Lake,Sacajawea,2
ES,,Green Lake,Sand Point,2
ES,,Green Lake,Whittier,2
ES,,Green Lake,Broadview-Thomson K-8,1
ES,,Green Lake,Bryant,1
ES,,Green Lake,Cedar Park,1
ES,,Green Lake,John Rogers,1
ES,,Green Lake,McGilvra,1
ES,,Green Lake,Montlake,1
ES,,Green Lake,Pathfinder K-8,1
ES,,Green Lake,Priv/Paroch Sped,1
ES,,Green Lake,Queen Anne,1
ES,,Green Lake,South Shore PK-8,1
ES,,Green Lake,STEM K-8,1
ES,,Green Lake,View Ridge,1
ES,,Laurelhurst,Laurelhurst,244
ES,,Laurelhurst,Thornton Creek,19
ES,,Laurelhurst,Decatur,16
ES,,Laurelhurst,McDonald Intl,5
ES,,Laurelhurst,John Stanford Intl,4
ES,,Laurelhurst,Hazel Wolf K-8,2
ES,,Laurelhurst,Beacon Hill Intl,1
ES,,Laurelhurst,Bryant,1
ES,,Laurelhurst,Cascade Parent Partnership,1
ES,,Laurelhurst,Green Lake,1
ES,,Laurelhurst,Non Public Agencies,1
ES,,Laurelhurst,Sand Point,1
ES,,Laurelhurst,TOPS K-8,1
ES,,Laurelhurst,Wedgwood,1
ES,,Sand Point,Sand Point,124
ES,,Sand Point,Thornton Creek,32
ES,,Sand Point,Decatur,19
ES,,Sand Point,View Ridge,14
ES,,Sand Point,Laurelhurst,9
ES,,Sand Point,Bryant,6
ES,,Sand Point,Cedar Park,3
ES,,Sand Point,Hazel Wolf K-8,3
ES,,Sand Point,Non Public Agencies,3
ES,,Sand Point,Wing Luke,3
ES,,Sand Point,Cascade Parent Partnership,2
