level,school,grade_band,residence_area,n
ES,Orca K-8,K-5,Hawthorne,81
ES,Orca K-8,K-5,Graham Hill,19
ES,Orca K-8,K-5,Martin Luther King,17
ES,Orca K-8,K-5,Dunlap,14
ES,Orca K-8,K-5,Rising Star,12
ES,Orca K-8,K-5,Out of District/Unknown,11
ES,Orca K-8,K-5,Emerson,11
ES,Orca K-8,K-5,John Muir,10
ES,Orca K-8,K-5,Rainier View,10
ES,Orca K-8,K-5,Kimball,7
ES,Orca K-8,K-5,Dearborn Park Intl,6
ES,Orca K-8,K-5,Thurgood Marshall,5
ES,Orca K-8,K-5,Beacon Hill Intl,2
ES,Orca K-8,K-5,Lowell,2
ES,Orca K-8,K-5,Arbor Heights,1
ES,Orca K-8,K-5,Maple,1
ES,Orca K-8,K-5,Wing Luke,1
ES,Orca K-8,6-8,Aki Kurose,33
ES,Orca K-8,6-8,Washington,26
ES,Orca K-8,6-8,Mercer Intl,5
ES,Orca K-8,6-8,Out of District/Unknown,3
ES,Orca K-8,6-8,Meany,2
ES,Orca K-8,6-8,David T. Denny Intl,1
ES,South Shore K-8,K-5,Emerson,107
ES,South Shore K-8,K-5,Dunlap,65
ES,South Shore K-8,K-5,Rainier View,38
ES,South Shore K-8,K-5,Martin Luther King,21
ES,South Shore K-8,K-5,Wing Luke,19
ES,South Shore K-8,K-5,Graham Hill,14
ES,South Shore K-8,K-5,Out of District/Unknown,10
ES,South Shore K-8,K-5,Rising Star,10
ES,South Shore K-8,K-5,Dearborn Park Intl,8
ES,South Shore K-8,K-5,Hawthorne,7
ES,South Shore K-8,K-5,John Muir,6
ES,South Shore K-8,K-5,Kimball,3
ES,South Shore K-8,K-5,Sanislo,3
ES,South Shore K-8,K-5,Concord Intl,2
ES,South Shore K-8,K-5,John Rogers,2
ES,South Shore K-8,K-5,Bailey Gatzert,1
ES,South Shore K-8,K-5,Beacon Hill Intl,1
ES,South Shore K-8,K-5,Coe,1
ES,South Shore K-8,K-5,Gatewood,1
ES,South Shore K-8,K-5,Green Lake,1
ES,South Shore K-8,K-5,Greenwood,1
ES,South Shore K-8,K-5,Leschi,1
ES,South Shore K-8,K-5,Lowell,1
ES,South Shore K-8,K-5,Madrona,1
ES,South Shore K-8,K-5,Olympic Hills,1
ES,South Shore K-8,K-5,West Seattle ES,1
ES,South Shore K-8,6-8,Aki Kurose,143
ES,South Shore K-8,6-8,Out of District/Unknown,11
ES,South Shore K-8,6-8,Mercer Intl,9
ES,South Shore K-8,6-8,David T. Denny Intl,4
ES,South Shore K-8,6-8,Washington,3
ES,South Shore K-8,6-8,Hamilton Intl,1
ES,South Shore K-8,6-8,Meany,1
ES,STEM K-8,K-5,West Seattle ES,76
ES,STEM K-8,K-5,Sanislo,60
ES,STEM K-8,K-5,Roxhill,38
