draw,program,base_riders,scen_riders,d_riders,base_dist_mean,base_dist_p50,base_dist_p90,scen_dist_mean,scen_dist_p50,scen_dist_p90
0,basic,10008.5,10177.3427,168.8427,1.5567,1.2748,2.8094,1.5555,1.2872,2.7858
0,gifted,1315.5,1315.5,0.0,,,,,,
1,basic,10008.5,10160.3429,151.8429,1.572,1.2872,2.8156,1.5718,1.3034,2.8093
1,gifted,1315.5,1315.5,0.0,,,,,,
2,basic,10008.5,10193.58,185.08,1.5125,1.2233,2.7121,1.5134,1.227,2.6787
2,gifted,1315.5,1315.5,0.0,,,,,,
3,basic,10008.5,10210.177,201.677,1.5425,1.2472,2.7959,1.5423,1.2527,2.7854
3,gifted,1315.5,1315.5,0.0,,,,,,
4,basic,10008.5,10186.8529,178.3529,1.5445,1.2527,2.7856,1.5443,1.259,2.7688
4,gifted,1315.5,1315.5,0.0,,,,,,
5,basic,10008.5,10161.7818,153.2818,1.5655,1.259,2.8102,1.5674,1.2815,2.7981
5,gifted,1315.5,1315.5,0.0,,,,,,
6,basic,10008.5,10175.7736,167.2736,1.5644,1.2528,2.8155,1.5652,1.259,2.7994
6,gifted,1315.5,1315.5,0.0,,,,,,
7,basic,10008.5,10184.709,176.209,1.5347,1.2233,2.7555,1.5371,1.2297,2.7327
7,gifted,1315.5,1315.5,0.0,,,,,,
8,basic,10008.5,10177.1946,168.6946,1.5823,1.3069,2.8158,1.5821,1.3298,2.8093
8,gifted,1315.5,1315.5,0.0,,,,,,
9,basic,10008.5,10171.9341,163.4341,1.5758,1.2872,2.8185,1.5749,1.3033,2.8119
9,gifted,1315.5,1315.5,0.0,,,,,,
10,basic,10008.5,10183.8515,175.3515,1.5611,1.2529,2.8153,1.5612,1.259,2.7982
10,gifted,1315.5,1315.5,0.0,,,,,,
11,basic,10008.5,10162.8289,154.3289,1.5802,1.2825,2.8226,1.5805,1.3035,2.8156
11,gifted,1315.5,1315.5,0.0,,,,,,
12,basic,10008.5,10176.9131,168.4131,1.579,1.2773,2.8158,1.5802,1.2898,2.8094
12,gifted,1315.5,1315.5,0.0,,,,,,
13,basic,10008.5,10198.3869,189.8869,1.5512,1.259,2.7858,1.5513,1.2657,2.7775
13,gifted,1315.5,1315.5,0.0,,,,,,
14,basic,10008.5,10196.0426,187.5426,1.502,1.2233,2.6849,1.5021,1.2266,2.6631
14,gifted,1315.5,1315.5,0.0,,,,,,
15,basic,10008.5,10172.6468,164.1468,1.5634,1.259,2.8152,1.5632,1.2815,2.7982
15,gifted,1315.5,1315.5,0.0,,,,,,
16,basic,10008.5,10179.3128,170.8128,1.6043,1.2904,2.8463,1.6055,1.3067,2.846
16,gifted,1315.5,1315.5,0.0,,,,,,
17,basic,10008.5,10195.3532,186.8532,1.5431,1.2566,2.7858,1.5428,1.259,2.7775
17,gifted,1315.5,1315.5,0.0,,,,,,
18,basic,10008.5,10224.4805,215.9805,1.5584,1.2528,2.8038,1.5589,1.259,2.7856
18,gifted,1315.5,1315.5,0.0,,,,,,
19,basic,10008.5,10165.991,157.491,1.5893,1.2814,2.8433,1.5894,1.2898,2.8206
19,gifted,1315.5,1315.5,0.0,,,,,,
20,basic,10008.5,10202.2933,193.7933,1.5587,1.2566,2.7857,1.5601,1.259,2.7816
20,gifted,1315.5,1315.5,0.0,,,,,,
21,basic,10008.5,10174.7664,166.2664,1.5416,1.2529,2.7621,1.5421,1.259,2.7384
21,gifted,1315.5,1315.5,0.0,,,,,,
22,basic,10008.5,10204.5257,196.0257,1.554,1.259,2.7982,1.5541,1.2748,2.7855
22,gifted,1315.5,1315.5,0.0,,,,,,
23,basic,10008.5,10183.2469,174.7469,1.545,1.259,2.7582,1.5447,1.2815,2.7361
23,gifted,1315.5,1315.5,0.0,,,,,,
24,basic,10008.5,10178.5627,170.0627,1.5651,1.2871,2.8045,1.5651,1.3033,2.7857
24,gifted,1315.5,1315.5,0.0,,,,,,
25,basic,10008.5,10192.1848,183.6848,1.5286,1.2252,2.745,1.5304,1.2392,2.7183
25,gifted,1315.5,1315.5,0.0,,,,,,
26,basic,10008.5,10186.9291,178.4291,1.5817,1.2908,2.8206,1.5799,1.3066,2.8154
26,gifted,1315.5,1315.5,0.0,,,,,,
27,basic,10008.5,10197.1475,188.6475,1.5355,1.2394,2.7632,1.5367,1.2478,2.7383
27,gifted,1315.5,1315.5,0.0,,,,,,
28,basic,10008.5,10177.6451,169.1451,1.5317,1.2437,2.7633,1.5309,1.2527,2.7382
28,gifted,1315.5,1315.5,0.0,,,,,,
29,basic,10008.5,10182.008,173.508,1.5616,1.2527,2.8158,1.5624,1.259,2.8092
29,gifted,1315.5,1315.5,0.0,,,,,,
30,basic,10008.5,10172.8875,164.3875,1.5346,1.2297,2.7555,1.5347,1.2437,2.7281
30,gifted,1315.5,1315.5,0.0,,,,,,
31,basic,10008.5,10187.4794,178.9794,1.5259,1.2473,2.7494,1.5256,1.2528,2.7207
31,gifted,1315.5,1315.5,0.0,,,,,,
32,basic,10008.5,10210.6687,202.1687,1.4995,1.2252,2.6631,1.4996,1.23,2.6424
32,gifted,1315.5,1315.5,0.0,,,,,,
33,basic,10008.5,10180.9183,172.4183,1.5524,1.2557,2.7854,1.5531,1.259,2.7572
33,gifted,1315.5,1315.5,0.0,,,,,,
