draw,school_id,program,base_eligible,base_riders,scen_eligible,scen_riders,base_dist_mean,scen_dist_mean
0,103,basic,276.512,246.901,276.512,246.901,1.662,1.662
0,104,basic,119.222,52.816,119.222,52.816,2.094,2.094
0,105,basic,444.39,216.297,444.39,216.297,2.371,2.371
0,105,gifted,178.136,163.931,178.136,163.931,,
0,106,basic,450.543,286.172,450.543,286.172,1.687,1.687
0,106,gifted,115.56,106.345,115.56,106.345,,
0,107,basic,513.874,265.104,513.874,265.104,2.493,2.493
0,109,basic,144.496,100.914,144.496,100.914,2.032,2.032
0,110,basic,402.668,214.415,402.668,214.415,2.135,2.135
0,113,basic,378.173,241.392,378.173,241.392,2.274,2.274
0,113,gifted,134.925,124.166,134.925,124.166,,
0,115,basic,152.085,91.596,152.085,91.596,1.725,1.725
0,117,basic,249.896,158.056,249.896,158.056,2.317,2.317
0,117,gifted,89.139,82.03,89.139,82.03,,
0,118,basic,268.315,145.188,268.315,145.188,2.145,2.145
0,130,basic,675.58,402.833,675.58,402.833,1.738,1.738
0,201,basic,78.179,50.541,77.924,50.425,1.121,1.116
0,202,basic,169.423,87.648,169.351,87.615,1.683,1.682
0,203,basic,266.501,181.411,266.455,181.411,1.33,1.329
0,204,basic,177.623,124.203,176.869,123.371,1.442,1.456
0,208,basic,202.684,164.553,201.423,163.481,1.276,1.279
0,209,basic,150.438,51.291,150.391,51.275,0.792,0.792
0,210,basic,192.76,79.641,192.366,79.527,1.426,1.423
0,211,basic,70.61,43.966,70.518,43.913,1.1,1.099
0,212,gifted,205.947,189.524,205.947,189.524,,
0,215,basic,115.096,67.158,115.398,67.338,0.846,0.846
0,218,basic,152.33,91.911,152.247,91.858,0.767,0.767
0,220,basic,86.199,70.755,86.321,70.698,1.336,1.345
0,221,basic,164.634,107.729,164.748,107.687,1.013,1.018
0,222,basic,134.162,79.803,133.797,79.764,1.97,1.959
0,225,basic,78.273,38.828,78.321,38.846,1.245,1.246
0,226,basic,248.416,156.739,248.296,156.889,1.246,1.239
0,229,basic,249.801,200.707,249.643,200.565,1.149,1.149
0,230,basic,114.43,75.81,113.568,75.1,1.061,1.072
0,233,basic,280.825,170.025,280.765,169.986,0.828,0.828
0,234,basic,79.847,64.075,79.77,64.026,1.178,1.177
0,235,basic,77.572,48.602,206.155,122.542,1.144,1.437
0,236,basic,55.631,48.441,55.498,48.261,1.107,1.116
0,239,basic,278.251,160.825,278.062,160.729,1.741,1.741
0,241,basic,385.176,129.915,385.056,129.871,1.907,1.907
