draw,program,base_riders,scen_riders,d_riders,base_dist_mean,base_dist_p50,base_dist_p90,scen_dist_mean,scen_dist_p50,scen_dist_p90
0,basic,10008.5,9852.8849,-155.6151,1.5711,1.2773,2.8158,1.6095,1.3657,2.8314
0,gifted,1315.5,1313.8088,-1.6912,,,,,,
1,basic,10008.5,9862.5442,-145.9558,1.5738,1.2873,2.8157,1.6098,1.3708,2.8185
1,gifted,1315.5,1313.7627,-1.7373,,,,,,
2,basic,10008.5,9875.1781,-133.3219,1.5087,1.2231,2.6898,1.5452,1.3066,2.7121
2,gifted,1315.5,1313.7607,-1.7393,,,,,,
3,basic,10008.5,9902.9,-105.6,1.5459,1.2475,2.7858,1.5825,1.343,2.8026
3,gifted,1315.5,1313.6982,-1.8018,,,,,,
4,basic,10008.5,9877.226,-131.274,1.5511,1.259,2.7858,1.5872,1.3553,2.7994
4,gifted,1315.5,1313.8133,-1.6867,,,,,,
5,basic,10008.5,9897.7275,-110.7725,1.5495,1.259,2.7857,1.5878,1.3595,2.7993
5,gifted,1315.5,1313.7097,-1.7903,,,,,,
6,basic,10008.5,9820.6706,-187.8294,1.5532,1.259,2.7876,1.5872,1.357,2.7994
6,gifted,1315.5,1313.6624,-1.8376,,,,,,
7,basic,10008.5,9840.2293,-168.2707,1.5072,1.2233,2.7083,1.5452,1.312,2.719
7,gifted,1315.5,1313.7793,-1.7207,,,,,,
8,basic,10008.5,9841.3021,-167.1979,1.5393,1.2581,2.7423,1.5747,1.3552,2.7563
8,gifted,1315.5,1313.723,-1.777,,,,,,
9,basic,10008.5,9842.3887,-166.1113,1.5291,1.2527,2.7554,1.5664,1.3434,2.7633
9,gifted,1315.5,1313.8152,-1.6848,,,,,,
10,basic,10008.5,9851.5838,-156.9162,1.5194,1.2297,2.7424,1.556,1.3143,2.7566
10,gifted,1315.5,1313.801,-1.699,,,,,,
11,basic,10008.5,9803.8167,-204.6833,1.5377,1.2478,2.774,1.5758,1.3447,2.7856
11,gifted,1315.5,1313.7737,-1.7263,,,,,,
12,basic,10008.5,9846.0586,-162.4414,1.5332,1.2252,2.7576,1.5681,1.3144,2.7775
12,gifted,1315.5,1313.8537,-1.6463,,,,,,
13,basic,10008.5,9878.7525,-129.7475,1.5733,1.2737,2.8156,1.6081,1.3601,2.8193
13,gifted,1315.5,1313.7361,-1.7639,,,,,,
14,basic,10008.5,9898.9995,-109.5005,1.5873,1.2872,2.8427,1.6217,1.3657,2.8462
14,gifted,1315.5,1313.8127,-1.6873,,,,,,
15,basic,10008.5,9841.6272,-166.8728,1.5159,1.2234,2.7384,1.5532,1.3144,2.7555
15,gifted,1315.5,1313.7134,-1.7866,,,,,,
16,basic,10008.5,9897.0903,-111.4097,1.5053,1.2343,2.6855,1.5467,1.3279,2.7189
16,gifted,1315.5,1313.7882,-1.7118,,,,,,
17,basic,10008.5,9908.1462,-100.3538,1.5552,1.2815,2.7853,1.5899,1.361,2.7993
