draw,school_id,program,base_eligible,base_riders,scen_eligible,scen_riders,base_dist_mean,scen_dist_mean
0,103,basic,276.512,246.901,276.494,246.912,1.662,1.661
0,104,basic,119.222,52.816,119.436,52.85,2.094,2.1
0,105,basic,444.39,216.297,444.269,216.208,2.371,2.372
0,105,gifted,178.136,163.931,178.136,163.931,,
0,106,basic,450.543,286.172,450.732,286.226,1.687,1.688
0,106,gifted,115.56,106.345,115.56,106.345,,
0,107,basic,513.874,265.104,512.084,264.371,2.493,2.489
0,109,basic,144.496,100.914,144.433,100.836,2.032,2.033
0,110,basic,402.668,214.415,403.369,214.735,2.135,2.136
0,113,basic,378.173,241.392,378.15,241.314,2.274,2.275
0,113,gifted,134.925,124.166,134.925,124.166,,
0,115,basic,152.085,91.596,152.08,91.593,1.725,1.725
0,117,basic,249.896,158.056,250.574,158.36,2.317,2.322
0,117,gifted,89.139,82.03,89.139,82.03,,
0,118,basic,268.315,145.188,268.479,145.237,2.145,2.147
0,130,basic,675.58,402.833,675.252,402.748,1.738,1.736
0,201,basic,78.179,50.541,77.81,50.307,1.121,1.12
0,202,basic,169.423,87.648,195.472,100.536,1.683,1.721
0,203,basic,266.501,181.411,265.513,180.924,1.33,1.324
0,204,basic,177.623,124.203,376.959,263.112,1.442,1.485
0,207,basic,0.0,0.0,125.662,90.182,,1.099
0,208,basic,202.684,164.553,0.0,0.0,1.276,
0,209,basic,150.438,51.291,246.936,83.238,0.792,0.86
0,210,basic,192.76,79.641,0.0,0.0,1.426,
0,211,basic,70.61,43.966,252.816,161.739,1.1,1.362
0,212,gifted,205.947,189.524,205.947,189.524,,
0,215,basic,115.096,67.158,114.962,67.165,0.846,0.84
0,218,basic,152.33,91.911,203.249,119.424,0.767,0.925
0,220,basic,86.199,70.755,0.0,0.0,1.336,
0,221,basic,164.634,107.729,254.582,168.788,1.013,0.985
0,222,basic,134.162,79.803,168.375,103.014,1.97,1.837
0,225,basic,78.273,38.828,77.237,38.326,1.245,1.243
0,226,basic,248.416,156.739,247.449,156.882,1.246,1.217
0,229,basic,249.801,200.707,0.0,0.0,1.149,
0,230,basic,114.43,75.81,223.468,144.824,1.061,1.212
0,233,basic,280.825,170.025,282.091,170.709,0.828,0.831
0,234,basic,79.847,64.075,0.0,0.0,1.178,
0,235,basic,77.572,48.602,132.234,81.972,1.144,1.231
0,236,basic,55.631,48.441,113.607,94.129,1.107,1.33
0,239,basic,278.251,160.825,0.0,0.0,1.741,
0,241,basic,385.176,129.915,826.38,273.98,1.907,2.226
0,242,basic,153.813,104.458,0.0,0.0,1.225,
0,243,basic,213.865,110.727,294.058,151.179,0.987,1.032
0,244,basic,37.825,35.364,38.428,35.883,1.111,1.147
0,245,basic,320.055,271.421,446.441,371.434,1.219,1.34
0,246,basic,235.572,119.66,392.091,197.264,1.21,1.274
0,247,basic,368.395,122.149,1032.892,325.581,1.619,2.274
0,248,basic,148.57,93.032,0.0,0.0,0.888,
0,249,basic,29.208,21.877,32.65,24.27,0.872,0.917
0,250,basic,82.714,60.462,136.259,101.198,0.959,0.863
0,251,basic,134.536,63.207,161.675,75.216,1.381,1.425
0,252,basic,244.115,167.399,244.164,167.633,1.453,1.446
0,255,basic,85.32,55.606,280.947,176.802,0.841,1.062
0,257,basic,125.865,105.426,418.734,337.775,1.085,1.323
0,259,basic,155.633,112.655,0.0,0.0,1.33,
