draw,program,base_riders,scen_riders,d_riders,base_dist_mean,base_dist_p50,base_dist_p90,scen_dist_mean,scen_dist_p50,scen_dist_p90
0,basic,10008.5,10326.38,317.88,1.5711,1.2773,2.8158,1.6092,1.3594,2.8463
0,gifted,1315.5,0.0,-1315.5,,,,,,
1,basic,10008.5,10325.0032,316.5032,1.5738,1.2873,2.8157,1.6093,1.3597,2.8461
1,gifted,1315.5,0.0,-1315.5,,,,,,
2,basic,10008.5,10392.7042,384.2042,1.5087,1.2231,2.6898,1.5477,1.2964,2.7434
2,gifted,1315.5,0.0,-1315.5,,,,,,
3,basic,10008.5,10420.1211,411.6211,1.5459,1.2475,2.7858,1.5831,1.3285,2.8157
3,gifted,1315.5,0.0,-1315.5,,,,,,
4,basic,10008.5,10362.9166,354.4166,1.5511,1.259,2.7858,1.5874,1.3447,2.8155
4,gifted,1315.5,0.0,-1315.5,,,,,,
5,basic,10008.5,10400.9671,392.4671,1.5495,1.259,2.7857,1.5878,1.3488,2.8154
5,gifted,1315.5,0.0,-1315.5,,,,,,
6,basic,10008.5,10271.6847,263.1847,1.5532,1.259,2.7876,1.5885,1.3484,2.8153
6,gifted,1315.5,0.0,-1315.5,,,,,,
7,basic,10008.5,10332.2509,323.7509,1.5072,1.2233,2.7083,1.5475,1.304,2.7443
7,gifted,1315.5,0.0,-1315.5,,,,,,
8,basic,10008.5,10287.5285,279.0285,1.5393,1.2581,2.7423,1.5745,1.3434,2.7681
8,gifted,1315.5,0.0,-1315.5,,,,,,
9,basic,10008.5,10305.4462,296.9462,1.5291,1.2527,2.7554,1.5658,1.3319,2.768
9,gifted,1315.5,0.0,-1315.5,,,,,,
10,basic,10008.5,10351.8174,343.3174,1.5194,1.2297,2.7424,1.5556,1.3117,2.7633
10,gifted,1315.5,0.0,-1315.5,,,,,,
11,basic,10008.5,10259.5733,251.0733,1.5377,1.2478,2.774,1.5766,1.3366,2.7858
11,gifted,1315.5,0.0,-1315.5,,,,,,
12,basic,10008.5,10354.0875,345.5875,1.5332,1.2252,2.7576,1.5689,1.3112,2.7856
12,gifted,1315.5,0.0,-1315.5,,,,,,
13,basic,10008.5,10371.0563,362.5563,1.5733,1.2737,2.8156,1.6067,1.3557,2.8462
13,gifted,1315.5,0.0,-1315.5,,,,,,
14,basic,10008.5,10411.9184,403.4184,1.5873,1.2872,2.8427,1.6205,1.3595,2.8466
14,gifted,1315.5,0.0,-1315.5,,,,,,
15,basic,10008.5,10355.5525,347.0525,1.5159,1.2234,2.7384,1.5546,1.3067,2.7634
15,gifted,1315.5,0.0,-1315.5,,,,,,
16,basic,10008.5,10410.8907,402.3907,1.5053,1.2343,2.6855,1.5458,1.3136,2.7356
16,gifted,1315.5,0.0,-1315.5,,,,,,
17,basic,10008.5,10385.2426,376.7426,1.5552,1.2815,2.7853,1.5913,1.3572,2.8155
17,gifted,1315.5,0.0,-1315.5,,,,,,
18,basic,10008.5,10382.451,373.951,1.5695,1.2793,2.8151,1.6066,1.3595,2.846
18,gifted,1315.5,0.0,-1315.5,,,,,,
19,basic,10008.5,10308.4994,299.9994,1.5772,1.2748,2.8229,1.6136,1.3572,2.8465
19,gifted,1315.5,0.0,-1315.5,,,,,,
20,basic,10008.5,10338.8171,330.3171,1.5713,1.274,2.8152,1.6082,1.3585,2.8316
20,gifted,1315.5,0.0,-1315.5,,,,,,
21,basic,10008.5,10363.2455,354.7455,1.5746,1.2748,2.8157,1.604,1.3554,2.8462
21,gifted,1315.5,0.0,-1315.5,,,,,,
22,basic,10008.5,10325.3449,316.8449,1.5486,1.2773,2.7854,1.5827,1.3554,2.789
22,gifted,1315.5,0.0,-1315.5,,,,,,
23,basic,10008.5,10327.3395,318.8395,1.5654,1.259,2.8153,1.6027,1.3512,2.8461
23,gifted,1315.5,0.0,-1315.5,,,,,,
24,basic,10008.5,10381.6843,373.1843,1.5168,1.2435,2.7315,1.5582,1.3266,2.7589
24,gifted,1315.5,0.0,-1315.5,,,,,,
25,basic,10008.5,10333.2259,324.7259,1.5337,1.2472,2.7778,1.5769,1.3313,2.8041
25,gifted,1315.5,0.0,-1315.5,,,,,,
26,basic,10008.5,10386.0563,377.5563,1.5151,1.2297,2.722,1.5549,1.3138,2.7579
26,gifted,1315.5,0.0,-1315.5,,,,,,
27,basic,10008.5,10397.3145,388.8145,1.5117,1.2252,2.7191,1.549,1.309,2.7562
27,gifted,1315.5,0.0,-1315.5,,,,,,
28,basic,10008.5,10390.4953,381.9953,1.6071,1.3034,2.8464,1.6446,1.3692,2.9049
28,gifted,1315.5,0.0,-1315.5,,,,,,
29,basic,10008.5,10338.1723,329.6723,1.5946,1.3067,2.846,1.6215,1.369,2.8465
29,gifted,1315.5,0.0,-1315.5,,,,,,
30,basic,10008.5,10322.1507,313.6507,1.5931,1.2814,2.846,1.6296,1.3596,2.8481
30,gifted,1315.5,0.0,-1315.5,,,,,,
31,basic,10008.5,10350.8997,342.3997,1.5448,1.2392,2.7854,1.5789,1.3142,2.7956
31,gifted,1315.5,0.0,-1315.5,,,,,,
32,basic,10008.5,10317.5607,309.0607,1.5261,1.2284,2.7433,1.5616,1.3135,2.7688
32,gifted,1315.5,0.0,-1315.5,,,,,,
33,basic,10008.5,10348.7256,340.2256,1.5531,1.2527,2.7994,1.5879,1.343,2.8156
33,gifted,1315.5,0.0,-1315.5,,,,,,
34,basic,10008.5,10320.8361,312.3361,1.5377,1.2476,2.7775,1.5702,1.3304,2.7857
34,gifted,1315.5,0.0,-1315.5,,,,,,
35,basic,10008.5,10303.1048,294.6048,1.5546,1.2551,2.7858,1.5863,1.3435,2.8109
35,gifted,1315.5,0.0,-1315.5,,,,,,
36,basic,10008.5,10314.6422,306.1422,1.5256,1.2473,2.7344,1.5632,1.33,2.7602
36,gifted,1315.5,0.0,-1315.5,,,,,,
37,basic,10008.5,10312.4106,303.9106,1.5853,1.2871,2.8428,1.6193,1.3596,2.8556
37,gifted,1315.5,0.0,-1315.5,,,,,,
38,basic,10008.5,10342.9057,334.4057,1.5069,1.2252,2.6856,1.5425,1.3042,2.7124
38,gifted,1315.5,0.0,-1315.5,,,,,,
39,basic,10008.5,10277.1016,268.6016,1.5406,1.2476,2.7714,1.5782,1.3346,2.7858
39,gifted,1315.5,0.0,-1315.5,,,,,,
40,basic,10008.5,10377.3702,368.8702,1.5579,1.2621,2.7852,1.5924,1.3555,2.8154
40,gifted,1315.5,0.0,-1315.5,,,,,,
41,basic,10008.5,10273.1556,264.6556,1.4755,1.2184,2.6086,1.5112,1.2748,2.6211
41,gifted,1315.5,0.0,-1315.5,,,,,,
42,basic,10008.5,10360.3042,351.8042,1.5851,1.2897,2.8428,1.6271,1.3625,2.8976
42,gifted,1315.5,0.0,-1315.5,,,,,,
43,basic,10008.5,10413.1183,404.6183,1.5551,1.259,2.7982,1.5888,1.3476,2.8156
43,gifted,1315.5,0.0,-1315.5,,,,,,
44,basic,10008.5,10382.2198,373.7198,1.5387,1.2475,2.7855,1.5763,1.3283,2.8085
44,gifted,1315.5,0.0,-1315.5,,,,,,
45,basic,10008.5,10348.0508,339.5508,1.5122,1.2252,2.7221,1.5573,1.3136,2.7588
45,gifted,1315.5,0.0,-1315.5,,,,,,
46,basic,10008.5,10381.7245,373.2245,1.5659,1.2747,2.8185,1.6081,1.3554,2.8466
46,gifted,1315.5,0.0,-1315.5,,,,,,
47,basic,10008.5,10264.2442,255.7442,1.5122,1.2252,2.6846,1.5411,1.2966,2.6982
47,gifted,1315.5,0.0,-1315.5,,,,,,
48,basic,10008.5,10351.7728,343.2728,1.5628,1.259,2.8114,1.6005,1.3553,2.8461
48,gifted,1315.5,0.0,-1315.5,,,,,,
49,basic,10008.5,10405.8374,397.3374,1.5985,1.304,2.8461,1.6291,1.3686,2.8622
49,gifted,1315.5,0.0,-1315.5,,,,,,
50,basic,10008.5,10424.9895,416.4895,1.5403,1.2472,2.7775,1.5726,1.3264,2.7856
50,gifted,1315.5,0.0,-1315.5,,,,,,
51,basic,10008.5,10347.2466,338.7466,1.5336,1.2527,2.7555,1.5702,1.3317,2.7854
51,gifted,1315.5,0.0,-1315.5,,,,,,
52,basic,10008.5,10405.371,396.871,1.5086,1.2252,2.6795,1.5422,1.3033,2.7121
52,gifted,1315.5,0.0,-1315.5,,,,,,
53,basic,10008.5,10328.1975,319.6975,1.5283,1.2347,2.7555,1.5712,1.3151,2.7858
53,gifted,1315.5,0.0,-1315.5,,,,,,
54,basic,10008.5,10316.2324,307.7324,1.5699,1.2873,2.8151,1.612,1.3596,2.8461
54,gifted,1315.5,0.0,-1315.5,,,,,,
55,basic,10008.5,10278.5375,270.0375,1.4918,1.2252,2.6493,1.5227,1.2965,2.6629
55,gifted,1315.5,0.0,-1315.5,,,,,,
56,basic,10008.5,10351.7554,343.2554,1.5667,1.259,2.8159,1.6071,1.3555,2.8465
56,gifted,1315.5,0.0,-1315.5,,,,,,
57,basic,10008.5,10383.937,375.437,1.5271,1.2473,2.7327,1.5615,1.3276,2.7562
57,gifted,1315.5,0.0,-1315.5,,,,,,
58,basic,10008.5,10340.1556,331.6556,1.6016,1.2871,2.8465,1.6328,1.3596,2.902
58,gifted,1315.5,0.0,-1315.5,,,,,,
59,basic,10008.5,10356.7308,348.2308,1.5032,1.2252,2.6704,1.5387,1.304,2.6935
59,gifted,1315.5,0.0,-1315.5,,,,,,
60,basic,10008.5,10303.622,295.122,1.5671,1.2825,2.8151,1.6004,1.3595,2.8428
60,gifted,1315.5,0.0,-1315.5,,,,,,
61,basic,10008.5,10454.5029,446.0029,1.553,1.259,2.7854,1.5822,1.3376,2.7992
61,gifted,1315.5,0.0,-1315.5,,,,,,
62,basic,10008.5,10291.2652,282.7652,1.5779,1.2528,2.8241,1.6093,1.3433,2.8464
62,gifted,1315.5,0.0,-1315.5,,,,,,
63,basic,10008.5,10328.0501,319.5501,1.5095,1.2252,2.6855,1.5457,1.3067,2.7121
63,gifted,1315.5,0.0,-1315.5,,,,,,
64,basic,10008.5,10260.6907,252.1907,1.5842,1.2903,2.8205,1.6203,1.3647,2.8465
64,gifted,1315.5,0.0,-1315.5,,,,,,
65,basic,10008.5,10410.8385,402.3385,1.5134,1.2252,2.7121,1.5517,1.3117,2.7546
65,gifted,1315.5,0.0,-1315.5,,,,,,
66,basic,10008.5,10334.6495,326.1495,1.6042,1.2945,2.8464,1.6369,1.3657,2.9034
66,gifted,1315.5,0.0,-1315.5,,,,,,
67,basic,10008.5,10342.6629,334.1629,1.5182,1.2252,2.7219,1.5495,1.3035,2.7395
67,gifted,1315.5,0.0,-1315.5,,,,,,
68,basic,10008.5,10294.4536,285.9536,1.5359,1.249,2.7565,1.5698,1.3326,2.7775
68,gifted,1315.5,0.0,-1315.5,,,,,,
69,basic,10008.5,10254.7619,246.2619,1.5625,1.2764,2.7994,1.6013,1.3589,2.8201
69,gifted,1315.5,0.0,-1315.5,,,,,,
70,basic,10008.5,10408.6442,400.1442,1.5643,1.259,2.795,1.5928,1.3433,2.8156
70,gifted,1315.5,0.0,-1315.5,,,,,,
71,basic,10008.5,10343.8183,335.3183,1.56,1.259,2.7994,1.5923,1.3465,2.8156
71,gifted,1315.5,0.0,-1315.5,,,,,,
72,basic,10008.5,10288.02,279.52,1.5672,1.259,2.8156,1.6041,1.3556,2.8462
72,gifted,1315.5,0.0,-1315.5,,,,,,
73,basic,10008.5,10323.2862,314.7862,1.5421,1.2347,2.7775,1.5708,1.3134,2.7813
73,gifted,1315.5,0.0,-1315.5,,,,,,
74,basic,10008.5,10495.0703,486.5703,1.5394,1.2414,2.7788,1.5779,1.3204,2.8037
74,gifted,1315.5,0.0,-1315.5,,,,,,
75,basic,10008.5,10292.43,283.93,1.6166,1.2898,2.8466,1.6533,1.3686,2.9226
75,gifted,1315.5,0.0,-1315.5,,,,,,
76,basic,10008.5,10387.7764,379.2764,1.5568,1.259,2.7994,1.5916,1.3447,2.8205
76,gifted,1315.5,0.0,-1315.5,,,,,,
77,basic,10008.5,10371.1628,362.6628,1.5394,1.2475,2.7775,1.5752,1.3283,2.7857
77,gifted,1315.5,0.0,-1315.5,,,,,,
78,basic,10008.5,10419.6123,411.1123,1.5345,1.2398,2.767,1.5689,1.3144,2.7857
78,gifted,1315.5,0.0,-1315.5,,,,,,
79,basic,10008.5,10378.9553,370.4553,1.5432,1.2526,2.785,1.5808,1.3361,2.8153
79,gifted,1315.5,0.0,-1315.5,,,,,,
80,basic,10008.5,10358.9133,350.4133,1.5495,1.2496,2.7857,1.5802,1.3284,2.8027
80,gifted,1315.5,0.0,-1315.5,,,,,,
81,basic,10008.5,10321.1097,312.6097,1.5108,1.2416,2.6858,1.547,1.3143,2.7194
81,gifted,1315.5,0.0,-1315.5,,,,,,
82,basic,10008.5,10388.0932,379.5932,1.5634,1.2529,2.8152,1.5997,1.3435,2.846
82,gifted,1315.5,0.0,-1315.5,,,,,,
83,basic,10008.5,10257.3577,248.8577,1.5192,1.2379,2.7327,1.5584,1.3266,2.7563
83,gifted,1315.5,0.0,-1315.5,,,,,,
84,basic,10008.5,10300.6856,292.1856,1.5389,1.2474,2.7854,1.5791,1.3315,2.7998
84,gifted,1315.5,0.0,-1315.5,,,,,,
85,basic,10008.5,10311.5131,303.0131,1.5449,1.259,2.7775,1.575,1.3398,2.7848
85,gifted,1315.5,0.0,-1315.5,,,,,,
86,basic,10008.5,10431.7847,423.2847,1.5581,1.259,2.8094,1.5952,1.3482,2.8227
86,gifted,1315.5,0.0,-1315.5,,,,,,
87,basic,10008.5,10413.2731,404.7731,1.6324,1.3275,2.8627,1.6656,1.3768,2.9633
87,gifted,1315.5,0.0,-1315.5,,,,,,
88,basic,10008.5,10287.5295,279.0295,1.5664,1.2721,2.8153,1.6059,1.356,2.8462
88,gifted,1315.5,0.0,-1315.5,,,,,,
89,basic,10008.5,10386.3655,377.8655,1.5414,1.2475,2.7854,1.577,1.3266,2.7994
89,gifted,1315.5,0.0,-1315.5,,,,,,
90,basic,10008.5,10305.0842,296.5842,1.6154,1.3033,2.8466,1.6521,1.3708,2.9256
90,gifted,1315.5,0.0,-1315.5,,,,,,
91,basic,10008.5,10395.5484,387.0484,1.5112,1.2437,2.686,1.5475,1.3144,2.7381
91,gifted,1315.5,0.0,-1315.5,,,,,,
92,basic,10008.5,10313.5841,305.0841,1.551,1.2484,2.7994,1.5925,1.3399,2.8428
92,gifted,1315.5,0.0,-1315.5,,,,,,
93,basic,10008.5,10470.1614,461.6614,1.546,1.2475,2.7775,1.5809,1.328,2.7875
93,gifted,1315.5,0.0,-1315.5,,,,,,
94,basic,10008.5,10355.5167,347.0167,1.5906,1.2628,2.8461,1.6327,1.3596,2.9028
94,gifted,1315.5,0.0,-1315.5,,,,,,
95,basic,10008.5,10361.0369,352.5369,1.5612,1.2639,2.7982,1.5949,1.3554,2.8157
95,gifted,1315.5,0.0,-1315.5,,,,,,
96,basic,10008.5,10350.8522,342.3522,1.5641,1.259,2.8089,1.5931,1.3435,2.8156
96,gifted,1315.5,0.0,-1315.5,,,,,,
97,basic,10008.5,10334.5929,326.0929,1.5816,1.2815,2.8225,1.6149,1.3596,2.8464
97,gifted,1315.5,0.0,-1315.5,,,,,,
98,basic,10008.5,10424.6735,416.1735,1.5909,1.3036,2.8421,1.6242,1.3657,2.8466
98,gifted,1315.5,0.0,-1315.5,,,,,,
99,basic,10008.5,10306.9792,298.4792,1.5504,1.259,2.7934,1.5922,1.3476,2.8206
99,gifted,1315.5,0.0,-1315.5,,,,,,
100,basic,10008.5,10394.0652,385.5652,1.5858,1.2658,2.846,1.6198,1.3555,2.8556
100,gifted,1315.5,0.0,-1315.5,,,,,,
101,basic,10008.5,10418.2693,409.7693,1.5155,1.2457,2.7121,1.5558,1.3263,2.7549
101,gifted,1315.5,0.0,-1315.5,,,,,,
102,basic,10008.5,10368.7235,360.2235,1.5639,1.259,2.8155,1.596,1.3465,2.8461
102,gifted,1315.5,0.0,-1315.5,,,,,,
103,basic,10008.5,10398.7315,390.2315,1.5458,1.2565,2.7775,1.583,1.3431,2.7858
103,gifted,1315.5,0.0,-1315.5,,,,,,
104,basic,10008.5,10290.6385,282.1385,1.5551,1.2527,2.7857,1.5892,1.3429,2.8152
104,gifted,1315.5,0.0,-1315.5,,,,,,
105,basic,10008.5,10375.4703,366.9703,1.5693,1.2577,2.8154,1.6033,1.3476,2.846
105,gifted,1315.5,0.0,-1315.5,,,,,,
106,basic,10008.5,10460.6983,452.1983,1.5685,1.2821,2.8153,1.6058,1.3596,2.8461
106,gifted,1315.5,0.0,-1315.5,,,,,,
