draw,school_id,program,base_eligible,base_riders,scen_eligible,scen_riders,base_dist_mean,scen_dist_mean
0,103,basic,276.05,247.241,315.738,282.55,1.654,1.658
0,104,basic,134.143,56.917,153.466,66.368,2.33,2.246
0,105,basic,442.21,217.439,381.212,182.934,2.323,2.474
0,105,gifted,178.326,163.838,0.0,0.0,,
0,106,basic,459.741,286.163,348.657,217.573,1.811,1.775
0,106,gifted,116.637,107.16,0.0,0.0,,
0,107,basic,510.193,264.259,533.144,275.027,2.483,2.508
0,109,basic,145.653,101.179,176.922,124.086,2.073,2.021
0,110,basic,401.941,214.953,426.842,227.075,2.123,2.154
0,113,basic,395.266,250.836,337.156,214.205,2.318,2.305
0,113,gifted,135.408,124.407,0.0,0.0,,
0,115,basic,145.982,88.047,226.44,136.822,1.732,1.721
0,117,basic,252.432,160.006,239.065,153.447,2.318,2.243
0,117,gifted,89.139,81.897,0.0,0.0,,
0,118,basic,268.46,145.473,474.993,256.443,2.15,2.173
0,130,basic,674.712,403.882,734.082,436.52,1.73,1.766
0,201,basic,73.657,48.158,121.648,79.082,1.071,1.106
0,202,basic,170.243,87.912,179.439,93.81,1.706,1.633
0,203,basic,267.342,182.229,298.155,200.201,1.336,1.422
0,204,basic,178.428,125.642,198.809,113.053,1.415,2.782
0,208,basic,212.874,172.612,0.0,0.0,1.26,
0,209,basic,155.802,53.274,178.763,60.943,0.789,0.805
0,210,basic,192.177,80.179,0.0,0.0,1.379,
0,211,basic,71.541,44.573,105.113,63.46,1.11,1.293
0,212,gifted,205.947,189.215,0.0,0.0,,
0,215,basic,115.777,67.204,140.047,79.956,0.877,0.964
0,218,basic,152.456,92.207,176.94,106.581,0.767,0.791
0,220,basic,87.059,70.947,0.0,0.0,1.379,
0,221,basic,165.022,107.966,245.405,145.601,1.024,1.524
0,222,basic,137.878,79.689,174.963,106.337,2.135,1.884
0,225,basic,78.806,39.162,84.938,42.042,1.248,1.273
0,226,basic,249.525,156.352,296.042,183.475,1.291,1.374
0,229,basic,250.822,202.196,0.0,0.0,1.143,
0,230,basic,105.291,69.894,155.463,98.208,1.062,1.375
0,233,basic,280.933,170.468,368.203,222.283,0.828,0.858
0,234,basic,80.297,64.463,0.0,0.0,1.19,
