draw,program,base_riders,scen_riders,d_riders,base_dist_mean,base_dist_p50,base_dist_p90,scen_dist_mean,scen_dist_p50,scen_dist_p90
0,basic,10008.5,10286.0677,277.5677,1.5711,1.2773,2.8158,1.6436,1.3768,2.8695
0,gifted,1315.5,1316.6939,1.1939,,,,,,
1,basic,10008.5,10294.6994,286.1994,1.5738,1.2873,2.8157,1.6442,1.3769,2.8623
1,gifted,1315.5,1316.4586,0.9586,,,,,,
2,basic,10008.5,10288.1892,279.6892,1.5087,1.2231,2.6898,1.5807,1.3144,2.799
2,gifted,1315.5,1316.4319,0.9319,,,,,,
3,basic,10008.5,10298.5766,290.0766,1.5459,1.2475,2.7858,1.6191,1.3523,2.8465
3,gifted,1315.5,1316.8378,1.3378,,,,,,
4,basic,10008.5,10283.63,275.13,1.5511,1.259,2.7858,1.6223,1.3597,2.8464
4,gifted,1315.5,1317.0674,1.5674,,,,,,
5,basic,10008.5,10309.3125,300.8125,1.5495,1.259,2.7857,1.6219,1.3689,2.8464
5,gifted,1315.5,1316.6905,1.1905,,,,,,
6,basic,10008.5,10275.2219,266.7219,1.5532,1.259,2.7876,1.6245,1.3687,2.8465
6,gifted,1315.5,1316.3479,0.8479,,,,,,
7,basic,10008.5,10254.631,246.131,1.5072,1.2233,2.7083,1.5779,1.3281,2.7933
7,gifted,1315.5,1316.9254,1.4254,,,,,,
8,basic,10008.5,10250.7363,242.2363,1.5393,1.2581,2.7423,1.6058,1.3596,2.8153
8,gifted,1315.5,1316.2496,0.7496,,,,,,
9,basic,10008.5,10260.0578,251.5578,1.5291,1.2527,2.7554,1.6003,1.3567,2.8185
9,gifted,1315.5,1316.7465,1.2465,,,,,,
10,basic,10008.5,10261.3942,252.8942,1.5194,1.2297,2.7424,1.5873,1.3362,2.8154
10,gifted,1315.5,1316.8012,1.3012,,,,,,
11,basic,10008.5,10261.8553,253.3553,1.5377,1.2478,2.774,1.6096,1.3594,2.846
11,gifted,1315.5,1316.8267,1.3267,,,,,,
12,basic,10008.5,10275.231,266.731,1.5332,1.2252,2.7576,1.6063,1.343,2.846
12,gifted,1315.5,1317.1189,1.6189,,,,,,
13,basic,10008.5,10284.1,275.6,1.5733,1.2737,2.8156,1.6413,1.3724,2.8623
