draw,program,base_riders,scen_riders,d_riders,base_dist_mean,base_dist_p50,base_dist_p90,scen_dist_mean,scen_dist_p50,scen_dist_p90
0,basic,10008.5,11143.4136,1134.9136,1.5567,1.2748,2.8094,1.6103,1.3687,2.8205
0,gifted,1315.5,1312.0761,-3.4239,,,,,,
1,basic,10008.5,11125.7864,1117.2864,1.572,1.2872,2.8156,1.626,1.3769,2.8348
1,gifted,1315.5,1312.1042,-3.3958,,,,,,
2,basic,10008.5,11173.5582,1165.0582,1.5125,1.2233,2.7121,1.5701,1.3434,2.7281
2,gifted,1315.5,1311.6351,-3.8649,,,,,,
3,basic,10008.5,11157.9412,1149.4412,1.5425,1.2472,2.7959,1.5953,1.3594,2.8094
3,gifted,1315.5,1312.2014,-3.2986,,,,,,
4,basic,10008.5,11108.9716,1100.4716,1.5445,1.2527,2.7856,1.5965,1.3596,2.7992
4,gifted,1315.5,1312.3851,-3.1149,,,,,,
5,basic,10008.5,11151.9023,1143.4023,1.5655,1.259,2.8102,1.6257,1.3658,2.8348
5,gifted,1315.5,1312.0737,-3.4263,,,,,,
6,basic,10008.5,11181.9403,1173.4403,1.5644,1.2528,2.8155,1.623,1.3596,2.8322
6,gifted,1315.5,1311.9308,-3.5692,,,,,,
7,basic,10008.5,11148.3177,1139.8177,1.5347,1.2233,2.7555,1.5931,1.3435,2.7775
7,gifted,1315.5,1312.3667,-3.1333,,,,,,
8,basic,10008.5,11120.0724,1111.5724,1.5823,1.3069,2.8158,1.6293,1.3825,2.8256
8,gifted,1315.5,1312.3779,-3.1221,,,,,,
9,basic,10008.5,11137.8829,1129.3829,1.5758,1.2872,2.8185,1.631,1.3769,2.8428
9,gifted,1315.5,1312.144,-3.356,,,,,,
10,basic,10008.5,11178.378,1169.878,1.5611,1.2529,2.8153,1.6131,1.3596,2.8185
10,gifted,1315.5,1311.4825,-4.0175,,,,,,
11,basic,10008.5,11138.2852,1129.7852,1.5802,1.2825,2.8226,1.6371,1.3768,2.8462
11,gifted,1315.5,1312.3311,-3.1689,,,,,,
12,basic,10008.5,11152.1192,1143.6192,1.579,1.2773,2.8158,1.6339,1.3769,2.8259
