draw,school_id,program,base_eligible,base_riders,scen_eligible,scen_riders,base_dist_mean,scen_dist_mean
0,103,basic,276.512,246.901,276.381,246.809,1.662,1.661
0,104,basic,119.222,52.816,119.196,52.779,2.094,2.096
0,105,basic,444.39,216.297,443.87,216.021,2.371,2.372
0,105,gifted,178.136,163.931,178.136,163.931,,
0,106,basic,450.543,286.172,450.45,286.138,1.687,1.687
0,106,gifted,115.56,106.345,115.56,106.345,,
0,107,basic,513.874,265.104,511.74,264.212,2.493,2.488
0,109,basic,144.496,100.914,144.613,100.916,2.032,2.036
0,110,basic,402.668,214.415,403.201,214.661,2.135,2.136
0,113,basic,378.173,241.392,378.021,241.257,2.274,2.275
0,113,gifted,134.925,124.166,134.925,124.166,,
0,115,basic,152.085,91.596,152.012,91.555,1.725,1.725
0,117,basic,249.896,158.056,250.65,158.394,2.317,2.323
0,117,gifted,89.139,82.03,89.139,82.03,,
0,118,basic,268.315,145.188,268.307,145.162,2.145,2.146
0,130,basic,675.58,402.833,674.973,402.584,1.738,1.736
0,201,basic,78.179,50.541,79.228,51.005,1.121,1.146
0,202,basic,169.423,87.648,170.137,87.483,1.683,1.718
0,203,basic,266.501,181.411,265.118,180.692,1.33,1.323
0,204,basic,177.623,124.203,377.18,263.295,1.442,1.484
0,207,basic,0.0,0.0,129.848,92.197,,1.154
0,208,basic,202.684,164.553,0.0,0.0,1.276,
0,209,basic,150.438,51.291,247.712,83.493,0.792,0.86
0,210,basic,192.76,79.641,0.0,0.0,1.426,
0,211,basic,70.61,43.966,252.77,161.768,1.1,1.36
0,212,gifted,205.947,189.524,0.0,0.0,,
0,215,basic,115.096,67.158,115.268,67.206,0.846,0.85
0,218,basic,152.33,91.911,204.335,119.986,0.767,0.929
0,219,basic,0.0,0.0,70.8,65.423,,1.639
0,220,basic,86.199,70.755,0.0,0.0,1.336,
0,221,basic,164.634,107.729,227.091,151.371,1.013,0.941
0,222,basic,134.162,79.803,139.443,81.078,1.97,2.103
0,225,basic,78.273,38.828,78.063,38.754,1.245,1.241
0,226,basic,248.416,156.739,339.175,211.9,1.246,1.331
0,229,basic,249.801,200.707,0.0,0.0,1.149,
0,230,basic,114.43,75.81,223.151,144.552,1.061,1.214
0,233,basic,280.825,170.025,283.189,171.209,0.828,0.836
0,234,basic,79.847,64.075,0.0,0.0,1.178,
0,235,basic,77.572,48.602,132.825,81.969,1.144,1.252
0,236,basic,55.631,48.441,115.525,94.813,1.107,1.371
0,239,basic,278.251,160.825,276.117,159.84,1.741,1.731
0,241,basic,385.176,129.915,385.104,129.989,1.907,1.902
0,242,basic,153.813,104.458,0.0,0.0,1.225,
0,243,basic,213.865,110.727,294.11,151.199,0.987,1.032
0,244,basic,37.825,35.364,162.856,153.032,1.111,1.664
