draw,rho,decay_mi,beta_ms,beta_low_income,beta_swd,beta_absent,p_max,gifted_propensity,hs_indep_factor,hs_car_factor,scale
0,0.8500000000000001,5.1138717576687815,0.1532062636485818,0.2857936520227197,5.723939750329531,0.07063421303316314,0.95,0.918755099300239,0.6594560575225007,0.8753989560461052,0.8311793131959652
1,0.8500000000000001,5.0097479295929634,0.21559412945733955,0.234348168971917,5.773816154474341,0.10325452695489257,0.95,0.9168311094415763,0.693981549332535,0.6603959302688309,0.8359549886896646
2,0.8500000000000001,3.838217311177687,0.01629436376343524,0.3081197739972825,5.608468457222505,0.0830762316432335,0.95,0.9179616554964444,0.6802751555309017,0.4942910114553016,0.899103710951515
3,0.8500000000000001,4.870946231875934,0.026023461102551788,0.30227833464306886,4.819768657617788,0.12664297366974622,0.95,0.9202371383206104,0.6619112124232837,0.24221631296980284,0.8440933289593726
4,0.8500000000000001,4.534652611615953,0.13295526385355305,0.3223803304450543,5.51346339099701,0.15547863202539955,0.95,0.9160362892909333,0.7390108456417464,0.6909222900480445,0.8604541860506023
5,0.8500000000000001,4.954874107605392,0.153032304601463,0.3124707167320409,4.985235389980731,0.02230100013586112,0.95,0.9197567263087412,0.6418755605267501,0.7729698102047886,0.8394837962470724
6,0.8500000000000001,4.5316672077296465,0.16488907903103522,0.33518299198584844,6.618806677173754,0.0045005547604448715,0.95,0.9180835949955514,0.5674222376050316,0.7918023761573644,0.8569546894764886
7,0.8500000000000001,3.5381002248908406,0.07469373744834513,0.34274065705253876,6.120125410258302,0.12543275013021998,0.95,0.9209591318496659,0.6754182375100085,0.6106029282610759,0.9219090435043903
8,0.8500000000000001,3.6131341323883563,0.21763707823169695,0.4132852301283782,6.000416754781371,0.09084535724363617,0.95,0.9164038827254773,0.6729710020174496,0.5374937349837712,0.9172466308268827
9,0.8500000000000001,4.0247947959657235,0.1553155138097021,0.34434351198413216,6.103973986274866,0.046805955566126385,0.95,0.9153490382711829,0.6139291274707397,0.5750487847189893,0.8843624739007154
10,0.8500000000000001,3.649852512143395,0.08588060981730995,0.3257802521388752,5.875669751501072,0.10092786956438773,0.95,0.9182486968724837,0.5653421288845897,0.4515754779142641,0.9137153432722633
11,0.8500000000000001,4.1771103074521205,0.13414983479019071,0.3649104523190573,6.894771017266986,0.06541177983159346,0.95,0.9183299721719729,0.5979498634127862,0.611747697760765,0.8773131098575687
12,0.8500000000000001,4.244641190953878,0.029339771544559252,0.328086445471969,6.030430595810238,0.03769662790067008,0.95,0.9192824791083692,0.6869945505643744,0.27421645570314507,0.8728071556472721
13,0.8500000000000001,4.478097575189286,0.19708005078765398,0.25764256356579607,4.9793974634112885,-0.01731147891590972,0.95,0.9182749011977357,0.812318206491967,0.41802565592668955,0.8629780806424674
14,0.8500000000000001,5.1341324114259645,0.15937917745151545,0.27906199318061425,4.009967987257165,0.025542159236796428,0.95,0.9180497690197228,0.4585099863483499,0.6543206442150618,0.8293503386843512
15,0.8500000000000001,4.070369510324907,0.029474759164856153,0.29943609787506514,5.873889153784303,0.07480842642162548,0.95,0.9192488283299067,0.7860892267932298,0.5033297190991466,0.887243992714758
16,0.8500000000000001,3.8188589009496527,0.092427927101223,0.23586581796175965,4.190035336425251,0.0896378799069325,0.95,0.9176523271369575,0.5414541662173518,0.4877999644805728,0.8965085891254749
17,0.8500000000000001,4.597985685860886,0.22129582847083748,0.4664736128634637,4.180840522715026,0.045624539426362375,0.95,0.9195962848124766,0.4254100079963357,0.692209184238615,0.8535208350741421
18,0.8500000000000001,4.831001028519718,0.20364299139087091,0.33519330038719597,5.092701193866034,0.11545332050006744,0.95,0.9202066295372373,0.710717139079625,0.5430931384941196,0.8425128229913099
19,0.8500000000000001,5.587370722019935,0.10582873118047254,0.17645440746742386,6.699009541347926,0.03823118235804577,0.95,0.9185477070793189,0.6657657928203105,0.9424106950378568,0.816511325966829
20,0.8500000000000001,5.368512997658083,0.1234172936783038,0.4212510628398829,6.234771619198547,0.05942794696318051,0.95,0.9173102997708324,0.8287059338728904,0.5801335006260497,0.8199877330401626
21,0.8500000000000001,4.622236533435785,0.18406775252771437,0.31989465195712935,4.620175040216249,0.03190697357616606,0.95,0.915465769409853,0.6860427451477966,0.08371421892578715,0.8534002653397075
22,0.8500000000000001,4.385286434816822,0.21957138259263376,0.2750240590571986,5.520857769469378,0.018410368754569743,0.95,0.9169398257433222,0.6598878936967599,0.8050371191705644,0.863391266414274
23,0.8500000000000001,4.745323530460539,0.1285796527661628,0.3384080106827974,6.2580352032536455,-0.02614228201537025,0.95,0.9190209091544596,0.7144209738862031,0.4822188609958313,0.847210755934558
24,0.8500000000000001,3.983789740061773,0.11696927360422195,0.30435759832631587,5.162545543005868,0.0947827579407683,0.95,0.913017961077207,0.7071867942724017,0.6350429604204751,0.88236323964801
25,0.8500000000000001,4.377348634964897,0.06464543334490853,0.3054594340755787,6.495085669764658,0.0945090070259431,0.95,0.9156756190706896,0.8620563599795952,0.4774523311030338,0.8618768317027095
26,0.8500000000000001,4.080492523635871,0.07129889989010854,0.23365818369801594,5.632639763762027,0.16544923912281714,0.95,0.9201609881297196,0.7386358498059624,0.5211773449651751,0.8815304032755765
27,0.8500000000000001,3.5995309577996006,0.13143017963095657,0.327812731294486,4.728913746009155,0.03342484544351572,0.95,0.9225443697817448,0.7976596104133931,0.7440821720127249,0.9166183051121441
28,0.8500000000000001,6.86847120612355,0.12665572338943865,0.2912830392870709,5.235588542287504,0.04606578184418728,0.95,0.9211328917704525,0.8393540074623809,0.34561568136643195,0.779408408855229
29,0.8500000000000001,5.348249829463811,0.24369661453043184,0.28875715703163696,5.5567121616102035,0.046566638085702106,0.95,0.9182838535112682,0.6898914260761113,0.4905557362487765,0.8247207963257153
30,0.8500000000000001,5.686275916924858,0.12146095661817508,0.2543367297840503,6.4363058170751595,0.15090353532210038,0.95,0.9184344959777009,0.6741023557034677,0.4129348246400498,0.8093208810488093
31,0.8500000000000001,4.02743305700136,0.062064780440416786,0.396957590203837,5.763956279650523,0.06010535831360488,0.95,0.9194113297146751,0.888978284653997,0.6674626460567337,0.8890325226674504
32,0.8500000000000001,3.6748298326580384,0.08989507432732546,0.3394929807297286,6.268097924058358,0.08420693722895362,0.95,0.9193062558431584,0.7011816405053392,0.2813439517562255,0.9168020878924806
33,0.8500000000000001,4.699092609753703,0.08417492840206155,0.3052462990331294,6.096938833005046,-0.042201449195305336,0.95,0.9153632388200806,0.7301425888554947,0.4837535430681866,0.8489961741002607
34,0.8500000000000001,3.897455267690963,0.11729601309395067,0.2777919235926167,6.049374099774012,0.024615242427606304,0.95,0.9163135114818344,0.5095996894861723,0.5130281415984218,0.8966189419181697
