draw,program,base_riders,scen_riders,d_riders,base_dist_mean,base_dist_p50,base_dist_p90,scen_dist_mean,scen_dist_p50,scen_dist_p90
0,basic,10008.5,10734.5784,726.0784,1.5711,1.2773,2.8158,1.6329,1.3685,2.8897
0,gifted,1315.5,0.0,-1315.5,,,,,,
1,basic,10008.5,10740.8524,732.3524,1.5738,1.2873,2.8157,1.6342,1.3753,2.8627
1,gifted,1315.5,0.0,-1315.5,,,,,,
2,basic,10008.5,10773.5017,765.0017,1.5087,1.2231,2.6898,1.5741,1.3067,2.7994
2,gifted,1315.5,0.0,-1315.5,,,,,,
3,basic,10008.5,10777.8781,769.3781,1.5459,1.2475,2.7858,1.6093,1.3442,2.8466
3,gifted,1315.5,0.0,-1315.5,,,,,,
4,basic,10008.5,10742.9361,734.4361,1.5511,1.259,2.7858,1.6133,1.3555,2.8465
4,gifted,1315.5,0.0,-1315.5,,,,,,
5,basic,10008.5,10783.905,775.405,1.5495,1.259,2.7857,1.6128,1.3595,2.8465
5,gifted,1315.5,0.0,-1315.5,,,,,,
6,basic,10008.5,10712.8851,704.3851,1.5532,1.259,2.7876,1.6173,1.3596,2.8466
6,gifted,1315.5,0.0,-1315.5,,,,,,
7,basic,10008.5,10722.657,714.157,1.5072,1.2233,2.7083,1.5714,1.3144,2.7875
7,gifted,1315.5,0.0,-1315.5,,,,,,
8,basic,10008.5,10681.1248,672.6248,1.5393,1.2581,2.7423,1.5971,1.3519,2.8155
8,gifted,1315.5,0.0,-1315.5,,,,,,
9,basic,10008.5,10705.9956,697.4956,1.5291,1.2527,2.7554,1.5926,1.3475,2.8206
9,gifted,1315.5,0.0,-1315.5,,,,,,
10,basic,10008.5,10732.925,724.425,1.5194,1.2297,2.7424,1.579,1.3281,2.8155
10,gifted,1315.5,0.0,-1315.5,,,,,,
11,basic,10008.5,10702.4364,693.9364,1.5377,1.2478,2.774,1.6018,1.3476,2.846
11,gifted,1315.5,0.0,-1315.5,,,,,,
12,basic,10008.5,10754.8241,746.3241,1.5332,1.2252,2.7576,1.5973,1.3312,2.8461
12,gifted,1315.5,0.0,-1315.5,,,,,,
13,basic,10008.5,10751.0207,742.5207,1.5733,1.2737,2.8156,1.6291,1.3596,2.8627
13,gifted,1315.5,0.0,-1315.5,,,,,,
14,basic,10008.5,10781.4573,772.9573,1.5873,1.2872,2.8427,1.6474,1.3689,2.9048
14,gifted,1315.5,0.0,-1315.5,,,,,,
15,basic,10008.5,10756.6355,748.1355,1.5159,1.2234,2.7384,1.5821,1.3281,2.82
15,gifted,1315.5,0.0,-1315.5,,,,,,
16,basic,10008.5,10760.0182,751.5182,1.5053,1.2343,2.6855,1.5676,1.3284,2.7856
16,gifted,1315.5,0.0,-1315.5,,,,,,
17,basic,10008.5,10736.8514,728.3514,1.5552,1.2815,2.7853,1.6132,1.3638,2.8462
17,gifted,1315.5,0.0,-1315.5,,,,,,
18,basic,10008.5,10740.7407,732.2407,1.5695,1.2793,2.8151,1.6303,1.3686,2.8622
18,gifted,1315.5,0.0,-1315.5,,,,,,
19,basic,10008.5,10773.1506,764.6506,1.5772,1.2748,2.8229,1.6437,1.369,2.9049
19,gifted,1315.5,0.0,-1315.5,,,,,,
20,basic,10008.5,10751.423,742.923,1.5713,1.274,2.8152,1.6358,1.3686,2.8623
20,gifted,1315.5,0.0,-1315.5,,,,,,
21,basic,10008.5,10733.5874,725.0874,1.5746,1.2748,2.8157,1.6288,1.3596,2.8627
21,gifted,1315.5,0.0,-1315.5,,,,,,
22,basic,10008.5,10721.1916,712.6916,1.5486,1.2773,2.7854,1.6061,1.3596,2.846
22,gifted,1315.5,0.0,-1315.5,,,,,,
23,basic,10008.5,10753.0232,744.5232,1.5654,1.259,2.8153,1.6272,1.3596,2.8624
23,gifted,1315.5,0.0,-1315.5,,,,,,
24,basic,10008.5,10746.9861,738.4861,1.5168,1.2435,2.7315,1.5788,1.3398,2.8052
24,gifted,1315.5,0.0,-1315.5,,,,,,
25,basic,10008.5,10751.2749,742.7749,1.5337,1.2472,2.7778,1.6014,1.3475,2.8463
25,gifted,1315.5,0.0,-1315.5,,,,,,
26,basic,10008.5,10762.0584,753.5584,1.5151,1.2297,2.722,1.5789,1.3312,2.8152
26,gifted,1315.5,0.0,-1315.5,,,,,,
27,basic,10008.5,10746.0044,737.5044,1.5117,1.2252,2.7191,1.5726,1.3266,2.7923
27,gifted,1315.5,0.0,-1315.5,,,,,,
28,basic,10008.5,10803.1947,794.6947,1.6071,1.3034,2.8464,1.6741,1.3769,2.9799
28,gifted,1315.5,0.0,-1315.5,,,,,,
29,basic,10008.5,10746.6531,738.1531,1.5946,1.3067,2.846,1.6517,1.3769,2.9033
29,gifted,1315.5,0.0,-1315.5,,,,,,
30,basic,10008.5,10766.6871,758.1871,1.5931,1.2814,2.846,1.6593,1.3723,2.9228
30,gifted,1315.5,0.0,-1315.5,,,,,,
31,basic,10008.5,10738.1664,729.6664,1.5448,1.2392,2.7854,1.6025,1.3357,2.8462
31,gifted,1315.5,0.0,-1315.5,,,,,,
32,basic,10008.5,10730.2288,721.7288,1.5261,1.2284,2.7433,1.5865,1.3284,2.8164
32,gifted,1315.5,0.0,-1315.5,,,,,,
33,basic,10008.5,10777.8923,769.3923,1.5531,1.2527,2.7994,1.6171,1.3555,2.8622
33,gifted,1315.5,0.0,-1315.5,,,,,,
34,basic,10008.5,10729.8002,721.3002,1.5377,1.2476,2.7775,1.5985,1.3475,2.8461
34,gifted,1315.5,0.0,-1315.5,,,,,,
35,basic,10008.5,10719.9011,711.4011,1.5546,1.2551,2.7858,1.6133,1.3555,2.8465
35,gifted,1315.5,0.0,-1315.5,,,,,,
36,basic,10008.5,10727.5233,719.0233,1.5256,1.2473,2.7344,1.5897,1.3447,2.8159
36,gifted,1315.5,0.0,-1315.5,,,,,,
37,basic,10008.5,10768.7011,760.2011,1.5853,1.2871,2.8428,1.6502,1.3769,2.9172
37,gifted,1315.5,0.0,-1315.5,,,,,,
38,basic,10008.5,10709.4703,700.9703,1.5069,1.2252,2.6856,1.5653,1.3144,2.7775
38,gifted,1315.5,0.0,-1315.5,,,,,,
39,basic,10008.5,10698.7538,690.2538,1.5406,1.2476,2.7714,1.6043,1.3476,2.8461
39,gifted,1315.5,0.0,-1315.5,,,,,,
40,basic,10008.5,10755.9302,747.4302,1.5579,1.2621,2.7852,1.6165,1.3596,2.8463
40,gifted,1315.5,0.0,-1315.5,,,,,,
41,basic,10008.5,10630.418,621.918,1.4755,1.2184,2.6086,1.5323,1.2898,2.6631
41,gifted,1315.5,0.0,-1315.5,,,,,,
42,basic,10008.5,10762.1728,753.6728,1.5851,1.2897,2.8428,1.6522,1.3769,2.9224
42,gifted,1315.5,0.0,-1315.5,,,,,,
43,basic,10008.5,10775.1152,766.6152,1.5551,1.259,2.7982,1.6125,1.3572,2.8465
43,gifted,1315.5,0.0,-1315.5,,,,,,
44,basic,10008.5,10778.4993,769.9993,1.5387,1.2475,2.7855,1.6043,1.3475,2.8464
44,gifted,1315.5,0.0,-1315.5,,,,,,
45,basic,10008.5,10735.076,726.576,1.5122,1.2252,2.7221,1.5817,1.3318,2.8153
45,gifted,1315.5,0.0,-1315.5,,,,,,
46,basic,10008.5,10776.7609,768.2609,1.5659,1.2747,2.8185,1.6321,1.3611,2.9032
46,gifted,1315.5,0.0,-1315.5,,,,,,
47,basic,10008.5,10697.2062,688.7062,1.5122,1.2252,2.6846,1.5693,1.3144,2.7775
47,gifted,1315.5,0.0,-1315.5,,,,,,
48,basic,10008.5,10750.645,742.145,1.5628,1.259,2.8114,1.6274,1.3597,2.8715
48,gifted,1315.5,0.0,-1315.5,,,,,,
49,basic,10008.5,10811.0409,802.5409,1.5985,1.304,2.8461,1.6567,1.3769,2.9256
49,gifted,1315.5,0.0,-1315.5,,,,,,
50,basic,10008.5,10774.2124,765.7124,1.5403,1.2472,2.7775,1.599,1.3433,2.846
50,gifted,1315.5,0.0,-1315.5,,,,,,
51,basic,10008.5,10730.7726,722.2726,1.5336,1.2527,2.7555,1.594,1.3465,2.8167
51,gifted,1315.5,0.0,-1315.5,,,,,,
52,basic,10008.5,10745.4231,736.9231,1.5086,1.2252,2.6795,1.5655,1.3068,2.7741
52,gifted,1315.5,0.0,-1315.5,,,,,,
53,basic,10008.5,10738.7293,730.2293,1.5283,1.2347,2.7555,1.597,1.3431,2.8461
53,gifted,1315.5,0.0,-1315.5,,,,,,
54,basic,10008.5,10728.862,720.362,1.5699,1.2873,2.8151,1.6367,1.3767,2.882
54,gifted,1315.5,0.0,-1315.5,,,,,,
55,basic,10008.5,10643.8665,635.3665,1.4918,1.2252,2.6493,1.5433,1.304,2.702
55,gifted,1315.5,0.0,-1315.5,,,,,,
56,basic,10008.5,10761.4258,752.9258,1.5667,1.259,2.8159,1.6325,1.3601,2.9018
56,gifted,1315.5,0.0,-1315.5,,,,,,
57,basic,10008.5,10736.0169,727.5169,1.5271,1.2473,2.7327,1.5862,1.3433,2.8104
57,gifted,1315.5,0.0,-1315.5,,,,,,
58,basic,10008.5,10773.1334,764.6334,1.6016,1.2871,2.8465,1.6642,1.3767,2.9647
58,gifted,1315.5,0.0,-1315.5,,,,,,
59,basic,10008.5,10744.0541,735.5541,1.5032,1.2252,2.6704,1.5646,1.3254,2.7625
59,gifted,1315.5,0.0,-1315.5,,,,,,
60,basic,10008.5,10717.4527,708.9527,1.5671,1.2825,2.8151,1.6259,1.3691,2.8622
60,gifted,1315.5,0.0,-1315.5,,,,,,
61,basic,10008.5,10756.8985,748.3985,1.553,1.259,2.7854,1.604,1.3474,2.846
61,gifted,1315.5,0.0,-1315.5,,,,,,
62,basic,10008.5,10741.0213,732.5213,1.5779,1.2528,2.8241,1.6404,1.3556,2.9033
62,gifted,1315.5,0.0,-1315.5,,,,,,
