draw,school_id,program,base_eligible,base_riders,scen_eligible,scen_riders,base_dist_mean,scen_dist_mean
0,103,basic,276.05,247.241,314.824,281.833,1.654,1.656
0,104,basic,134.143,56.917,147.682,64.079,2.33,2.222
0,105,basic,442.21,217.439,316.488,151.718,2.323,2.476
0,105,gifted,178.326,163.838,0.0,0.0,,
0,106,basic,459.741,286.163,341.076,214.455,1.811,1.734
0,106,gifted,116.637,107.16,0.0,0.0,,
0,107,basic,510.193,264.259,531.588,274.258,2.483,2.507
0,109,basic,145.653,101.179,149.848,104.172,2.073,2.068
0,110,basic,401.941,214.953,415.928,222.135,2.123,2.131
0,113,basic,395.266,250.836,318.059,201.477,2.318,2.32
0,113,gifted,135.408,124.407,0.0,0.0,,
0,115,basic,145.982,88.047,171.774,103.451,1.732,1.741
0,117,basic,252.432,160.006,228.451,146.902,2.318,2.232
0,117,gifted,89.139,81.897,0.0,0.0,,
0,118,basic,268.46,145.473,440.377,239.257,2.15,2.135
0,130,basic,674.712,403.882,718.398,428.58,1.73,1.749
0,201,basic,73.657,48.158,98.428,62.523,1.071,1.238
0,202,basic,170.243,87.912,182.391,90.834,1.706,1.911
0,203,basic,267.342,182.229,291.446,196.249,1.336,1.409
0,204,basic,178.428,125.642,185.889,105.18,1.415,2.813
0,208,basic,212.874,172.612,0.0,0.0,1.26,
0,209,basic,155.802,53.274,177.311,60.533,0.789,0.798
0,210,basic,192.177,80.179,0.0,0.0,1.379,
0,211,basic,71.541,44.573,103.252,62.505,1.11,1.278
0,212,gifted,205.947,189.215,0.0,0.0,,
0,215,basic,115.777,67.204,131.387,76.151,0.877,0.891
0,218,basic,152.456,92.207,171.431,103.299,0.767,0.788
0,220,basic,87.059,70.947,0.0,0.0,1.379,
0,221,basic,165.022,107.966,242.287,140.675,1.024,1.636
0,222,basic,137.878,79.689,164.25,94.895,2.135,2.162
0,225,basic,78.806,39.162,84.39,41.638,1.248,1.29
0,226,basic,249.525,156.352,299.131,186.167,1.291,1.359
0,229,basic,250.822,202.196,0.0,0.0,1.143,
0,230,basic,105.291,69.894,138.521,87.896,1.062,1.346
0,233,basic,280.933,170.468,389.887,233.881,0.828,0.896
0,234,basic,80.297,64.463,0.0,0.0,1.19,
0,235,basic,78.099,48.89,110.988,68.752,1.16,1.231
