draw,program,base_riders,scen_riders,d_riders,base_dist_mean,base_dist_p50,base_dist_p90,scen_dist_mean,scen_dist_p50,scen_dist_p90
0,basic,10008.5,9981.4162,-27.0838,1.5711,1.2773,2.8158,1.5751,1.2872,2.8185
0,gifted,1315.5,1315.5,0.0,,,,,,
1,basic,10008.5,9973.216,-35.284,1.5738,1.2873,2.8157,1.578,1.3019,2.8185
1,gifted,1315.5,1315.5,0.0,,,,,,
2,basic,10008.5,9980.3728,-28.1272,1.5087,1.2231,2.6898,1.5124,1.2241,2.7091
2,gifted,1315.5,1315.5,0.0,,,,,,
3,basic,10008.5,9984.396,-24.104,1.5459,1.2475,2.7858,1.5498,1.2528,2.7934
3,gifted,1315.5,1315.5,0.0,,,,,,
4,basic,10008.5,9982.403,-26.097,1.5511,1.259,2.7858,1.5549,1.259,2.7921
4,gifted,1315.5,1315.5,0.0,,,,,,
5,basic,10008.5,9982.0562,-26.4438,1.5495,1.259,2.7857,1.5534,1.2751,2.7858
5,gifted,1315.5,1315.5,0.0,,,,,,
6,basic,10008.5,9977.5681,-30.9319,1.5532,1.259,2.7876,1.557,1.2721,2.7982
6,gifted,1315.5,1315.5,0.0,,,,,,
7,basic,10008.5,9978.4797,-30.0203,1.5072,1.2233,2.7083,1.511,1.2252,2.7144
7,gifted,1315.5,1315.5,0.0,,,,,,
8,basic,10008.5,9977.0579,-31.4421,1.5393,1.2581,2.7423,1.5432,1.259,2.7493
8,gifted,1315.5,1315.5,0.0,,,,,,
9,basic,10008.5,9978.6105,-29.8895,1.5291,1.2527,2.7554,1.5327,1.2567,2.7578
9,gifted,1315.5,1315.5,0.0,,,,,,
10,basic,10008.5,9979.5981,-28.9019,1.5194,1.2297,2.7424,1.5231,1.2413,2.7546
10,gifted,1315.5,1315.5,0.0,,,,,,
11,basic,10008.5,9976.267,-32.233,1.5377,1.2478,2.774,1.5413,1.2529,2.7777
11,gifted,1315.5,1315.5,0.0,,,,,,
12,basic,10008.5,9981.0177,-27.4823,1.5332,1.2252,2.7576,1.537,1.2346,2.7634
12,gifted,1315.5,1315.5,0.0,,,,,,
13,basic,10008.5,9979.7409,-28.7591,1.5733,1.2737,2.8156,1.5773,1.2825,2.8165
13,gifted,1315.5,1315.5,0.0,,,,,,
14,basic,10008.5,9982.6619,-25.8381,1.5873,1.2872,2.8427,1.5913,1.2946,2.846
14,gifted,1315.5,1315.5,0.0,,,,,,
15,basic,10008.5,9984.631,-23.869,1.5159,1.2234,2.7384,1.5196,1.2252,2.7432
15,gifted,1315.5,1315.5,0.0,,,,,,
16,basic,10008.5,9983.0348,-25.4652,1.5053,1.2343,2.6855,1.509,1.2472,2.6887
16,gifted,1315.5,1315.5,0.0,,,,,,
17,basic,10008.5,9981.2467,-27.2533,1.5552,1.2815,2.7853,1.5591,1.2898,2.7858
17,gifted,1315.5,1315.5,0.0,,,,,,
18,basic,10008.5,9978.496,-30.004,1.5695,1.2793,2.8151,1.5737,1.2874,2.8154
18,gifted,1315.5,1315.5,0.0,,,,,,
19,basic,10008.5,9986.8457,-21.6543,1.5772,1.2748,2.8229,1.5809,1.2825,2.8377
19,gifted,1315.5,1315.5,0.0,,,,,,
20,basic,10008.5,9979.0904,-29.4096,1.5713,1.274,2.8152,1.5754,1.2822,2.8154
20,gifted,1315.5,1315.5,0.0,,,,,,
21,basic,10008.5,9978.4314,-30.0686,1.5746,1.2748,2.8157,1.5787,1.2872,2.8185
21,gifted,1315.5,1315.5,0.0,,,,,,
22,basic,10008.5,9976.4349,-32.0651,1.5486,1.2773,2.7854,1.5526,1.2872,2.7856
22,gifted,1315.5,1315.5,0.0,,,,,,
23,basic,10008.5,9976.2845,-32.2155,1.5654,1.259,2.8153,1.5695,1.2656,2.8156
23,gifted,1315.5,1315.5,0.0,,,,,,
24,basic,10008.5,9978.2454,-30.2546,1.5168,1.2435,2.7315,1.5206,1.2488,2.7382
24,gifted,1315.5,1315.5,0.0,,,,,,
25,basic,10008.5,9981.4059,-27.0941,1.5337,1.2472,2.7778,1.5375,1.2527,2.7847
25,gifted,1315.5,1315.5,0.0,,,,,,
26,basic,10008.5,9984.1468,-24.3532,1.5151,1.2297,2.722,1.5187,1.2414,2.7295
26,gifted,1315.5,1315.5,0.0,,,,,,
27,basic,10008.5,9980.5886,-27.9114,1.5117,1.2252,2.7191,1.5154,1.2376,2.7221
27,gifted,1315.5,1315.5,0.0,,,,,,
28,basic,10008.5,9973.9491,-34.5509,1.6071,1.3034,2.8464,1.6116,1.3069,2.8465
28,gifted,1315.5,1315.5,0.0,,,,,,
29,basic,10008.5,9979.4398,-29.0602,1.5946,1.3067,2.846,1.5988,1.3264,2.846
29,gifted,1315.5,1315.5,0.0,,,,,,
30,basic,10008.5,9982.8152,-25.6848,1.5931,1.2814,2.846,1.5973,1.288,2.8461
30,gifted,1315.5,1315.5,0.0,,,,,,
31,basic,10008.5,9981.038,-27.462,1.5448,1.2392,2.7854,1.5485,1.2473,2.7856
31,gifted,1315.5,1315.5,0.0,,,,,,
32,basic,10008.5,9978.2127,-30.2873,1.5261,1.2284,2.7433,1.5301,1.2412,2.7553
32,gifted,1315.5,1315.5,0.0,,,,,,
33,basic,10008.5,9979.616,-28.884,1.5531,1.2527,2.7994,1.557,1.259,2.8093
33,gifted,1315.5,1315.5,0.0,,,,,,
34,basic,10008.5,9981.504,-26.996,1.5377,1.2476,2.7775,1.5412,1.2529,2.7855
34,gifted,1315.5,1315.5,0.0,,,,,,
35,basic,10008.5,9982.0618,-26.4382,1.5546,1.2551,2.7858,1.5584,1.259,2.7982
35,gifted,1315.5,1315.5,0.0,,,,,,
36,basic,10008.5,9983.6737,-24.8263,1.5256,1.2473,2.7344,1.5291,1.2527,2.7406
36,gifted,1315.5,1315.5,0.0,,,,,,
37,basic,10008.5,9978.5645,-29.9355,1.5853,1.2871,2.8428,1.5895,1.2945,2.846
