draw,school_id,program,base_eligible,base_riders,scen_eligible,scen_riders,base_dist_mean,scen_dist_mean
0,103,basic,276.05,247.241,276.05,247.241,1.654,1.654
0,104,basic,134.143,56.917,134.143,56.917,2.33,2.33
0,105,basic,442.21,217.439,442.21,217.439,2.323,2.323
0,105,gifted,178.326,163.838,178.326,163.838,,
0,106,basic,459.741,286.163,459.741,286.163,1.811,1.811
0,106,gifted,116.637,107.16,116.637,107.16,,
0,107,basic,510.193,264.259,510.193,264.259,2.483,2.483
0,109,basic,145.653,101.179,145.653,101.179,2.073,2.073
0,110,basic,401.941,214.953,401.941,214.953,2.123,2.123
0,113,basic,395.266,250.836,395.266,250.836,2.318,2.318
0,113,gifted,135.408,124.407,135.408,124.407,,
0,115,basic,145.982,88.047,145.982,88.047,1.732,1.732
0,117,basic,252.432,160.006,252.432,160.006,2.318,2.318
0,117,gifted,89.139,81.897,89.139,81.897,,
0,118,basic,268.46,145.473,268.46,145.473,2.15,2.15
0,130,basic,674.712,403.882,674.712,403.882,1.73,1.73
0,201,basic,73.657,48.158,73.678,48.166,1.071,1.071
0,202,basic,170.243,87.912,170.26,87.902,1.706,1.708
0,203,basic,267.342,182.229,267.328,182.219,1.336,1.336
0,204,basic,178.428,125.642,179.489,126.298,1.415,1.42
0,208,basic,212.874,172.612,212.966,172.667,1.26,1.26
0,209,basic,155.802,53.274,156.237,53.424,0.789,0.788
0,210,basic,192.177,80.179,208.556,86.659,1.379,1.406
0,211,basic,71.541,44.573,71.446,44.52,1.11,1.109
0,212,gifted,205.947,189.215,205.947,189.215,,
0,215,basic,115.777,67.204,115.749,67.211,0.877,0.876
0,218,basic,152.456,92.207,152.477,92.215,0.767,0.767
0,220,basic,87.059,70.947,87.011,70.954,1.379,1.376
0,221,basic,165.022,107.966,165.053,107.961,1.024,1.025
0,222,basic,137.878,79.689,137.792,79.732,2.135,2.129
0,225,basic,78.806,39.162,78.802,39.16,1.248,1.248
0,226,basic,249.525,156.352,250.932,155.032,1.291,1.358
0,229,basic,250.822,202.196,251.289,202.562,1.143,1.144
0,230,basic,105.291,69.894,105.616,70.096,1.062,1.063
0,233,basic,280.933,170.468,280.918,170.462,0.828,0.828
0,234,basic,80.297,64.463,80.168,64.381,1.19,1.188
0,235,basic,78.099,48.89,78.117,48.89,1.16,1.161
0,236,basic,55.993,48.833,55.988,48.824,1.106,1.106
0,239,basic,279.063,161.595,279.039,161.583,1.744,1.744
0,241,basic,385.319,129.961,387.975,130.755,1.922,1.927
0,242,basic,155.706,105.865,155.678,105.852,1.232,1.232
