draw,program,base_riders,scen_riders,d_riders,base_dist_mean,base_dist_p50,base_dist_p90,scen_dist_mean,scen_dist_p50,scen_dist_p90
0,basic,10008.5,9826.5974,-181.9026,1.5711,1.2773,2.8158,1.5463,1.2527,2.7854
0,gifted,1315.5,1315.5,0.0,,,,,,
1,basic,10008.5,9830.5316,-177.9684,1.5738,1.2873,2.8157,1.5464,1.2567,2.7734
1,gifted,1315.5,1315.5,0.0,,,,,,
2,basic,10008.5,9851.6314,-156.8686,1.5087,1.2231,2.6898,1.4811,1.1987,2.6375
2,gifted,1315.5,1315.5,0.0,,,,,,
3,basic,10008.5,9846.2144,-162.2856,1.5459,1.2475,2.7858,1.5192,1.2233,2.7327
3,gifted,1315.5,1315.5,0.0,,,,,,
4,basic,10008.5,9845.2095,-163.2905,1.5511,1.259,2.7858,1.5234,1.2344,2.7381
4,gifted,1315.5,1315.5,0.0,,,,,,
5,basic,10008.5,9838.8508,-169.6492,1.5495,1.259,2.7857,1.522,1.2416,2.7329
5,gifted,1315.5,1315.5,0.0,,,,,,
6,basic,10008.5,9828.9252,-179.5748,1.5532,1.259,2.7876,1.5235,1.2414,2.736
6,gifted,1315.5,1315.5,0.0,,,,,,
7,basic,10008.5,9852.8147,-155.6853,1.5072,1.2233,2.7083,1.4808,1.2115,2.6586
7,gifted,1315.5,1315.5,0.0,,,,,,
8,basic,10008.5,9840.7103,-167.7897,1.5393,1.2581,2.7423,1.5154,1.2319,2.6707
8,gifted,1315.5,1315.5,0.0,,,,,,
9,basic,10008.5,9844.0781,-164.4219,1.5291,1.2527,2.7554,1.5003,1.2243,2.6704
9,gifted,1315.5,1315.5,0.0,,,,,,
10,basic,10008.5,9851.7058,-156.7942,1.5194,1.2297,2.7424,1.4933,1.2177,2.6631
10,gifted,1315.5,1315.5,0.0,,,,,,
11,basic,10008.5,9831.3493,-177.1507,1.5377,1.2478,2.774,1.5114,1.2241,2.6874
11,gifted,1315.5,1315.5,0.0,,,,,,
