draw,school_id,program,base_eligible,base_riders,scen_eligible,scen_riders,base_dist_mean,scen_dist_mean
0,103,basic,276.05,247.241,280.294,251.079,1.654,1.653
0,104,basic,134.143,56.917,137.741,58.079,2.33,2.366
0,105,basic,442.21,217.439,451.634,221.667,2.323,2.336
0,105,gifted,178.326,163.838,178.326,163.838,,
0,106,basic,459.741,286.163,464.55,288.244,1.811,1.827
0,106,gifted,116.637,107.16,116.637,107.16,,
0,107,basic,510.193,264.259,497.681,258.132,2.483,2.474
0,109,basic,145.653,101.179,163.488,114.111,2.073,2.046
0,110,basic,401.941,214.953,406.707,217.35,2.123,2.127
0,113,basic,395.266,250.836,413.293,262.359,2.318,2.317
0,113,gifted,135.408,124.407,135.408,124.407,,
0,115,basic,145.982,88.047,155.73,93.983,1.732,1.729
0,117,basic,252.432,160.006,263.584,168.047,2.318,2.285
0,117,gifted,89.139,81.897,89.139,81.897,,
0,118,basic,268.46,145.473,278.956,150.916,2.15,2.161
0,130,basic,674.712,403.882,583.203,345.123,1.73,1.794
0,201,basic,73.657,48.158,69.242,45.142,1.071,1.086
0,202,basic,170.243,87.912,171.113,88.107,1.706,1.721
0,203,basic,267.342,182.229,276.269,187.996,1.336,1.346
0,204,basic,178.428,125.642,181.293,127.518,1.415,1.421
0,208,basic,212.874,172.612,219.662,178.222,1.26,1.259
0,209,basic,155.802,53.274,156.162,53.409,0.789,0.787
0,210,basic,192.177,80.179,198.738,87.728,1.379,1.049
0,211,basic,71.541,44.573,71.927,44.827,1.11,1.108
0,212,gifted,205.947,189.215,205.947,189.215,,
0,215,basic,115.777,67.204,119.878,69.831,0.877,0.858
0,218,basic,152.456,92.207,155.287,93.997,0.767,0.762
0,220,basic,87.059,70.947,72.277,55.812,1.379,1.679
0,221,basic,165.022,107.966,169.841,110.148,1.024,1.062
0,222,basic,137.878,79.689,126.615,69.638,2.135,2.429
0,225,basic,78.806,39.162,79.871,39.538,1.248,1.269
0,226,basic,249.525,156.352,261.216,163.205,1.291,1.309
0,229,basic,250.822,202.196,253.843,204.481,1.143,1.148
0,230,basic,105.291,69.894,109.001,72.359,1.062,1.063
0,233,basic,280.933,170.468,193.783,117.413,0.828,0.836
0,234,basic,80.297,64.463,80.638,64.753,1.19,1.189
0,235,basic,78.099,48.89,80.786,50.82,1.16,1.127
0,236,basic,55.993,48.833,42.864,35.559,1.106,1.441
0,239,basic,279.063,161.595,270.135,156.96,1.744,1.723
0,241,basic,385.319,129.961,385.015,130.633,1.922,1.884
0,242,basic,155.706,105.865,157.305,106.857,1.232,1.238
0,243,basic,213.989,111.045,214.547,111.334,0.987,0.987
0,244,basic,38.044,35.496,41.289,38.54,1.133,1.14
0,245,basic,320.496,271.868,349.582,296.597,1.23,1.229
0,246,basic,232.05,118.137,216.323,109.9,1.21,1.221
0,247,basic,369.289,122.682,369.544,122.924,1.623,1.615
0,248,basic,148.604,93.277,154.199,97.065,0.887,0.87
0,249,basic,29.416,22.018,33.526,25.121,0.887,0.881
0,250,basic,82.786,60.661,82.945,60.771,0.959,0.959
0,251,basic,134.686,63.415,135.543,63.44,1.382,1.417
0,252,basic,244.661,168.068,250.171,171.429,1.456,1.471
