draw,program,base_riders,scen_riders,d_riders,base_dist_mean,base_dist_p50,base_dist_p90,scen_dist_mean,scen_dist_p50,scen_dist_p90
0,basic,10008.5,10238.3633,229.8633,1.5567,1.2748,2.8094,1.6477,1.387,2.9704
0,gifted,1315.5,1315.5,0.0,,,,,,
1,basic,10008.5,10234.131,225.631,1.572,1.2872,2.8156,1.6571,1.3919,2.9699
1,gifted,1315.5,1315.5,0.0,,,,,,
2,basic,10008.5,10248.6515,240.1515,1.5125,1.2233,2.7121,1.6071,1.3313,2.9324
2,gifted,1315.5,1315.5,0.0,,,,,,
3,basic,10008.5,10254.4213,245.9213,1.5425,1.2472,2.7959,1.6296,1.3555,2.9624
3,gifted,1315.5,1315.5,0.0,,,,,,
4,basic,10008.5,10268.2326,259.7326,1.5445,1.2527,2.7856,1.634,1.3625,2.9594
4,gifted,1315.5,1315.5,0.0,,,,,,
5,basic,10008.5,10201.6166,193.1166,1.5655,1.259,2.8102,1.6535,1.3769,2.9704
5,gifted,1315.5,1315.5,0.0,,,,,,
6,basic,10008.5,10214.5401,206.0401,1.5644,1.2528,2.8155,1.653,1.3688,2.9703
6,gifted,1315.5,1315.5,0.0,,,,,,
7,basic,10008.5,10230.5037,222.0037,1.5347,1.2233,2.7555,1.626,1.3312,2.9593
7,gifted,1315.5,1315.5,0.0,,,,,,
8,basic,10008.5,10263.725,255.225,1.5823,1.3069,2.8158,1.6669,1.4062,2.9704
8,gifted,1315.5,1315.5,0.0,,,,,,
9,basic,10008.5,10249.3397,240.8397,1.5758,1.2872,2.8185,1.6631,1.3919,2.9704
9,gifted,1315.5,1315.5,0.0,,,,,,
10,basic,10008.5,10248.9705,240.4705,1.5611,1.2529,2.8153,1.6493,1.3687,2.9701
10,gifted,1315.5,1315.5,0.0,,,,,,
11,basic,10008.5,10241.8347,233.3347,1.5802,1.2825,2.8226,1.6676,1.3919,2.9799
11,gifted,1315.5,1315.5,0.0,,,,,,
12,basic,10008.5,10239.6855,231.1855,1.579,1.2773,2.8158,1.6636,1.3847,2.9704
12,gifted,1315.5,1315.5,0.0,,,,,,
13,basic,10008.5,10251.7737,243.2737,1.5512,1.259,2.7858,1.6404,1.3724,2.9624
13,gifted,1315.5,1315.5,0.0,,,,,,
14,basic,10008.5,10267.1602,258.6602,1.502,1.2233,2.6849,1.5974,1.3318,2.9028
14,gifted,1315.5,1315.5,0.0,,,,,,
15,basic,10008.5,10222.9927,214.4927,1.5634,1.259,2.8152,1.6503,1.3769,2.9699
15,gifted,1315.5,1315.5,0.0,,,,,,
16,basic,10008.5,10231.0625,222.5625,1.6043,1.2904,2.8463,1.6888,1.3942,3.0033
16,gifted,1315.5,1315.5,0.0,,,,,,
17,basic,10008.5,10217.5827,209.0827,1.5431,1.2566,2.7858,1.6297,1.3685,2.9613
17,gifted,1315.5,1315.5,0.0,,,,,,
18,basic,10008.5,10288.8951,280.3951,1.5584,1.2528,2.8038,1.6449,1.3623,2.9702
18,gifted,1315.5,1315.5,0.0,,,,,,
19,basic,10008.5,10245.7754,237.2754,1.5893,1.2814,2.8433,1.6764,1.3889,2.9832
19,gifted,1315.5,1315.5,0.0,,,,,,
20,basic,10008.5,10265.3623,256.8623,1.5587,1.2566,2.7857,1.6458,1.3688,2.9623
