draw,school_id,program,base_eligible,base_riders,scen_eligible,scen_riders,base_dist_mean,scen_dist_mean
0,103,basic,276.512,246.901,280.561,250.612,1.662,1.66
0,104,basic,119.222,52.816,119.661,52.945,2.094,2.1
0,105,basic,444.39,216.297,420.804,205.859,2.371,2.339
0,105,gifted,178.136,163.931,178.136,163.931,,
0,106,basic,450.543,286.172,454.28,288.167,1.687,1.694
0,106,gifted,115.56,106.345,115.56,106.345,,
0,107,basic,513.874,265.104,501.363,258.96,2.493,2.486
0,109,basic,144.496,100.914,161.767,113.474,2.032,2.008
0,110,basic,402.668,214.415,407.889,216.918,2.135,2.142
0,113,basic,378.173,241.392,265.828,169.319,2.274,2.284
0,113,gifted,134.925,124.166,134.925,124.166,,
0,115,basic,152.085,91.596,83.302,49.976,1.725,1.748
0,117,basic,249.896,158.056,261.145,166.047,2.317,2.287
0,117,gifted,89.139,82.03,89.139,82.03,,
0,118,basic,268.315,145.188,267.834,145.335,2.145,2.129
0,130,basic,675.58,402.833,583.926,343.831,1.738,1.808
0,201,basic,78.179,50.541,60.037,35.535,1.121,1.644
0,202,basic,169.423,87.648,169.911,87.768,1.683,1.69
0,203,basic,266.501,181.411,274.92,186.894,1.33,1.338
0,204,basic,177.623,124.203,110.136,71.722,1.442,1.883
0,208,basic,202.684,164.553,179.817,146.46,1.276,1.198
0,209,basic,150.438,51.291,150.329,51.323,0.792,0.785
0,210,basic,192.76,79.641,198.19,86.671,1.426,1.093
0,211,basic,70.61,43.966,69.474,43.431,1.1,1.077
0,212,gifted,205.947,189.524,205.947,189.524,,
0,215,basic,115.096,67.158,118.133,69.765,0.846,0.792
0,218,basic,152.33,91.911,149.256,90.288,0.767,0.752
0,220,basic,86.199,70.755,70.586,55.46,1.336,1.586
0,221,basic,164.634,107.729,169.182,109.813,1.013,1.048
0,222,basic,134.162,79.803,121.849,69.685,1.97,2.201
0,225,basic,78.273,38.828,79.119,39.112,1.245,1.264
0,226,basic,248.416,156.739,260.417,164.784,1.246,1.235
0,229,basic,249.801,200.707,249.381,200.166,1.149,1.155
0,230,basic,114.43,75.81,39.556,24.86,1.061,1.371
0,233,basic,280.825,170.025,193.471,116.972,0.828,0.835
0,234,basic,79.847,64.075,80.406,64.455,1.178,1.186
0,235,basic,77.572,48.602,79.998,50.424,1.144,1.106
0,236,basic,55.631,48.441,42.368,35.096,1.107,1.439
0,239,basic,278.251,160.825,269.048,156.034,1.741,1.72
0,241,basic,385.176,129.915,353.961,120.89,1.907,1.828
0,242,basic,153.813,104.458,154.508,104.989,1.225,1.223
0,243,basic,213.865,110.727,215.01,111.349,0.987,0.986
0,244,basic,37.825,35.364,40.446,38.026,1.111,1.069
0,245,basic,320.055,271.421,349.38,296.467,1.219,1.216
0,246,basic,235.572,119.66,102.444,47.368,1.21,1.761
0,247,basic,368.395,122.149,333.186,111.466,1.619,1.562
0,248,basic,148.57,93.032,153.969,96.677,0.888,0.872
0,249,basic,29.208,21.877,33.148,24.899,0.872,0.856
0,250,basic,82.714,60.462,82.614,60.397,0.959,0.958
0,251,basic,134.536,63.207,135.339,63.208,1.381,1.416
0,252,basic,244.115,167.399,249.283,170.535,1.453,1.467
0,255,basic,85.32,55.606,78.291,51.344,0.841,0.808
0,257,basic,125.865,105.426,125.431,105.171,1.085,1.078
0,259,basic,155.633,112.655,119.262,85.987,1.33,1.351
0,261,basic,182.709,164.966,168.972,152.469,1.103,1.111
0,262,basic,190.468,142.618,192.187,143.651,1.085,1.097
0,264,basic,81.887,35.971,85.643,37.626,0.941,0.941
0,266,basic,105.543,81.794,103.861,80.341,0.898,0.908
0,267,basic,122.522,105.479,102.961,88.383,1.037,1.054
0,268,basic,111.275,105.712,113.676,107.992,1.064,1.051
0,269,basic,100.302,93.975,101.889,95.465,1.038,1.038
0,270,basic,163.927,110.772,162.284,109.468,1.53,1.537
0,272,basic,42.06,39.624,43.33,40.909,1.041,1.017
0,275,basic,93.051,87.263,95.741,89.806,1.155,1.146
0,276,basic,152.258,72.225,92.064,43.565,1.134,1.147
0,277,basic,123.876,79.475,124.464,79.888,1.008,1.005
0,279,basic,108.575,46.667,108.359,46.597,1.01,1.007
0,281,basic,67.023,44.349,64.328,42.148,0.807,0.863
0,282,basic,81.144,59.974,47.207,33.271,0.896,1.176
0,286,basic,180.19,109.681,185.161,110.67,1.902,2.007
0,287,gifted,190.0,174.849,190.0,174.849,,
0,288,basic,179.21,154.599,180.678,155.708,1.364,1.363
0,289,basic,155.164,137.012,155.527,137.37,1.389,1.389
0,291,basic,375.059,261.179,362.869,245.889,2.284,2.427
0,292,basic,560.623,326.923,547.806,320.089,1.467,1.449
0,930,basic,399.282,362.103,390.994,353.368,2.345,2.391
0,935,basic,438.673,310.021,114.781,91.599,1.845,1.073
0,939,basic,221.095,107.681,387.394,207.525,1.747,1.345
0,949,basic,376.228,317.492,255.958,208.999,1.545,1.756
0,955,basic,45.787,43.497,1091.391,1036.822,2.786,2.552
0,971,gifted,515.785,474.655,515.785,474.655,,
0,972,basic,263.027,195.193,275.486,219.67,1.856,1.423
0,974,basic,87.934,79.493,89.083,80.696,1.253,1.242
0,977,basic,232.855,173.052,230.196,171.447,1.319,1.307
1,103,basic,278.821,253.817,282.893,257.591,1.67,1.668
1,104,basic,117.661,52.448,119.019,52.795,2.298,2.324
1,105,basic,439.413,228.214,418.864,218.587,2.26,2.231
