draw,program,base_riders,scen_riders,d_riders,base_dist_mean,base_dist_p50,base_dist_p90,scen_dist_mean,scen_dist_p50,scen_dist_p90
0,basic,10008.5,10340.7142,332.2142,1.5711,1.2773,2.8158,1.5592,1.259,2.8154
0,gifted,1315.5,0.0,-1315.5,,,,,,
1,basic,10008.5,10335.961,327.461,1.5738,1.2873,2.8157,1.5625,1.2605,2.8156
1,gifted,1315.5,0.0,-1315.5,,,,,,
2,basic,10008.5,10364.967,356.467,1.5087,1.2231,2.6898,1.5003,1.2129,2.6861
2,gifted,1315.5,0.0,-1315.5,,,,,,
3,basic,10008.5,10374.8309,366.3309,1.5459,1.2475,2.7858,1.5337,1.2299,2.7854
3,gifted,1315.5,0.0,-1315.5,,,,,,
4,basic,10008.5,10352.7678,344.2678,1.5511,1.259,2.7858,1.5406,1.2489,2.7856
4,gifted,1315.5,0.0,-1315.5,,,,,,
5,basic,10008.5,10364.7493,356.2493,1.5495,1.259,2.7857,1.5384,1.2528,2.7855
5,gifted,1315.5,0.0,-1315.5,,,,,,
6,basic,10008.5,10316.8169,308.3169,1.5532,1.259,2.7876,1.5452,1.2529,2.7857
6,gifted,1315.5,0.0,-1315.5,,,,,,
7,basic,10008.5,10346.9489,338.4489,1.5072,1.2233,2.7083,1.5001,1.2186,2.7028
7,gifted,1315.5,0.0,-1315.5,,,,,,
8,basic,10008.5,10316.2448,307.7448,1.5393,1.2581,2.7423,1.5301,1.2483,2.7364
8,gifted,1315.5,0.0,-1315.5,,,,,,
9,basic,10008.5,10330.6862,322.1862,1.5291,1.2527,2.7554,1.5198,1.2416,2.7424
9,gifted,1315.5,0.0,-1315.5,,,,,,
10,basic,10008.5,10353.8525,345.3525,1.5194,1.2297,2.7424,1.5092,1.2241,2.733
10,gifted,1315.5,0.0,-1315.5,,,,,,
11,basic,10008.5,10316.2101,307.7101,1.5377,1.2478,2.774,1.5297,1.2394,2.761
11,gifted,1315.5,0.0,-1315.5,,,,,,
12,basic,10008.5,10364.9236,356.4236,1.5332,1.2252,2.7576,1.5229,1.2232,2.7499
12,gifted,1315.5,0.0,-1315.5,,,,,,
13,basic,10008.5,10361.9719,353.4719,1.5733,1.2737,2.8156,1.5599,1.259,2.8153
13,gifted,1315.5,0.0,-1315.5,,,,,,
14,basic,10008.5,10382.9358,374.4358,1.5873,1.2872,2.8427,1.5739,1.259,2.8424
14,gifted,1315.5,0.0,-1315.5,,,,,,
15,basic,10008.5,10363.5923,355.0923,1.5159,1.2234,2.7384,1.5066,1.2186,2.733
15,gifted,1315.5,0.0,-1315.5,,,,,,
16,basic,10008.5,10379.0327,370.5327,1.5053,1.2343,2.6855,1.4926,1.2233,2.6631
16,gifted,1315.5,0.0,-1315.5,,,,,,
