draw,school_id,program,base_eligible,base_riders,scen_eligible,scen_riders,base_dist_mean,scen_dist_mean
0,103,basic,276.05,247.241,276.957,247.894,1.654,1.657
0,104,basic,134.143,56.917,145.491,63.431,2.33,2.196
0,105,basic,442.21,217.439,305.85,147.23,2.323,2.45
0,105,gifted,178.326,163.838,0.0,0.0,,
0,106,basic,459.741,286.163,339.147,213.293,1.811,1.733
0,106,gifted,116.637,107.16,0.0,0.0,,
0,107,basic,510.193,264.259,510.645,264.452,2.483,2.484
0,109,basic,145.653,101.179,147.892,103.023,2.073,2.058
0,110,basic,401.941,214.953,411.421,219.777,2.123,2.13
0,113,basic,395.266,250.836,264.279,167.042,2.318,2.331
0,113,gifted,135.408,124.407,0.0,0.0,,
0,115,basic,145.982,88.047,166.537,100.421,1.732,1.734
0,117,basic,252.432,160.006,218.398,140.343,2.318,2.236
0,117,gifted,89.139,81.897,0.0,0.0,,
0,118,basic,268.46,145.473,338.728,182.969,2.15,2.17
0,130,basic,674.712,403.882,691.642,413.424,1.73,1.738
0,201,basic,73.657,48.158,79.354,52.274,1.071,1.035
0,202,basic,170.243,87.912,172.793,88.504,1.706,1.753
0,203,basic,267.342,182.229,267.464,182.199,1.336,1.339
0,204,basic,178.428,125.642,107.635,68.541,1.415,2.035
0,208,basic,212.874,172.612,244.541,198.439,1.26,1.331
0,209,basic,155.802,53.274,136.029,46.467,0.789,0.793
0,210,basic,192.177,80.179,190.276,79.647,1.379,1.358
0,211,basic,71.541,44.573,76.819,47.823,1.11,1.117
0,212,gifted,205.947,189.215,0.0,0.0,,
0,215,basic,115.777,67.204,116.888,67.448,0.877,0.902
0,218,basic,152.456,92.207,162.114,98.102,0.767,0.764
0,220,basic,87.059,70.947,89.21,72.262,1.379,1.413
0,221,basic,165.022,107.966,169.923,109.255,1.024,1.105
0,222,basic,137.878,79.689,144.506,82.055,2.135,2.248
0,225,basic,78.806,39.162,79.649,39.565,1.248,1.251
0,226,basic,249.525,156.352,256.387,161.635,1.291,1.269
0,229,basic,250.822,202.196,257.384,205.442,1.143,1.197
0,230,basic,105.291,69.894,75.798,50.301,1.062,1.061
0,233,basic,280.933,170.468,286.951,174.063,0.828,0.83
0,234,basic,80.297,64.463,91.717,72.542,1.19,1.279
0,235,basic,78.099,48.89,79.137,49.146,1.16,1.199
0,236,basic,55.993,48.833,56.899,49.605,1.106,1.108
0,239,basic,279.063,161.595,280.989,162.671,1.744,1.746
0,241,basic,385.319,129.961,375.726,126.18,1.922,1.947
0,242,basic,155.706,105.865,161.611,109.98,1.232,1.228
