draw,program,base_riders,scen_riders,d_riders,base_dist_mean,base_dist_p50,base_dist_p90,scen_dist_mean,scen_dist_p50,scen_dist_p90
0,basic,10008.5,7223.9588,-2784.5412,1.5303,1.2737,2.7555,1.8429,1.637,2.9839
0,gifted,1315.5,1215.2415,-100.2585,,,,,,
1,basic,10008.5,7244.5644,-2763.9356,1.5408,1.2824,2.7634,1.8543,1.6543,2.9841
1,gifted,1315.5,1219.6521,-95.8479,,,,,,
2,basic,10008.5,7030.7906,-2977.7094,1.4621,1.2186,2.6086,1.7785,1.5622,2.8623
2,gifted,1315.5,1219.4826,-96.0174,,,,,,
3,basic,10008.5,7124.6293,-2883.8707,1.5072,1.2414,2.7219,1.8277,1.5914,2.9818
3,gifted,1315.5,1218.5951,-96.9049,,,,,,
4,basic,10008.5,7131.1936,-2877.3064,1.5105,1.2478,2.704,1.8306,1.609,2.9685
4,gifted,1315.5,1218.2081,-97.2919,,,,,,
5,basic,10008.5,7174.1009,-2834.3991,1.5249,1.259,2.7359,1.8432,1.6303,2.9832
5,gifted,1315.5,1216.9511,-98.5489,,,,,,
6,basic,10008.5,7150.38,-2858.12,1.5255,1.2527,2.7545,1.8482,1.621,2.9891
6,gifted,1315.5,1216.9738,-98.5262,,,,,,
7,basic,10008.5,7015.7566,-2992.7434,1.4679,1.218,2.6204,1.7885,1.559,2.8799
7,gifted,1315.5,1216.7687,-98.7313,,,,,,
8,basic,10008.5,7315.0377,-2693.4623,1.5545,1.3068,2.7775,1.8622,1.6669,2.9903
8,gifted,1315.5,1217.1529,-98.3471,,,,,,
9,basic,10008.5,7272.3581,-2736.1419,1.5412,1.2825,2.7719,1.85,1.6389,2.9832
9,gifted,1315.5,1219.8749,-95.6251,,,,,,
10,basic,10008.5,7172.3833,-2836.1167,1.5271,1.2529,2.7555,1.8467,1.6178,2.9903
10,gifted,1315.5,1217.2857,-98.2143,,,,,,
11,basic,10008.5,7254.4386,-2754.0614,1.5544,1.2871,2.7857,1.8703,1.6613,3.0318
11,gifted,1315.5,1217.4981,-98.0019,,,,,,
12,basic,10008.5,7217.643,-2790.857,1.5316,1.259,2.7384,1.8465,1.6292,2.9832
12,gifted,1315.5,1218.9555,-96.5445,,,,,,
13,basic,10008.5,7171.2803,-2837.2197,1.5076,1.2529,2.6852,1.8208,1.6094,2.9221
13,gifted,1315.5,1220.4005,-95.0995,,,,,,
14,basic,10008.5,7024.4608,-2984.0392,1.4466,1.2122,2.5722,1.7581,1.5548,2.8464
14,gifted,1315.5,1219.1607,-96.3393,,,,,,
15,basic,10008.5,7195.0404,-2813.4596,1.533,1.259,2.7555,1.8504,1.6352,2.9845
15,gifted,1315.5,1217.9148,-97.5852,,,,,,
16,basic,10008.5,7285.5815,-2722.9185,1.5795,1.3023,2.8165,1.9004,1.6677,3.0548
16,gifted,1315.5,1218.5174,-96.9826,,,,,,
17,basic,10008.5,7142.4081,-2866.0919,1.5122,1.2529,2.7221,1.8307,1.6094,2.9822
17,gifted,1315.5,1216.0686,-99.4314,,,,,,
18,basic,10008.5,7152.4564,-2856.0436,1.5155,1.2475,2.7174,1.8355,1.5963,2.983
18,gifted,1315.5,1219.4313,-96.0687,,,,,,
19,basic,10008.5,7230.7411,-2777.7589,1.5578,1.2814,2.7934,1.88,1.6479,3.0405
19,gifted,1315.5,1219.7,-95.8,,,,,,
