draw,school_id,program,base_eligible,base_riders,scen_eligible,scen_riders
0,103,basic,276.512,252.128,276.512,252.128
0,104,basic,119.222,54.074,119.222,54.074
0,105,basic,444.39,225.837,444.39,225.837
0,105,gifted,133.901,136.268,133.901,136.268
0,106,basic,450.543,303.137,450.543,303.137
0,106,gifted,88.48,90.044,88.48,90.044
0,107,basic,513.874,267.096,513.874,267.096
0,109,basic,144.496,102.332,144.496,102.332
0,110,basic,402.668,221.518,402.668,221.518
0,113,basic,378.173,253.137,378.173,253.137
0,113,gifted,110.495,112.448,110.495,112.448
0,115,basic,152.085,97.015,152.085,97.015
0,117,basic,249.896,159.167,249.896,159.167
0,117,gifted,48.04,48.889,48.04,48.889
0,118,basic,268.315,149.851,268.315,149.851
0,130,basic,675.58,407.344,675.58,407.344
0,201,basic,78.179,52.745,31.879,17.285
0,202,basic,169.423,87.012,135.512,64.16
0,203,basic,266.501,187.713,207.189,141.196
0,204,basic,177.623,125.521,113.18,71.648
0,208,basic,132.487,108.784,53.621,38.792
0,209,basic,150.438,51.249,17.084,5.234
0,210,basic,192.76,79.366,172.199,69.023
0,211,basic,70.61,45.693,31.645,19.704
0,212,gifted,205.947,209.588,200.548,204.093
0,215,basic,115.096,64.103,41.543,20.973
0,218,basic,152.33,95.89,109.662,67.617
0,220,basic,86.199,71.115,37.752,25.143
0,221,basic,164.634,107.001,51.325,24.916
0,222,basic,134.162,78.71,84.609,39.579
0,225,basic,78.273,39.272,37.838,16.716
0,226,basic,248.416,152.74,172.292,95.897
0,229,basic,249.801,207.964,188.391,152.96
0,230,basic,114.43,79.705,45.375,27.717
0,233,basic,280.825,174.659,147.386,86.716
0,234,basic,79.847,65.529,44.047,33.067
0,235,basic,77.572,47.843,44.337,24.98
0,236,basic,55.631,48.48,42.363,35.876
0,239,basic,278.251,161.084,204.323,109.644
0,241,basic,385.176,126.283,350.461,111.663
0,242,basic,153.813,104.516,136.773,91.717
0,243,basic,213.865,115.123,172.04,90.708
0,244,basic,37.825,35.15,17.269,15.622
0,245,basic,320.055,269.281,271.88,223.91
0,246,basic,235.572,121.226,112.828,51.296
0,247,basic,368.395,120.126,338.737,108.097
0,248,basic,148.57,95.619,100.496,63.171
0,249,basic,29.208,21.674,4.371,2.485
0,250,basic,82.714,64.018,29.069,21.154
0,251,basic,134.536,62.554,92.878,40.295
0,252,basic,244.115,174.529,222.49,156.12
0,255,basic,85.32,58.136,57.336,37.718
0,257,basic,125.865,110.223,88.54,75.349
0,259,basic,155.633,117.739,99.085,69.043
0,261,basic,182.709,165.475,96.702,83.769
0,262,basic,190.468,146.344,138.208,102.074
0,264,basic,81.887,34.74,53.261,21.472
0,266,basic,105.543,84.318,52.213,38.776
0,267,basic,122.522,102.704,84.538,69.231
0,268,basic,111.275,105.712,83.252,79.09
0,269,basic,100.302,93.52,58.338,53.653
0,270,basic,163.927,114.986,94.536,57.93
0,272,basic,42.06,39.527,14.585,13.425
0,275,basic,93.051,87.54,75.788,71.14
0,276,basic,152.258,72.03,108.427,49.578
0,277,basic,123.876,84.19,59.207,38.424
0,279,basic,108.575,47.492,31.248,12.384
0,281,basic,67.023,46.508,7.947,4.617
0,282,basic,81.144,63.964,22.498,14.999
0,286,basic,180.19,103.933,127.597,60.964
0,287,gifted,190.0,193.359,111.164,113.129
0,288,basic,179.21,157.028,121.569,102.269
0,289,basic,105.018,96.168,62.743,56.146
0,291,basic,361.676,253.594,284.91,182.262
0,292,basic,494.833,299.698,195.768,101.3
0,930,basic,399.282,361.255,398.331,360.352
0,935,basic,436.356,325.877,303.641,205.205
0,939,basic,151.509,67.919,94.748,36.634
0,949,basic,376.228,326.445,237.659,195.779
0,955,basic,43.77,41.581,32.31,30.695
0,971,gifted,515.785,524.903,501.503,510.369
0,972,basic,263.027,206.402,228.637,174.721
0,974,basic,87.934,79.623,67.868,60.56
0,977,basic,232.855,178.917,148.371,106.683
1,103,basic,278.821,257.514,278.821,257.514
1,104,basic,117.661,53.199,117.661,53.199
1,105,basic,439.413,239.891,439.413,239.891
1,105,gifted,132.402,134.109,132.402,134.109
1,106,basic,456.677,312.803,456.677,312.803
1,106,gifted,89.685,90.841,89.685,90.841
1,107,basic,525.219,283.89,525.219,283.89
1,109,basic,158.1,115.37,158.1,115.37
1,110,basic,400.891,227.594,400.891,227.594
1,113,basic,393.453,270.964,393.453,270.964
1,113,gifted,114.959,116.442,114.959,116.442
1,115,basic,148.248,99.642,148.248,99.642
1,117,basic,259.806,169.402,259.806,169.402
1,117,gifted,49.945,50.589,49.945,50.589
1,118,basic,267.145,157.96,267.145,157.96
1,130,basic,662.173,416.159,662.173,416.159
1,201,basic,80.742,54.6,30.042,16.09
1,202,basic,169.838,87.101,134.139,63.107
1,203,basic,266.321,186.577,202.054,136.552
1,204,basic,176.01,123.583,109.487,68.35
1,208,basic,136.656,111.045,52.985,38.721
1,209,basic,144.052,48.801,15.375,4.669
