draw,program,base_riders,scen_riders,d_riders,base_dist_mean,base_dist_p50,base_dist_p90,scen_dist_mean,scen_dist_p50,scen_dist_p90
0,basic,10008.5,12769.0184,2760.5184,1.5567,1.2748,2.8094,1.7866,1.5293,3.088
0,gifted,1315.5,1315.5,0.0,,,,,,
1,basic,10008.5,12724.4679,2715.9679,1.572,1.2872,2.8156,1.7969,1.5446,3.0882
1,gifted,1315.5,1315.5,0.0,,,,,,
2,basic,10008.5,12806.7803,2798.2803,1.5125,1.2233,2.7121,1.7468,1.4747,3.0314
2,gifted,1315.5,1315.5,0.0,,,,,,
3,basic,10008.5,12956.973,2948.473,1.5425,1.2472,2.7959,1.7753,1.5179,3.061
3,gifted,1315.5,1315.5,0.0,,,,,,
4,basic,10008.5,12937.7834,2929.2834,1.5445,1.2527,2.7856,1.778,1.5238,3.0659
4,gifted,1315.5,1315.5,0.0,,,,,,
5,basic,10008.5,12588.5897,2580.0897,1.5655,1.259,2.8102,1.7978,1.5064,3.0978
5,gifted,1315.5,1315.5,0.0,,,,,,
6,basic,10008.5,12736.5934,2728.0934,1.5644,1.2528,2.8155,1.8006,1.5066,3.0978
6,gifted,1315.5,1315.5,0.0,,,,,,
7,basic,10008.5,12692.2369,2683.7369,1.5347,1.2233,2.7555,1.7543,1.4663,3.0406
7,gifted,1315.5,1315.5,0.0,,,,,,
8,basic,10008.5,12722.8091,2714.3091,1.5823,1.3069,2.8158,1.8025,1.5622,3.0896
8,gifted,1315.5,1315.5,0.0,,,,,,
9,basic,10008.5,12690.64,2682.14,1.5758,1.2872,2.8185,1.8002,1.5337,3.0885
9,gifted,1315.5,1315.5,0.0,,,,,,
10,basic,10008.5,12895.3721,2886.8721,1.5611,1.2529,2.8153,1.7942,1.5277,3.0885
10,gifted,1315.5,1315.5,0.0,,,,,,
11,basic,10008.5,12737.7604,2729.2604,1.5802,1.2825,2.8226,1.8121,1.5482,3.1012
11,gifted,1315.5,1315.5,0.0,,,,,,
12,basic,10008.5,12679.3097,2670.8097,1.579,1.2773,2.8158,1.7901,1.5234,3.0738
12,gifted,1315.5,1315.5,0.0,,,,,,
13,basic,10008.5,12825.8271,2817.3271,1.5512,1.259,2.7858,1.763,1.5287,3.0403
13,gifted,1315.5,1315.5,0.0,,,,,,
14,basic,10008.5,12806.2778,2797.7778,1.502,1.2233,2.6849,1.7228,1.4769,2.9845
14,gifted,1315.5,1315.5,0.0,,,,,,
15,basic,10008.5,12786.1963,2777.6963,1.5634,1.259,2.8152,1.7947,1.5293,3.0884
15,gifted,1315.5,1315.5,0.0,,,,,,
16,basic,10008.5,12934.7652,2926.2652,1.6043,1.2904,2.8463,1.8443,1.5764,3.1499
16,gifted,1315.5,1315.5,0.0,,,,,,
17,basic,10008.5,12894.9391,2886.4391,1.5431,1.2566,2.7858,1.7804,1.5227,3.0679
17,gifted,1315.5,1315.5,0.0,,,,,,
18,basic,10008.5,13109.2294,3100.7294,1.5584,1.2528,2.8038,1.7851,1.5429,3.0613
18,gifted,1315.5,1315.5,0.0,,,,,,
19,basic,10008.5,12718.4046,2709.9046,1.5893,1.2814,2.8433,1.8253,1.5365,3.1164
19,gifted,1315.5,1315.5,0.0,,,,,,
20,basic,10008.5,12821.2462,2812.7462,1.5587,1.2566,2.7857,1.7697,1.5067,3.0407
20,gifted,1315.5,1315.5,0.0,,,,,,
21,basic,10008.5,12616.0466,2607.5466,1.5416,1.2529,2.7621,1.7718,1.4974,3.0609
21,gifted,1315.5,1315.5,0.0,,,,,,
22,basic,10008.5,12896.2502,2887.7502,1.554,1.259,2.7982,1.7783,1.5364,3.0611
22,gifted,1315.5,1315.5,0.0,,,,,,
23,basic,10008.5,12757.9448,2749.4448,1.545,1.259,2.7582,1.7572,1.522,3.0056
23,gifted,1315.5,1315.5,0.0,,,,,,
24,basic,10008.5,12734.8752,2726.3752,1.5651,1.2871,2.8045,1.7866,1.5365,3.0684
24,gifted,1315.5,1315.5,0.0,,,,,,
25,basic,10008.5,12719.0619,2710.5619,1.5286,1.2252,2.745,1.749,1.4771,3.0248
25,gifted,1315.5,1315.5,0.0,,,,,,
26,basic,10008.5,12814.7053,2806.2053,1.5817,1.2908,2.8206,1.8077,1.5588,3.0979
26,gifted,1315.5,1315.5,0.0,,,,,,
27,basic,10008.5,12692.8413,2684.3413,1.5355,1.2394,2.7632,1.7529,1.489,3.0375
27,gifted,1315.5,1315.5,0.0,,,,,,
28,basic,10008.5,12709.3866,2700.8866,1.5317,1.2437,2.7633,1.7711,1.4934,3.0612
28,gifted,1315.5,1315.5,0.0,,,,,,
29,basic,10008.5,12880.2981,2871.7981,1.5616,1.2527,2.8158,1.8097,1.5232,3.1156
29,gifted,1315.5,1315.5,0.0,,,,,,
30,basic,10008.5,12672.7741,2664.2741,1.5346,1.2297,2.7555,1.7563,1.4773,3.0405
30,gifted,1315.5,1315.5,0.0,,,,,,
31,basic,10008.5,12820.3275,2811.8275,1.5259,1.2473,2.7494,1.7573,1.5013,3.0407
31,gifted,1315.5,1315.5,0.0,,,,,,
32,basic,10008.5,12753.274,2744.774,1.4995,1.2252,2.6631,1.7237,1.477,2.9832
32,gifted,1315.5,1315.5,0.0,,,,,,
33,basic,10008.5,12730.6173,2722.1173,1.5524,1.2557,2.7854,1.7721,1.5056,3.0425
33,gifted,1315.5,1315.5,0.0,,,,,,
34,basic,10008.5,12854.2668,2845.7668,1.5958,1.2835,2.8463,1.8308,1.5588,3.1428
34,gifted,1315.5,1315.5,0.0,,,,,,
35,basic,10008.5,12696.3514,2687.8514,1.5669,1.259,2.8156,1.8026,1.5217,3.0979
35,gifted,1315.5,1315.5,0.0,,,,,,
36,basic,10008.5,12724.2853,2715.7853,1.6067,1.2895,2.8465,1.8461,1.5518,3.1881
36,gifted,1315.5,1315.5,0.0,,,,,,
37,basic,10008.5,12831.0521,2822.5521,1.5646,1.259,2.8156,1.7858,1.5292,3.0849
37,gifted,1315.5,1315.5,0.0,,,,,,
38,basic,10008.5,12897.8568,2889.3568,1.5454,1.2527,2.7856,1.7858,1.5229,3.0849
38,gifted,1315.5,1315.5,0.0,,,,,,
39,basic,10008.5,12896.9538,2888.4538,1.5806,1.2898,2.8248,1.8075,1.5623,3.0967
39,gifted,1315.5,1315.5,0.0,,,,,,
40,basic,10008.5,12648.261,2639.761,1.5327,1.2529,2.7555,1.7668,1.496,3.0491
40,gifted,1315.5,1315.5,0.0,,,,,,
41,basic,10008.5,12884.0781,2875.5781,1.5373,1.2578,2.7634,1.7647,1.5225,3.0407
41,gifted,1315.5,1315.5,0.0,,,,,,
42,basic,10008.5,12731.157,2722.657,1.571,1.2763,2.8153,1.8006,1.5365,3.0957
42,gifted,1315.5,1315.5,0.0,,,,,,
43,basic,10008.5,12616.7415,2608.2415,1.4574,1.1988,2.5871,1.6686,1.4257,2.893
43,gifted,1315.5,1315.5,0.0,,,,,,
44,basic,10008.5,12780.5802,2772.0802,1.6012,1.304,2.846,1.8325,1.571,3.1203
44,gifted,1315.5,1315.5,0.0,,,,,,
45,basic,10008.5,12657.5228,2649.0228,1.5597,1.259,2.7992,1.7794,1.5051,3.0612
45,gifted,1315.5,1315.5,0.0,,,,,,
46,basic,10008.5,12821.1909,2812.6909,1.5821,1.27,2.8433,1.8187,1.5447,3.1158
46,gifted,1315.5,1315.5,0.0,,,,,,
47,basic,10008.5,12682.8616,2674.3616,1.5226,1.2299,2.719,1.7364,1.4873,2.9919
47,gifted,1315.5,1315.5,0.0,,,,,,
48,basic,10008.5,12699.5207,2691.0207,1.5701,1.2701,2.8157,1.7898,1.5232,3.0854
48,gifted,1315.5,1315.5,0.0,,,,,,
49,basic,10008.5,12888.1085,2879.6085,1.6066,1.3068,2.8464,1.832,1.5764,3.1222
49,gifted,1315.5,1315.5,0.0,,,,,,
50,basic,10008.5,12706.673,2698.173,1.5519,1.259,2.7857,1.7738,1.5179,3.0493
50,gifted,1315.5,1315.5,0.0,,,,,,
51,basic,10008.5,12693.3317,2684.8317,1.5625,1.2585,2.8154,1.8062,1.5209,3.1013
51,gifted,1315.5,1315.5,0.0,,,,,,
52,basic,10008.5,12753.421,2744.921,1.5297,1.2355,2.7454,1.7508,1.4934,3.0244
52,gifted,1315.5,1315.5,0.0,,,,,,
