draw,program,base_riders,scen_riders,d_riders,base_dist_mean,base_dist_p50,base_dist_p90,scen_dist_mean,scen_dist_p50,scen_dist_p90
0,basic,10008.5,14221.1428,4212.6428,1.5711,1.2773,2.8158,1.6361,1.3284,2.8891
0,gifted,1315.5,1315.5,0.0,,,,,,
1,basic,10008.5,14106.7535,4098.2535,1.5738,1.2873,2.8157,1.6367,1.3321,2.8691
1,gifted,1315.5,1315.5,0.0,,,,,,
2,basic,10008.5,13179.0015,3170.5015,1.5087,1.2231,2.6898,1.5632,1.2474,2.7856
2,gifted,1315.5,1315.5,0.0,,,,,,
3,basic,10008.5,12692.8706,2684.3706,1.5459,1.2475,2.7858,1.589,1.2774,2.8419
3,gifted,1315.5,1315.5,0.0,,,,,,
4,basic,10008.5,14304.1086,4295.6086,1.5511,1.259,2.7858,1.6156,1.304,2.8464
4,gifted,1315.5,1315.5,0.0,,,,,,
5,basic,10008.5,13975.0046,3966.5046,1.5495,1.259,2.7857,1.6102,1.3068,2.8463
5,gifted,1315.5,1315.5,0.0,,,,,,
6,basic,10008.5,13384.3642,3375.8642,1.5532,1.259,2.7876,1.6166,1.304,2.8466
6,gifted,1315.5,1315.5,0.0,,,,,,
7,basic,10008.5,13487.4724,3478.9724,1.5072,1.2233,2.7083,1.5636,1.2527,2.7856
7,gifted,1315.5,1315.5,0.0,,,,,,
8,basic,10008.5,13635.6972,3627.1972,1.5393,1.2581,2.7423,1.5906,1.2872,2.8094
8,gifted,1315.5,1315.5,0.0,,,,,,
9,basic,10008.5,13235.6961,3227.1961,1.5291,1.2527,2.7554,1.5853,1.2815,2.8157
9,gifted,1315.5,1315.5,0.0,,,,,,
10,basic,10008.5,12684.9686,2676.4686,1.5194,1.2297,2.7424,1.561,1.2529,2.7854
10,gifted,1315.5,1315.5,0.0,,,,,,
11,basic,10008.5,13148.4134,3139.9134,1.5377,1.2478,2.774,1.5982,1.2815,2.846
11,gifted,1315.5,1315.5,0.0,,,,,,
12,basic,10008.5,12722.4325,2713.9325,1.5332,1.2252,2.7576,1.5822,1.2563,2.8184
12,gifted,1315.5,1315.5,0.0,,,,,,
13,basic,10008.5,14118.9367,4110.4367,1.5733,1.2737,2.8156,1.6252,1.3069,2.8466
13,gifted,1315.5,1315.5,0.0,,,,,,
14,basic,10008.5,12733.3191,2724.8191,1.5873,1.2872,2.8427,1.6218,1.3126,2.8466
14,gifted,1315.5,1315.5,0.0,,,,,,
15,basic,10008.5,13720.7473,3712.2473,1.5159,1.2234,2.7384,1.5806,1.259,2.8155
