draw,school_id,program,base_eligible,base_riders,scen_eligible,scen_riders,base_dist_mean,scen_dist_mean
0,11,basic,0.0,0.0,1184.847,540.69,,1.429
0,12,basic,0.0,0.0,853.024,308.984,,2.188
0,13,basic,0.0,0.0,1067.867,571.007,,1.575
0,14,basic,0.0,0.0,1165.009,447.638,,1.582
0,15,basic,0.0,0.0,1365.176,488.944,,1.892
0,17,basic,0.0,0.0,1053.596,444.836,,1.481
0,18,basic,0.0,0.0,897.598,558.063,,1.342
0,19,basic,0.0,0.0,1268.509,541.55,,1.965
0,20,basic,0.0,0.0,1198.401,726.149,,1.786
0,21,basic,0.0,0.0,645.975,378.45,,1.297
0,22,basic,0.0,0.0,761.732,469.388,,1.301
0,23,basic,0.0,0.0,242.848,209.85,,4.693
0,24,basic,0.0,0.0,165.0,114.631,,4.674
0,103,basic,276.512,246.901,276.512,246.901,1.662,1.662
0,104,basic,119.222,52.816,119.222,52.816,2.094,2.094
0,105,basic,444.39,216.297,444.39,216.297,2.371,2.371
0,105,gifted,178.136,163.931,178.136,163.931,,
0,106,basic,450.543,286.172,450.543,286.172,1.687,1.687
0,106,gifted,115.56,106.345,115.56,106.345,,
0,107,basic,513.874,265.104,513.874,265.104,2.493,2.493
0,109,basic,144.496,100.914,144.496,100.914,2.032,2.032
0,110,basic,402.668,214.415,402.668,214.415,2.135,2.135
0,113,basic,378.173,241.392,378.173,241.392,2.274,2.274
0,113,gifted,134.925,124.166,134.925,124.166,,
0,115,basic,152.085,91.596,152.085,91.596,1.725,1.725
0,117,basic,249.896,158.056,249.896,158.056,2.317,2.317
0,117,gifted,89.139,82.03,89.139,82.03,,
0,118,basic,268.315,145.188,268.315,145.188,2.145,2.145
0,130,basic,675.58,402.833,675.58,402.833,1.738,1.738
0,201,basic,78.179,50.541,78.179,50.541,1.121,1.121
0,202,basic,169.423,87.648,169.423,87.648,1.683,1.683
0,203,basic,266.501,181.411,266.501,181.411,1.33,1.33
0,204,basic,177.623,124.203,177.623,124.203,1.442,1.442
0,208,basic,202.684,164.553,202.684,164.553,1.276,1.276
0,209,basic,150.438,51.291,150.438,51.291,0.792,0.792
0,210,basic,192.76,79.641,192.76,79.641,1.426,1.426
0,211,basic,70.61,43.966,70.61,43.966,1.1,1.1
0,212,gifted,205.947,189.524,205.947,189.524,,
0,215,basic,115.096,67.158,115.096,67.158,0.846,0.846
0,218,basic,152.33,91.911,152.33,91.911,0.767,0.767
0,220,basic,86.199,70.755,86.199,70.755,1.336,1.336
0,221,basic,164.634,107.729,164.634,107.729,1.013,1.013
0,222,basic,134.162,79.803,134.162,79.803,1.97,1.97
0,225,basic,78.273,38.828,78.273,38.828,1.245,1.245
0,226,basic,248.416,156.739,248.416,156.739,1.246,1.246
0,229,basic,249.801,200.707,249.801,200.707,1.149,1.149
0,230,basic,114.43,75.81,114.43,75.81,1.061,1.061
0,233,basic,280.825,170.025,280.825,170.025,0.828,0.828
0,234,basic,79.847,64.075,79.847,64.075,1.178,1.178
0,235,basic,77.572,48.602,77.572,48.602,1.144,1.144
0,236,basic,55.631,48.441,55.631,48.441,1.107,1.107
0,239,basic,278.251,160.825,278.251,160.825,1.741,1.741
0,241,basic,385.176,129.915,385.176,129.915,1.907,1.907
0,242,basic,153.813,104.458,153.813,104.458,1.225,1.225
0,243,basic,213.865,110.727,213.865,110.727,0.987,0.987
0,244,basic,37.825,35.364,37.825,35.364,1.111,1.111
0,245,basic,320.055,271.421,320.055,271.421,1.219,1.219
