draw,program,base_riders,scen_riders,d_riders,base_dist_mean,base_dist_p50,base_dist_p90,scen_dist_mean,scen_dist_p50,scen_dist_p90
0,basic,10008.5,16308.6208,6300.1208,1.5711,1.2773,2.8158,1.5643,1.2528,2.7838
0,gifted,1315.5,1477.8726,162.3726,,,,,,
1,basic,10008.5,16287.0508,6278.5508,1.5738,1.2873,2.8157,1.5612,1.2529,2.7589
1,gifted,1315.5,1475.396,159.896,,,,,,
2,basic,10008.5,15162.095,5153.595,1.5087,1.2231,2.6898,1.4985,1.2116,2.6398
2,gifted,1315.5,1475.3361,159.8361,,,,,,
3,basic,10008.5,14710.2561,4701.7561,1.5459,1.2475,2.7858,1.5188,1.2241,2.6858
3,gifted,1315.5,1478.3597,162.8597,,,,,,
4,basic,10008.5,16443.6591,6435.1591,1.5511,1.259,2.7858,1.5448,1.2417,2.7359
4,gifted,1315.5,1478.6135,163.1135,,,,,,
5,basic,10008.5,16138.5246,6130.0246,1.5495,1.259,2.7857,1.5379,1.2418,2.7221
5,gifted,1315.5,1478.7276,163.2276,,,,,,
6,basic,10008.5,15481.9314,5473.4314,1.5532,1.259,2.7876,1.5431,1.2414,2.7364
6,gifted,1315.5,1477.8044,162.3044,,,,,,
7,basic,10008.5,15540.7032,5532.2032,1.5072,1.2233,2.7083,1.4988,1.2154,2.6447
7,gifted,1315.5,1479.5126,164.0126,,,,,,
8,basic,10008.5,15856.269,5847.769,1.5393,1.2581,2.7423,1.5171,1.2252,2.6629
8,gifted,1315.5,1478.7814,163.2814,,,,,,
9,basic,10008.5,15357.5446,5349.0446,1.5291,1.2527,2.7554,1.5144,1.2252,2.6787
9,gifted,1315.5,1474.6486,159.1486,,,,,,
10,basic,10008.5,14734.2683,4725.7683,1.5194,1.2297,2.7424,1.4925,1.2154,2.6381
10,gifted,1315.5,1477.7011,162.2011,,,,,,
11,basic,10008.5,15189.2102,5180.7102,1.5377,1.2478,2.774,1.5279,1.2252,2.7066
11,gifted,1315.5,1474.3476,158.8476,,,,,,
12,basic,10008.5,14686.6358,4678.1358,1.5332,1.2252,2.7576,1.5141,1.2183,2.6725
12,gifted,1315.5,1478.2894,162.7894,,,,,,
13,basic,10008.5,16337.4738,6328.9738,1.5733,1.2737,2.8156,1.5503,1.2437,2.7364
13,gifted,1315.5,1476.5914,161.0914,,,,,,
14,basic,10008.5,14899.1088,4890.6088,1.5873,1.2872,2.8427,1.5429,1.2473,2.7364
14,gifted,1315.5,1477.4837,161.9837,,,,,,
15,basic,10008.5,15720.6284,5712.1284,1.5159,1.2234,2.7384,1.5159,1.2232,2.6794
15,gifted,1315.5,1478.1705,162.6705,,,,,,
16,basic,10008.5,14884.3935,4875.8935,1.5053,1.2343,2.6855,1.4797,1.2154,2.6119
16,gifted,1315.5,1474.9751,159.4751,,,,,,
17,basic,10008.5,14982.6904,4974.1904,1.5552,1.2815,2.7853,1.5138,1.2347,2.6631
17,gifted,1315.5,1478.5297,163.0297,,,,,,
18,basic,10008.5,16156.0084,6147.5084,1.5695,1.2793,2.8151,1.5497,1.2475,2.7364
18,gifted,1315.5,1476.4226,160.9226,,,,,,
19,basic,10008.5,16179.865,6171.365,1.5772,1.2748,2.8229,1.591,1.259,2.8205
19,gifted,1315.5,1478.1085,162.6085,,,,,,
20,basic,10008.5,16323.899,6315.399,1.5713,1.274,2.8152,1.576,1.2563,2.7951
20,gifted,1315.5,1476.247,160.747,,,,,,
21,basic,10008.5,14903.3814,4894.8814,1.5746,1.2748,2.8157,1.5286,1.2295,2.7028
21,gifted,1315.5,1473.1882,157.6882,,,,,,
22,basic,10008.5,16439.6024,6431.1024,1.5486,1.2773,2.7854,1.5423,1.2527,2.7219
22,gifted,1315.5,1475.9198,160.4198,,,,,,
23,basic,10008.5,15550.7912,5542.2912,1.5654,1.259,2.8153,1.5512,1.2397,2.746
23,gifted,1315.5,1477.5371,162.0371,,,,,,
24,basic,10008.5,15992.058,5983.558,1.5168,1.2435,2.7315,1.508,1.2252,2.663
24,gifted,1315.5,1475.7193,160.2193,,,,,,
25,basic,10008.5,15979.8473,5971.3473,1.5337,1.2472,2.7778,1.5379,1.2295,2.7363
25,gifted,1315.5,1475.8515,160.3515,,,,,,
26,basic,10008.5,15726.6356,5718.1356,1.5151,1.2297,2.722,1.5086,1.2233,2.6631
26,gifted,1315.5,1480.4421,164.9421,,,,,,
27,basic,10008.5,16950.8611,6942.3611,1.5117,1.2252,2.7191,1.5079,1.2205,2.6631
27,gifted,1315.5,1478.7181,163.2181,,,,,,
28,basic,10008.5,15954.4632,5945.9632,1.6071,1.3034,2.8464,1.5935,1.2632,2.8185
28,gifted,1315.5,1479.8673,164.3673,,,,,,
29,basic,10008.5,16030.4311,6021.9311,1.5946,1.3067,2.846,1.5663,1.259,2.7775
29,gifted,1315.5,1477.8579,162.3579,,,,,,
30,basic,10008.5,15180.2732,5171.7732,1.5931,1.2814,2.846,1.5741,1.2526,2.7982
30,gifted,1315.5,1475.4361,159.9361,,,,,,
31,basic,10008.5,16807.502,6799.002,1.5448,1.2392,2.7854,1.5452,1.2295,2.7335
31,gifted,1315.5,1479.3827,163.8827,,,,,,
32,basic,10008.5,14985.6365,4977.1365,1.5261,1.2284,2.7433,1.504,1.2154,2.6559
32,gifted,1315.5,1479.4188,163.9188,,,,,,
33,basic,10008.5,15457.8831,5449.3831,1.5531,1.2527,2.7994,1.5444,1.2303,2.7408
33,gifted,1315.5,1471.9467,156.4467,,,,,,
