draw,program,base_riders,scen_riders,d_riders,base_dist_mean,base_dist_p50,base_dist_p90,scen_dist_mean,scen_dist_p50,scen_dist_p90
0,basic,10008.5,12130.958,2122.458,1.5567,1.2748,2.8094,1.4722,1.2156,2.6096
0,gifted,1315.5,1481.302,165.802,,,,,,
1,basic,10008.5,12192.4488,2183.9488,1.572,1.2872,2.8156,1.4827,1.2182,2.6368
1,gifted,1315.5,1475.7748,160.2748,,,,,,
2,basic,10008.5,11996.9925,1988.4925,1.5125,1.2233,2.7121,1.4389,1.183,2.505
2,gifted,1315.5,1475.6315,160.1315,,,,,,
3,basic,10008.5,12002.985,1994.485,1.5425,1.2472,2.7959,1.4646,1.1922,2.5948
3,gifted,1315.5,1478.7117,163.2117,,,,,,
4,basic,10008.5,12043.8371,2035.3371,1.5445,1.2527,2.7856,1.4647,1.1986,2.5865
4,gifted,1315.5,1472.9924,157.4924,,,,,,
5,basic,10008.5,12099.025,2090.525,1.5655,1.259,2.8102,1.4801,1.2005,2.6204
5,gifted,1315.5,1477.4159,161.9159,,,,,,
6,basic,10008.5,12000.7533,1992.2533,1.5644,1.2528,2.8155,1.4832,1.199,2.6366
6,gifted,1315.5,1480.3775,164.8775,,,,,,
7,basic,10008.5,12001.8358,1993.3358,1.5347,1.2233,2.7555,1.4574,1.1831,2.5565
7,gifted,1315.5,1480.1285,164.6285,,,,,,
8,basic,10008.5,12259.4425,2250.9425,1.5823,1.3069,2.8158,1.4894,1.2252,2.6219
8,gifted,1315.5,1477.0122,161.5122,,,,,,
9,basic,10008.5,12158.4279,2149.9279,1.5758,1.2872,2.8185,1.487,1.2182,2.6385
9,gifted,1315.5,1479.582,164.082,,,,,,
10,basic,10008.5,11974.8793,1966.3793,1.5611,1.2529,2.8153,1.4815,1.2012,2.6366
10,gifted,1315.5,1477.3978,161.8978,,,,,,
11,basic,10008.5,12087.4503,2078.9503,1.5802,1.2825,2.8226,1.4936,1.223,2.6525
11,gifted,1315.5,1476.1478,160.6478,,,,,,
12,basic,10008.5,12155.807,2147.307,1.579,1.2773,2.8158,1.4893,1.2116,2.6225
12,gifted,1315.5,1475.6377,160.1377,,,,,,
13,basic,10008.5,12231.5591,2223.0591,1.5512,1.259,2.7858,1.4636,1.199,2.5771
13,gifted,1315.5,1476.0738,160.5738,,,,,,
14,basic,10008.5,12139.2516,2130.7516,1.502,1.2233,2.6849,1.4255,1.1821,2.4913
14,gifted,1315.5,1478.0488,162.5488,,,,,,
15,basic,10008.5,12088.7295,2080.2295,1.5634,1.259,2.8152,1.4792,1.2116,2.621
15,gifted,1315.5,1477.4891,161.9891,,,,,,
16,basic,10008.5,12057.5543,2049.0543,1.6043,1.2904,2.8463,1.5136,1.2231,2.6789
16,gifted,1315.5,1478.711,163.211,,,,,,
