item_code,section_code,label,value_kind,description
land_area,A,Land Area (Ln),detail,"Natural log of district land area, weighted into the allocation formula."
average_distance,A,Average Distance,detail,Average route distance (miles).
destinations,A,Destinations,detail,Distinct delivery destinations served.
basic_program,A,Basic Program (Ln),detail,Natural log of basic-program enrollment.
special_program,A,Special Program (Ln),detail,Natural log of special-program enrollment.
non_high_yes,A,Non-High Yes,non_high,Indicator + coefficient for districts classified as 'Non-High Yes'.
non_high_no,A,Non-High No,non_high,Indicator + coefficient for districts classified as 'Non-High No'.
a1_sum_calculated_values,A,A.1. Sum of Calculated Values,calc,Sum of the 7 Section A detail calculated values.
a2_expected_allocation_constant,A,A.2. Expected Allocation Constant Value,calc,OSPI-published per-year constant added to the sum.
a3_expected_allocation_value,A,A.3. Expected Allocation Value,calc,A.1 + A.2; intermediate calculation.
a4_initial_allocation,A,A.4. Initial Allocation,amount,Exp(A.3) scaled to dollars -- the formula-driven initial allocation.
a5_local_characteristics_factor,A,A.5. Local Characteristics Factor,calc,Multiplier accounting for local factors. Usually 1.00000.
a6_calculated_expected_allocation,A,A.6. CALCULATED EXPECTED ALLOCATION,amount,A.4 * A.5 -- the formula's final answer before adjustments.
b1_non_high,B,B.1. Non-High,amount,Non-high adjustment.
b2_low_ridership,B,B.2. Low Ridership,amount,Low-ridership adjustment.
b3_transportation_coop,B,B.3. Transportation Co-op,amount,Transportation co-op adjustment.
b4_esd,B,B.4. ESD,amount,ESD-related adjustment.
b5_other,B,B.5. Other,amount,Other alternate-system adjustments.
b6_alternate_system_total,B,B.6. Alternate System Total,amount_rt,"B.1-B.5 sum, plus running-total post-Section-B."
c1_alt_calendar_modifier,C,C.1. Alt Calendar Modifier,coef_rt,Alt-calendar modifier (decimal multiplier) plus running total.
c2_car_mileage_reimbursement,C,C.2. Car Mileage Reimbursement,amount,Car-mileage reimbursement amount.
c3_other_adjustments_total,C,C.3. Other Adjustments Total,amount_rt,"Sum of C.1 + C.2, plus running total post-Section-C."
d1_adjusted_allocation,D,D.1. Adjusted Allocation,amount,Allocation after all B and C adjustments.
d2_prior_year_expenditures,D,D.2. Prior Year Expenditures,amount,District's transportation expenditures from the prior school year.
d3_federal_restricted_rate_indirects,D,D.3. Federal Restricted Rate Indirects,amount,Federal restricted-rate indirect costs added to prior-year expenditures.
d4_adjusted_prior_year_expenditures,D,D.4. Adjusted Prior Year Expenditures,amount,D.2 + D.3.
d5_lesser_of_adjusted_or_prior_year,D,D.5. Lesser of Adjusted Allocation or Adjusted Prior Year Expenditures,amount,"Min(D.1, D.4) -- the cap that prevents over-allocation."
d6_legislative_salary,D,D.6. Legislative Salary,amount,Legislative salary add-on.
d7_legislative_benefit,D,D.7. Legislative Benefit,amount,Legislative benefit add-on.
d8_actual_allocation_amount,D,D.8. ACTUAL ALLOCATION AMOUNT,amount,Bottom-line transportation allocation paid to the district.
