destination_name,school_id,n_route_rows,n_years,first_year,last_year
415 BUILDING,,1,1,2020-2021,2020-2021
Adams Elementary,201,83,9,2017-2018,2025-2026
Aki Kurose M.S.,130,280,9,2017-2018,2025-2026
Alderwood Early Childhood Center,,1,1,2023-2024,2023-2024
Alki Elementary,202,36,5,2017-2018,2022-2023
Alki Elementary TEMP CONST,202,28,3,2023-2024,2025-2026
Arbor Heights Elementary,203,171,9,2017-2018,2025-2026
B.F. Day Elementary,218,167,9,2017-2018,2025-2026
BRIDGES @ Providence Mount St.,,4,1,2025-2026,2025-2026
Bailey Gatzert Elementary,226,128,9,2017-2018,2025-2026
Ballard H.S.,11,130,9,2017-2018,2025-2026
Beacon Hill Elementary,205,18,7,2017-2018,2025-2026
Bridges @ Magnuson Bldg,,9,3,2023-2024,2025-2026
Brier Elementary,,1,1,2023-2024,2023-2024
Brightmont Academy - Seattle,,3,1,2022-2023,2022-2023
Broadview-Thompson K-8 School,208,167,9,2017-2018,2025-2026
Bryant Elementary,209,55,8,2017-2018,2025-2026
Cascade View Elementary,,3,1,2020-2021,2020-2021
Cascadia Elementary,971,292,9,2017-2018,2025-2026
Catharine Blaine K-8 School,289,29,8,2017-2018,2025-2026
Cedar Park Elementary,210,41,8,2017-2018,2025-2026
Chief Sealth International H.S.,18,220,9,2017-2018,2025-2026
Clevland H.S.,12,133,9,2017-2018,2025-2026
Community Care Center - Contract Site,,5,2,2017-2018,2018-2019
Concord Elementary,215,72,9,2017-2018,2025-2026
Daniel Bagley Elementary,204,130,9,2017-2018,2025-2026
Dearborn Park Elementary,251,67,9,2017-2018,2025-2026
Decatur Elementary,287,68,8,2017-2018,2025-2026
Denny International Middle School,103,219,8,2018-2019,2025-2026
Denny M.S.,103,39,1,2017-2018,2017-2018
Dunlap Elementary,219,115,9,2017-2018,2025-2026
Early Learning Center @ Old Van Asselt Bldg.,,12,1,2017-2018,2017-2018
Eckstein M.S.,104,168,9,2017-2018,2025-2026
Edmonds Woodway H.S.,,7,3,2019-2020,2025-2026
Emerson Elementary,221,144,8,2017-2018,2024-2025
Emerson Elementary TEMPORARY,221,14,1,2025-2026,2025-2026
Experimental Ed Unit,,90,4,2022-2023,2025-2026
Experimental Education Unit,,96,4,2017-2018,2021-2022
Fairmount Park Elementary,222,151,9,2017-2018,2025-2026
Franklin H.S.,13,113,9,2017-2018,2025-2026
Frantz Coe Elementary,211,45,8,2017-2018,2025-2026
Garfield High School,14,129,9,2017-2018,2025-2026
Gatewood Elementary,225,61,9,2017-2018,2025-2026
Genesse Hill Elementary,270,75,8,2017-2018,2025-2026
Graham Hill Elementary,220,90,9,2017-2018,2025-2026
Green Lake Elementary,229,168,9,2017-2018,2025-2026
Greenwood Elementary,230,77,9,2017-2018,2025-2026
Hamilton International M.S.,105,179,9,2017-2018,2025-2026
Happy Zone Alternative Learning Center,,3,1,2020-2021,2020-2021
Hawthorne Elementary,233,93,9,2017-2018,2025-2026
Hazel Wolf K-8 @ Pinehurst Site,292,245,9,2017-2018,2025-2026
Highland Park Elementary,235,60,9,2017-2018,2025-2026
Highland Terrace Elementary,,3,1,2019-2020,2019-2020
Ingraham H.S.,20,273,9,2017-2018,2025-2026
James Baldwin Elementary School,257,46,3,2023-2024,2025-2026
Jane Addams K-8,106,296,9,2017-2018,2025-2026
John Hay Elementary,234,143,9,2017-2018,2025-2026
John Muir Elementary,256,58,9,2017-2018,2025-2026
John Rogers Elementary,266,80,6,2017-2018,2025-2026
John Rogers Elementary TEMP CONST,266,29,2,2023-2024,2024-2025
John Stanford Center - Shuttle,,14,3,2017-2018,2019-2020
John Stanford International,241,20,4,2022-2023,2025-2026
John Stanford International Elementary (Latona),241,22,4,2017-2018,2021-2022
K-5 Stem @ Boren,972,232,9,2017-2018,2025-2026
Kenmore Elementary,,2,2,2023-2024,2024-2025
Kimball Elementary,288,94,7,2017-2018,2025-2026
Kimball Elementary-temp loc (21-,288,27,1,2022-2023,2022-2023
"Kimball Elementary-temp loc (21-22, 22-23)",288,27,1,2021-2022,2021-2022
Lafayette Elementary,239,114,9,2017-2018,2025-2026
Lake Forest Park Elementary,,2,1,2019-2020,2019-2020
Laurelhurst Elementary,242,104,9,2017-2018,2025-2026
Lawton Elementary,243,64,8,2017-2018,2025-2026
Leschi Elementary,244,78,9,2017-2018,2025-2026
Licton Springs K-8,955,111,9,2017-2018,2025-2026
Lincoln High School,15,55,6,2019-2020,2025-2026
Listen & Talk,,22,3,2017-2018,2019-2020
Lowell Elementary,245,325,9,2017-2018,2025-2026
Loyal Heights Elememtary (Temp Location),246,35,2,2017-2018,2018-2019
Loyal Heights Elementary,246,76,8,2018-2019,2025-2026
Lynnwood H.S.,,3,1,2017-2018,2017-2018
Madison M.S.,107,168,9,2017-2018,2025-2026
Madrona Elementary,249,6,1,2017-2018,2017-2018
Madrona K-8 School,249,60,9,2017-2018,2025-2026
Magnolia Elementary School,250,42,6,2019-2020,2025-2026
Maple Elementary,252,130,9,2017-2018,2025-2026
Martin Luther King Jr. Elementary,207,82,9,2017-2018,2025-2026
McClure M.S.,118,162,9,2017-2018,2025-2026
McDonald Elementary,247,67,8,2017-2018,2025-2026
McGilvra Elementary,248,47,8,2017-2018,2025-2026
Meany M.S.,109,145,9,2017-2018,2025-2026
Mercer M.S.,110,154,7,2017-2018,2025-2026
Mercer M.S. TEMP CONST,110,48,2,2023-2024,2024-2025
Middle College,,2,1,2018-2019,2018-2019
Miller Community Center,,8,1,2020-2021,2020-2021
Montlake Elementary,255,59,6,2017-2018,2025-2026
Montlake Elementary TEMP CONST,255,30,2,2023-2024,2024-2025
Mount St. Vincent,,5,2,2017-2018,2024-2025
Nathan Hale H.S.,22,134,9,2017-2018,2025-2026
North Beach Elementary,259,113,9,2017-2018,2025-2026
North Seattle Food Bank,,2,1,2018-2019,2018-2019
Northgate Elementary,,83,5,2017-2018,2022-2023
Northwest School for the Hearing,,21,4,2022-2023,2025-2026
Northwest School for the Hearing Impaired,,11,3,2017-2018,2019-2020
Nova High School,23,7,3,2017-2018,2021-2022
Olympic Hills Elementary,261,184,9,2017-2018,2025-2026
Olympic View Elementary,262,100,9,2017-2018,2025-2026
Orca K-8 School,939,128,9,2017-2018,2025-2026
Pathfinder K-8 School,930,259,9,2017-2018,2025-2026
Playful Learning,,1,1,2018-2019,2018-2019
Queen Anne Elementary,974,15,1,2017-2018,2017-2018
Queen Anne Elementary (Temp,974,34,4,2022-2023,2025-2026
Queen Anne Elementary (Temp Location),974,35,3,2018-2019,2021-2022
Rainier Beach H.S.,21,151,9,2017-2018,2025-2026
Rainier View Elementary,264,60,9,2017-2018,2025-2026
Ridgecrest Elementary,,3,1,2019-2020,2019-2020
Rising Star Elementary School,275,144,8,2018-2019,2025-2026
Robert Eagle Staff M.S.,113,191,9,2017-2018,2025-2026
Roosevelt H.S.,17,132,9,2017-2018,2025-2026
Roxbury Lanes,,3,1,2017-2018,2017-2018
Roxhill Building,267,36,7,2018-2019,2024-2025
Roxhill Elementary,267,155,9,2017-2018,2025-2026
Sacajawea Elementary,268,132,9,2017-2018,2025-2026
Salmon Bay K-8 School,949,208,9,2017-2018,2025-2026
Sandpoint Elementary,269,87,9,2017-2018,2025-2026
Sanislo Elementary,273,54,9,2017-2018,2025-2026
"Seattle Hearing, Speech, &",,6,1,2025-2026,2025-2026
"Seattle Hearing, Speech, & Deafness Center",,6,1,2017-2018,2017-2018
Seattle World School,,181,8,2017-2018,2025-2026
South Seattle Community College,,3,1,2017-2018,2017-2018
South Shore K-8 School,291,187,9,2017-2018,2025-2026
Stevens Elementary,272,92,9,2017-2018,2025-2026
The Center School,24,32,6,2019-2020,2025-2026
Thorton Creek Elementary,977,189,9,2017-2018,2025-2026
Thurgood Marshall Elementary,212,340,9,2017-2018,2025-2026
Tops K-8 School,935,227,9,2017-2018,2025-2026
