school_year,class_of,_source_id,_source_table,metric_code,data_school_year,data_class_of,value
2017-2018,2018,669,stars_kpi,basic_rider_kpi,2014-2015,2015,42.91
2017-2018,2018,669,stars_kpi,basic_rider_kpi,2015-2016,2016,45.31
2017-2018,2018,669,stars_kpi,basic_rider_kpi,2016-2017,2017,46.62
2017-2018,2018,669,stars_kpi,basic_rider_kpi_change_pct,2016-2017,2017,2.9
2017-2018,2018,669,stars_kpi,sped_rider_kpi,2014-2015,2015,7.49
2017-2018,2018,669,stars_kpi,sped_rider_kpi,2015-2016,2016,6.43
2017-2018,2018,669,stars_kpi,sped_rider_kpi,2016-2017,2017,5.9
2017-2018,2018,669,stars_kpi,sped_rider_kpi_change_pct,2016-2017,2017,
2017-2018,2018,669,stars_kpi,cost_per_rider,2014-2015,2015,2186.79
2017-2018,2018,669,stars_kpi,cost_per_rider,2015-2016,2016,2385.96
2017-2018,2018,669,stars_kpi,cost_per_rider,2016-2017,2017,2435.9
2017-2018,2018,669,stars_kpi,cost_per_rider_change_pct,2016-2017,2017,2.09
2018-2019,2019,2501,stars_kpi,basic_rider_kpi,2015-2016,2016,45.31
2018-2019,2019,2501,stars_kpi,basic_rider_kpi,2016-2017,2017,46.63
2018-2019,2019,2501,stars_kpi,basic_rider_kpi,2017-2018,2018,41.6
2018-2019,2019,2501,stars_kpi,basic_rider_kpi_change_pct,2017-2018,2018,-10.79
2018-2019,2019,2501,stars_kpi,sped_rider_kpi,2015-2016,2016,6.43
2018-2019,2019,2501,stars_kpi,sped_rider_kpi,2016-2017,2017,5.91
2018-2019,2019,2501,stars_kpi,sped_rider_kpi,2017-2018,2018,5.71
2018-2019,2019,2501,stars_kpi,sped_rider_kpi_change_pct,2017-2018,2018,-3.38
2018-2019,2019,2501,stars_kpi,cost_per_rider,2015-2016,2016,2385.96
2018-2019,2019,2501,stars_kpi,cost_per_rider,2016-2017,2017,2435.9
2018-2019,2019,2501,stars_kpi,cost_per_rider,2017-2018,2018,2617.26
2018-2019,2019,2501,stars_kpi,cost_per_rider_change_pct,2017-2018,2018,7.45
2019-2020,2020,4327,stars_kpi,basic_rider_kpi,2016-2017,2017,46.63
2019-2020,2020,4327,stars_kpi,basic_rider_kpi,2017-2018,2018,41.6
2019-2020,2020,4327,stars_kpi,basic_rider_kpi,2018-2019,2019,39.17
2019-2020,2020,4327,stars_kpi,basic_rider_kpi_change_pct,2018-2019,2019,-5.84
2019-2020,2020,4327,stars_kpi,sped_rider_kpi,2016-2017,2017,5.91
2019-2020,2020,4327,stars_kpi,sped_rider_kpi,2017-2018,2018,5.71
2019-2020,2020,4327,stars_kpi,sped_rider_kpi,2018-2019,2019,6.06
2019-2020,2020,4327,stars_kpi,sped_rider_kpi_change_pct,2018-2019,2019,6.13
2019-2020,2020,4327,stars_kpi,cost_per_rider,2016-2017,2017,2435.9
2019-2020,2020,4327,stars_kpi,cost_per_rider,2017-2018,2018,2617.26
2019-2020,2020,4327,stars_kpi,cost_per_rider,2018-2019,2019,3306.8
2019-2020,2020,4327,stars_kpi,cost_per_rider_change_pct,2018-2019,2019,26.34
2022-2023,2023,8804,stars_kpi,basic_rider_kpi,2019-2020,2020,39.17
2022-2023,2023,8804,stars_kpi,basic_rider_kpi,2020-2021,2021,41.73
2022-2023,2023,8804,stars_kpi,basic_rider_kpi,2021-2022,2022,28.43
2022-2023,2023,8804,stars_kpi,basic_rider_kpi_change_pct,2021-2022,2022,-31.87
2022-2023,2023,8804,stars_kpi,sped_rider_kpi,2019-2020,2020,6.06
2022-2023,2023,8804,stars_kpi,sped_rider_kpi,2020-2021,2021,5.99
2022-2023,2023,8804,stars_kpi,sped_rider_kpi,2021-2022,2022,4.99
2022-2023,2023,8804,stars_kpi,sped_rider_kpi_change_pct,2021-2022,2022,-16.69
2022-2023,2023,8804,stars_kpi,cost_per_rider,2019-2020,2020,3306.8
2022-2023,2023,8804,stars_kpi,cost_per_rider,2020-2021,2021,2827.1
2022-2023,2023,8804,stars_kpi,cost_per_rider,2021-2022,2022,4078.54
2022-2023,2023,8804,stars_kpi,cost_per_rider_change_pct,2021-2022,2022,44.27
2023-2024,2024,10808,stars_kpi,basic_rider_kpi,2019-2020,2020,41.73
2023-2024,2024,10808,stars_kpi,basic_rider_kpi,2021-2022,2022,28.43
2023-2024,2024,10808,stars_kpi,basic_rider_kpi,2022-2023,2023,34.88
2023-2024,2024,10808,stars_kpi,basic_rider_kpi_change_pct,2022-2023,2023,22.69
2023-2024,2024,10808,stars_kpi,sped_rider_kpi,2019-2020,2020,5.99
2023-2024,2024,10808,stars_kpi,sped_rider_kpi,2021-2022,2022,4.99
2023-2024,2024,10808,stars_kpi,sped_rider_kpi,2022-2023,2023,6.23
2023-2024,2024,10808,stars_kpi,sped_rider_kpi_change_pct,2022-2023,2023,24.85
2023-2024,2024,10808,stars_kpi,cost_per_rider,2019-2020,2020,2827.1
2023-2024,2024,10808,stars_kpi,cost_per_rider,2021-2022,2022,4078.54
2023-2024,2024,10808,stars_kpi,cost_per_rider,2022-2023,2023,9981.85
2023-2024,2024,10808,stars_kpi,cost_per_rider_change_pct,2022-2023,2023,144.74
2024-2025,2025,12810,stars_kpi,basic_rider_kpi,2021-2022,2022,28.43
2024-2025,2025,12810,stars_kpi,basic_rider_kpi,2022-2023,2023,34.88
2024-2025,2025,12810,stars_kpi,basic_rider_kpi,2023-2024,2024,37.5
2024-2025,2025,12810,stars_kpi,basic_rider_kpi_change_pct,2023-2024,2024,7.51
2024-2025,2025,12810,stars_kpi,sped_rider_kpi,2021-2022,2022,4.99
2024-2025,2025,12810,stars_kpi,sped_rider_kpi,2022-2023,2023,6.23
2024-2025,2025,12810,stars_kpi,sped_rider_kpi,2023-2024,2024,6.11
2024-2025,2025,12810,stars_kpi,sped_rider_kpi_change_pct,2023-2024,2024,-1.93
2024-2025,2025,12810,stars_kpi,cost_per_rider,2021-2022,2022,4078.54
2024-2025,2025,12810,stars_kpi,cost_per_rider,2022-2023,2023,9981.85
2024-2025,2025,12810,stars_kpi,cost_per_rider,2023-2024,2024,9155.45
2024-2025,2025,12810,stars_kpi,cost_per_rider_change_pct,2023-2024,2024,-8.28
2025-2026,2026,14413,stars_kpi,basic_rider_kpi,2022-2023,2023,34.88
2025-2026,2026,14413,stars_kpi,basic_rider_kpi,2023-2024,2024,37.5
2025-2026,2026,14413,stars_kpi,basic_rider_kpi,2024-2025,2025,39.5
2025-2026,2026,14413,stars_kpi,basic_rider_kpi_change_pct,2024-2025,2025,5.06
2025-2026,2026,14413,stars_kpi,sped_rider_kpi,2022-2023,2023,6.23
2025-2026,2026,14413,stars_kpi,sped_rider_kpi,2023-2024,2024,6.11
2025-2026,2026,14413,stars_kpi,sped_rider_kpi,2024-2025,2025,6.09
2025-2026,2026,14413,stars_kpi,sped_rider_kpi_change_pct,2024-2025,2025,-0.33
2025-2026,2026,14413,stars_kpi,cost_per_rider,2022-2023,2023,9981.85
2025-2026,2026,14413,stars_kpi,cost_per_rider,2023-2024,2024,9155.45
