school_year,class_of,_source_id,_source_table,section_code,item_code,item_label,item_value,coefficient,calculated_value,amount,running_total
2017-2018,2018,978,stars_operations_allocation,A,land_area,Land Area (Ln),85.5,0.03765,0.16747,,
2017-2018,2018,978,stars_operations_allocation,A,average_distance,Average Distance,2.29917,0.05163,0.1187,,
2017-2018,2018,978,stars_operations_allocation,A,destinations,Destinations,106.5,0.01432,1.52525,,
2017-2018,2018,978,stars_operations_allocation,A,basic_program,Basic Program (Ln),20707.88,0.63154,6.27649,,
2017-2018,2018,978,stars_operations_allocation,A,special_program,Special Program (Ln),5273.63,0.12422,1.06461,,
2017-2018,2018,978,stars_operations_allocation,A,non_high_yes,Non-High Yes,,-0.13874,0.0,,
2017-2018,2018,978,stars_operations_allocation,A,non_high_no,Non-High No,,-0.38763,0.0,,
2017-2018,2018,978,stars_operations_allocation,A,a1_sum_calculated_values,A.1. Sum of Calculated Values,,,9.15253,,
2017-2018,2018,978,stars_operations_allocation,A,a2_expected_allocation_constant,A.2. Expected Allocation Constant Value,,,8.12484,,
2017-2018,2018,978,stars_operations_allocation,A,a3_expected_allocation_value,A.3. Expected Allocation Value,,,17.27736,,
2017-2018,2018,978,stars_operations_allocation,A,a4_initial_allocation,A.4. Initial Allocation,,,,31875954.56,
2017-2018,2018,978,stars_operations_allocation,A,a5_local_characteristics_factor,A.5. Local Characteristics Factor,,,1.0,,
2017-2018,2018,978,stars_operations_allocation,A,a6_calculated_expected_allocation,A.6. CALCULATED EXPECTED ALLOCATION,,,,31875954.56,
2017-2018,2018,978,stars_operations_allocation,B,b1_non_high,B.1. Non-High,,,,0.0,
2017-2018,2018,978,stars_operations_allocation,B,b2_low_ridership,B.2. Low Ridership,,,,0.0,
2017-2018,2018,978,stars_operations_allocation,B,b3_transportation_coop,B.3. Transportation Co-op,,,,0.0,
2017-2018,2018,978,stars_operations_allocation,B,b4_esd,B.4. ESD,,,,0.0,
2017-2018,2018,978,stars_operations_allocation,B,b5_other,B.5. Other,,,,0.0,
2017-2018,2018,978,stars_operations_allocation,B,b6_alternate_system_total,B.6. Alternate System Total,,,,0.0,31875954.56
2017-2018,2018,978,stars_operations_allocation,C,c1_alt_calendar_modifier,C.1. Alt Calendar Modifier,,1.0,,,31875954.56
2017-2018,2018,978,stars_operations_allocation,C,c2_car_mileage_reimbursement,C.2. Car Mileage Reimbursement,,,,0.0,
2017-2018,2018,978,stars_operations_allocation,C,c3_other_adjustments_total,C.3. Other Adjustments Total,,,,0.0,31875954.56
2017-2018,2018,978,stars_operations_allocation,D,d1_adjusted_allocation,D.1. Adjusted Allocation,,,,31875954.56,
2017-2018,2018,978,stars_operations_allocation,D,d2_prior_year_expenditures,D.2. Prior Year Expenditures,,,,31790460.0,
2017-2018,2018,978,stars_operations_allocation,D,d3_federal_restricted_rate_indirects,D.3. Federal Restricted Rate Indirects,,,,1268439.35,
2017-2018,2018,978,stars_operations_allocation,D,d4_adjusted_prior_year_expenditures,D.4. Adjusted Prior Year Expenditures,,,,33058899.35,
2017-2018,2018,978,stars_operations_allocation,D,d5_lesser_of_adjusted_or_prior_year,D.5. Lesser of Adjusted Allocation or Adjusted Prior Year Expenditures,,,,31875954.56,
2017-2018,2018,978,stars_operations_allocation,D,d6_legislative_salary,D.6. Legislative Salary,,,,422414.28,
2017-2018,2018,978,stars_operations_allocation,D,d7_legislative_benefit,D.7. Legislative Benefit,,,,89129.41,
2017-2018,2018,978,stars_operations_allocation,D,d8_actual_allocation_amount,D.8. ACTUAL ALLOCATION AMOUNT,,,,32387498.25,
2018-2019,2019,2807,stars_operations_allocation,A,land_area,Land Area (Ln),85.5,0.05063,0.22522,,
2018-2019,2019,2807,stars_operations_allocation,A,average_distance,Average Distance,2.26087,0.0482,0.10897,,
2018-2019,2019,2807,stars_operations_allocation,A,destinations,Destinations,105.5,0.01322,1.39471,,
2018-2019,2019,2807,stars_operations_allocation,A,basic_program,Basic Program (Ln),18962.13,0.66182,6.51909,,
2018-2019,2019,2807,stars_operations_allocation,A,special_program,Special Program (Ln),4967.0,0.11903,1.01304,,
2018-2019,2019,2807,stars_operations_allocation,A,non_high_yes,Non-High Yes,,0.0,0.0,,
2018-2019,2019,2807,stars_operations_allocation,A,non_high_no,Non-High No,,-0.28244,0.0,,
2018-2019,2019,2807,stars_operations_allocation,A,a1_sum_calculated_values,A.1. Sum of Calculated Values,,,9.26104,,
2018-2019,2019,2807,stars_operations_allocation,A,a2_expected_allocation_constant,A.2. Expected Allocation Constant Value,,,7.95283,,
2018-2019,2019,2807,stars_operations_allocation,A,a3_expected_allocation_value,A.3. Expected Allocation Value,,,17.21387,,
2018-2019,2019,2807,stars_operations_allocation,A,a4_initial_allocation,A.4. Initial Allocation,,,,29914910.38,
2018-2019,2019,2807,stars_operations_allocation,A,a5_local_characteristics_factor,A.5. Local Characteristics Factor,,,1.0,,
2018-2019,2019,2807,stars_operations_allocation,A,a6_calculated_expected_allocation,A.6. CALCULATED EXPECTED ALLOCATION,,,,29914910.38,
2018-2019,2019,2807,stars_operations_allocation,B,b1_non_high,B.1. Non-High,,,,0.0,
2018-2019,2019,2807,stars_operations_allocation,B,b2_low_ridership,B.2. Low Ridership,,,,0.0,
2018-2019,2019,2807,stars_operations_allocation,B,b3_transportation_coop,B.3. Transportation Co-op,,,,0.0,
2018-2019,2019,2807,stars_operations_allocation,B,b4_esd,B.4. ESD,,,,0.0,
2018-2019,2019,2807,stars_operations_allocation,B,b5_other,B.5. Other,,,,0.0,
2018-2019,2019,2807,stars_operations_allocation,B,b6_alternate_system_total,B.6. Alternate System Total,,,,0.0,29914910.38
2018-2019,2019,2807,stars_operations_allocation,C,c1_alt_calendar_modifier,C.1. Alt Calendar Modifier,,1.0,,,29914910.38
2018-2019,2019,2807,stars_operations_allocation,C,c2_car_mileage_reimbursement,C.2. Car Mileage Reimbursement,,,,44.0,
2018-2019,2019,2807,stars_operations_allocation,C,c3_other_adjustments_total,C.3. Other Adjustments Total,,,,44.0,29914954.38
2018-2019,2019,2807,stars_operations_allocation,D,d1_adjusted_allocation,D.1. Adjusted Allocation,,,,29914954.38,
2018-2019,2019,2807,stars_operations_allocation,D,d2_prior_year_expenditures,D.2. Prior Year Expenditures,,,,33630114.24,
2018-2019,2019,2807,stars_operations_allocation,D,d3_federal_restricted_rate_indirects,D.3. Federal Restricted Rate Indirects,,,,1096341.72,
2018-2019,2019,2807,stars_operations_allocation,D,d4_adjusted_prior_year_expenditures,D.4. Adjusted Prior Year Expenditures,,,,34726455.96,
2018-2019,2019,2807,stars_operations_allocation,D,d5_lesser_of_adjusted_or_prior_year,D.5. Lesser of Adjusted Allocation or Adjusted Prior Year Expenditures,,,,29914954.38,
