school_year,class_of,_source_id,_source_table,quarter,metric_code,value
2017-2018,2018,1744,stars_quarterly_district,FALL,basic_students_on_buses,12546.0
2017-2018,2018,1744,stars_quarterly_district,FALL,basic_students_in_walk_areas,177.0
2017-2018,2018,1744,stars_quarterly_district,FALL,basic_students_transit_buses,8583.0
2017-2018,2018,1744,stars_quarterly_district,FALL,basic_students_total,20952.0
2017-2018,2018,1744,stars_quarterly_district,FALL,special_students_special_ed,2236.0
2017-2018,2018,1744,stars_quarterly_district,FALL,special_students_bilingual,236.0
2017-2018,2018,1744,stars_quarterly_district,FALL,special_students_gifted,2580.0
2017-2018,2018,1744,stars_quarterly_district,FALL,special_students_homeless,54.0
2017-2018,2018,1744,stars_quarterly_district,FALL,special_students_early_ed,135.0
2017-2018,2018,1744,stars_quarterly_district,FALL,special_students_total,5241.0
2017-2018,2018,1744,stars_quarterly_district,FALL,routes_basic,225.0
2017-2018,2018,1744,stars_quarterly_district,FALL,routes_special,344.0
2017-2018,2018,1744,stars_quarterly_district,FALL,routes_bilingual,12.0
2017-2018,2018,1744,stars_quarterly_district,FALL,routes_gifted,68.0
2017-2018,2018,1744,stars_quarterly_district,FALL,routes_homeless,13.0
2017-2018,2018,1744,stars_quarterly_district,FALL,routes_early_ed,47.0
2017-2018,2018,1744,stars_quarterly_district,FALL,routes_total,709.0
2017-2018,2018,1744,stars_quarterly_district,FALL,route_summary_destinations,108.0
2017-2018,2018,1744,stars_quarterly_district,FALL,route_summary_total_buses,377.0
2017-2018,2018,1744,stars_quarterly_district,FALL,route_summary_average_distance,2.27
2017-2018,2018,1744,stars_quarterly_district,FALL,buses_basic,145.0
2017-2018,2018,1744,stars_quarterly_district,FALL,buses_special,197.0
2017-2018,2018,1744,stars_quarterly_district,FALL,buses_bilingual,12.0
2017-2018,2018,1744,stars_quarterly_district,FALL,buses_gifted,62.0
2017-2018,2018,1744,stars_quarterly_district,FALL,buses_homeless,13.0
2017-2018,2018,1744,stars_quarterly_district,FALL,buses_early_ed,36.0
2017-2018,2018,1744,stars_quarterly_district,FALL,bus_summary_destinations,108.0
2017-2018,2018,1744,stars_quarterly_district,FALL,bus_summary_total_buses,377.0
2017-2018,2018,1745,stars_quarterly_district,SPRING,basic_students_on_buses,11609.0
2017-2018,2018,1745,stars_quarterly_district,SPRING,basic_students_in_walk_areas,214.0
2017-2018,2018,1745,stars_quarterly_district,SPRING,basic_students_transit_buses,8881.0
2017-2018,2018,1745,stars_quarterly_district,SPRING,basic_students_total,20276.0
2017-2018,2018,1745,stars_quarterly_district,SPRING,special_students_special_ed,2219.0
2017-2018,2018,1745,stars_quarterly_district,SPRING,special_students_bilingual,217.0
2017-2018,2018,1745,stars_quarterly_district,SPRING,special_students_gifted,2173.0
2017-2018,2018,1745,stars_quarterly_district,SPRING,special_students_homeless,20.0
2017-2018,2018,1745,stars_quarterly_district,SPRING,special_students_early_ed,364.0
2017-2018,2018,1745,stars_quarterly_district,SPRING,special_students_total,4993.0
2017-2018,2018,1745,stars_quarterly_district,SPRING,routes_basic,225.0
2017-2018,2018,1745,stars_quarterly_district,SPRING,routes_special,344.0
2017-2018,2018,1745,stars_quarterly_district,SPRING,routes_bilingual,12.0
2017-2018,2018,1745,stars_quarterly_district,SPRING,routes_gifted,68.0
