school_year,class_of,quarter,_source_id,_source_table,route_number,district_bus_number,state_bus_number,destination_name,stop_count,total_stops,average_distance,program
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0012-O,6013,209504,Beacon Hill Elementary,1,1,1.25,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0401-T,6239,203084,Clevland H.S.,5,5,2.45,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0402-T,6240,203123,Clevland H.S.,5,5,2.5,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0403-T,6241,203118,Clevland H.S.,3,3,2.59,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0404-T,6242,209889,Clevland H.S.,2,2,2.21,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0413-T,6215,209887,Chief Sealth International H.S.,4,4,3.19,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0414-T,6216,209876,Chief Sealth International H.S.,4,4,3.17,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0415-T,6217,203807,Chief Sealth International H.S.,3,3,3.87,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0423-T,6217,203807,Denny M.S.,5,5,3.29,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0424-T,6205,203725,Denny M.S.,3,3,3.91,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0425-T,6209,20366,Denny M.S.,2,2,3.16,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0426-T,6226,209933,Denny M.S.,8,8,1.88,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0427-T,6222,20384,Denny M.S.,1,1,1.59,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0428-T,6218,20225,Denny M.S.,1,1,1.46,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0429-T,6219,203789,Denny M.S.,1,1,1.21,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0431-T,6203,209603,Madison M.S.,11,11,2.49,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0433-T,6205,203725,Madison M.S.,5,5,2.24,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0434-T,6206,203104,Madison M.S.,7,7,2.57,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0438-T,6243,209496,Mercer M.S.,4,4,2.91,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0439-T,6244,21177,Mercer M.S.,3,3,2.38,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0440-T,6245,203126,Mercer M.S.,3,3,2.12,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0441-T,6246,20359,Mercer M.S.,6,6,2.19,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0443-T,6227,209248,Aki Kurose M.S.,10,10,2.89,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0444-T,6228,209888,Aki Kurose M.S.,2,2,2.05,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0445-T,6229,209970,Aki Kurose M.S.,5,5,1.67,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0446-T,6230,209903,Aki Kurose M.S.,7,7,3.38,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0447-T,6231,203111,Aki Kurose M.S.,8,8,2.41,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0448-T,6232,21612,Aki Kurose M.S.,3,3,1.3,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0449-T,6233,203729,Aki Kurose M.S.,7,7,2.45,basic
2017-2018,2018,FALL,1744,stars_quarterly_district_route,0450-T,6234,203113,Aki Kurose M.S.,6,6,1.33,basic
