school_year,destination_name,program,n_routes,n_route_rows,total_stops,avg_distance_mean,avg_distance_min,avg_distance_max
2017-2018,Adams Elementary,basic,2,6,24,0.9250000000000002,0.77,1.08
2017-2018,Adams Elementary,special_ed,4,12,63,2.275,1.15,3.47
2017-2018,Aki Kurose M.S.,basic,9,27,159,2.1011111111111114,1.3,3.38
2017-2018,Aki Kurose M.S.,special_ed,5,15,93,1.85,0.68,3.18
2017-2018,Alki Elementary,basic,2,6,45,1.47,1.13,1.81
2017-2018,Alki Elementary,special_ed,1,3,9,4.76,4.76,4.76
2017-2018,Arbor Heights Elementary,basic,2,6,63,1.45,1.24,1.66
2017-2018,Arbor Heights Elementary,gifted,1,3,24,2.0,2.0,2.0
2017-2018,Arbor Heights Elementary,special_ed,6,18,105,2.4433333333333334,0.92,4.59
2017-2018,B.F. Day Elementary,basic,3,9,75,0.8966666666666667,0.79,0.98
2017-2018,B.F. Day Elementary,special_ed,5,15,54,2.274,1.7,3.45
2017-2018,Bailey Gatzert Elementary,basic,1,3,12,1.1,1.1,1.1
2017-2018,Bailey Gatzert Elementary,homeless,2,6,15,2.335,0.49,4.18
2017-2018,Bailey Gatzert Elementary,special_ed,5,15,123,2.046,0.71,3.01
2017-2018,Ballard H.S.,basic,2,6,18,3.2750000000000004,3.1,3.45
2017-2018,Ballard H.S.,special_ed,7,21,75,2.105714285714286,0.72,4.92
2017-2018,Beacon Hill Elementary,basic,1,3,3,1.25,1.25,1.25
2017-2018,Broadview-Thompson K-8 School,basic,1,3,12,1.21,1.21,1.21
2017-2018,Broadview-Thompson K-8 School,early_ed,1,3,42,1.09,1.09,1.09
2017-2018,Broadview-Thompson K-8 School,gifted,1,3,21,1.59,1.59,1.59
2017-2018,Broadview-Thompson K-8 School,special_ed,5,15,93,1.8880000000000001,0.93,3.22
2017-2018,Bryant Elementary,basic,2,6,33,1.01,0.86,1.16
2017-2018,Bryant Elementary,special_ed,2,6,9,0.43,0.33,0.53
2017-2018,Cascadia Elementary,gifted,13,39,537,3.224615384615385,1.63,6.0
2017-2018,Catharine Blaine K-8 School,basic,2,6,39,1.075,0.92,1.23
2017-2018,Catharine Blaine K-8 School,homeless,1,3,3,3.99,3.99,3.99
2017-2018,Cedar Park Elementary,basic,1,3,30,1.32,1.32,1.32
2017-2018,Chief Sealth International H.S.,basic,3,9,33,3.41,3.17,3.87
2017-2018,Chief Sealth International H.S.,special_ed,6,18,123,1.7266666666666666,1.08,3.07
2017-2018,Clevland H.S.,basic,4,12,45,2.4375,2.21,2.59
2017-2018,Clevland H.S.,special_ed,4,12,42,2.5,1.44,3.65
2017-2018,Community Care Center - Contract Site,special_ed,1,3,3,5.77,5.77,5.77
2017-2018,Concord Elementary,basic,1,3,24,1.8099999999999998,1.81,1.81
2017-2018,Concord Elementary,early_ed,2,6,69,0.8850000000000001,0.77,1.0
2017-2018,Concord Elementary,special_ed,2,6,33,1.7,1.34,2.06
2017-2018,Daniel Bagley Elementary,basic,2,6,24,0.7400000000000001,0.68,0.8
2017-2018,Daniel Bagley Elementary,special_ed,5,15,54,2.0660000000000003,1.15,3.6
2017-2018,Dearborn Park Elementary,basic,1,3,9,1.1,1.1,1.1
2017-2018,Dearborn Park Elementary,special_ed,3,9,42,1.9933333333333334,0.78,3.88
2017-2018,Decatur Elementary,gifted,3,9,141,1.6066666666666667,1.37,1.73
2017-2018,Denny M.S.,basic,7,21,63,2.357142857142857,1.21,3.91
2017-2018,Denny M.S.,special_ed,6,18,135,1.7116666666666667,0.89,3.7
2017-2018,Dunlap Elementary,bilingual,1,3,30,1.23,1.23,1.23
2017-2018,Dunlap Elementary,early_ed,6,18,123,1.24,0.6,2.33
2017-2018,Dunlap Elementary,special_ed,1,3,27,1.18,1.18,1.18
2017-2018,Early Learning Center @ Old Van Asselt Bldg.,early_ed,4,12,87,1.7825,1.44,2.15
2017-2018,Eckstein M.S.,basic,3,9,42,2.1866666666666665,2.16,2.24
2017-2018,Eckstein M.S.,special_ed,5,15,84,1.462,0.68,1.89
2017-2018,Emerson Elementary,basic,2,6,36,0.8799999999999999,0.58,1.18
2017-2018,Emerson Elementary,early_ed,2,6,63,1.175,1.04,1.31
2017-2018,Emerson Elementary,special_ed,3,9,81,2.29,0.81,4.39
2017-2018,Experimental Education Unit,special_ed,9,27,147,5.418888888888889,2.39,10.24
2017-2018,Fairmount Park Elementary,basic,1,3,39,2.23,2.23,2.23
2017-2018,Fairmount Park Elementary,early_ed,4,12,24,2.0725000000000002,1.31,2.81
2017-2018,Fairmount Park Elementary,gifted,4,12,198,1.925,1.42,2.46
2017-2018,Fairmount Park Elementary,homeless,1,3,3,6.22,6.22,6.22
2017-2018,Fairmount Park Elementary,special_ed,1,3,12,1.37,1.37,1.37
2017-2018,Franklin H.S.,special_ed,5,15,99,1.8760000000000001,0.72,2.66
2017-2018,Frantz Coe Elementary,basic,1,3,15,1.17,1.17,1.17
2017-2018,Frantz Coe Elementary,homeless,1,3,3,10.05,10.05,10.05
2017-2018,Frantz Coe Elementary,special_ed,1,3,12,0.81,0.81,0.81
