school_code,school_and_district,Parsed Name
2138,Adams Elementary School - Seattle,Adams Elementary
3774,Aki Kurose Middle School - Seattle,Aki urose
2181,Alki Elementary School - Seattle,Alki Elementary
2730,Arbor Heights Elementary School - Seattle,Arbor Heights Elementary
3717,B F Day Elementary School - Seattle,B.F. ay Elementary
2307,Bailey Gatzert Elementary School - Seattle,Bailey Gatzert Elementary
2220,Ballard High School - Seattle,Ballard igh School
2070,Beacon Hill International School - Seattle,Beacon ill Intl. Elementary
5048,Birth to 3 Contracts - Seattle,Bryant Elementary
5406,Bridges Transition - Seattle,
2209,Broadview-Thomson K-8 School - Seattle,Broadview Thomson K-8
2372,Bryant Elementary School - Seattle,
1751,Cascade Parent Partnership Program - Seattle,Cascade K-12 Parent Partnership
5649,Cascade Parent Partnership Program - Seattle,
5292,Cascadia Elementary - Seattle,Cascadia Elementrary
2838,Catharine Blaine K-8 School - Seattle,Catharine Blaine K-8
5487,Cedar Park Elementary School - Seattle,Cedar Park Elementary
3096,Chief Sealth International High School - Seattle,Chief Sealth Intl. igh School
2392,Cleveland High School STEM - Seattle,Cleveland STE
2199,Concord International School - Seattle,Concord Intl. Elementary
2450,Daniel Bagley Elementary School - Seattle,aniel Bagley Elementary
2839,David T. Denny International Middle School - Seattle,enny Intl.
3803,Dearborn Park International School - Seattle,Dearborn Park Intl. Elementary
5488,Decatur Elementary School - Seattle,ecatur Elementary
1002,District Office -  Seattle School District 001,
2321,Dunlap Elementary School - Seattle,unlap Elementary
2729,Eckstein Middle School - Seattle,Eckstein Middle School
2118,Emerson Elementary School - Seattle,Emerson Elementary
3518,Fairmount Park Elementary School - Seattle,Fairmount Park Elementary
2182,Franklin High School - Seattle,Franklin igh School
2090,Frantz Coe Elementary School - Seattle,Franz Coe Elementary
2306,Garfield High School - Seattle,arfield igh School
2139,Gatewood Elementary School - Seattle,Gatewood Elementary
3429,Genesee Hill Elementary - Seattle,enesse ill Elementary
3378,Graham Hill Elementary School - Seattle,raham ill Elementary
2061,Green Lake Elementary School - Seattle,reen ake Elementary
2123,Greenwood Elementary School - Seattle,Greenwood Elementary
2371,Hamilton International Middle School - Seattle,amilton Intl.
4248,Hawthorne Elementary School - Seattle - Seattle,awthorne Elementary
5175,Hazel Wolf K-8 - Seattle,Hazel Wolf STEM K-8
2269,Highland Park Elementary School - Seattle,ighland Park Elementary
4277,Hutch School - Seattle,
3276,Ingraham High School - Seattle,ngraham igh School
3496,Interagency Detention School - Seattle,
5405,Interagency Open Doors - Seattle,
1635,Interagency Programs - Seattle,nteragency
5351,Jane Addams Middle School - Seattle,Jane Addams Middle School
2063,John Hay Elementary School - Seattle,John Hay Elementary
2143,John Muir Elementary School - Seattle,John
2975,John Rogers Elementary School - Seattle,John Rogers Elementary
2081,John Stanford International School - Seattle,John Stanford Elementary
3478,Kimball Elementary School - Seattle,Kimball Elementary
2733,Lafayette Elementary School - Seattle,Lafayette Elementary
2437,Laurelhurst Elementary School - Seattle,Laurelhurst Elementary
2183,Lawton Elementary School - Seattle,awton Elementary
2121,Leschi Elementary School - Seattle,Leschi Elementary
3874,Licton Springs K-8 - Seattle,Licton Springs K-8
5566,Lincoln High School - Seattle,Lincoln igh School
5276,Louisa Boren STEM K-8 - Seattle,Louisa Boren STEM K-8
3714,Lowell Elementary School - Seattle,owell Elementary
2462,Loyal Heights Elementary School - Seattle,Loyal eights Elementary
2435,Madison Middle School - Seattle,adison
