alias_key,canonical_name,vendor_class,note
# Hand-maintained vendor alias / classification table for extractors.sps_web.vendors.
# alias_key   free text; it is run through vendors.canonical_key() at load time, so
#             write it the way it appears in the documents (punctuation is ignored).
# canonical_name  the display name every alias collapses into. A row whose alias_key
#             equals its canonical_name is a pure class assertion (no merge).
# vendor_class  government | cooperative | contractor | nonprofit | school_placement
#             | labor_union | not_a_vendor | unknown
# note        why. Keep it short.
# Edit freely; rerun `venv/bin/python3 -m extractors.sps_web.vendors`.
#
# --- strings that are never a vendor -------------------------------------------
Seattle Public Schools,Seattle Public Schools,not_a_vendor,the district itself is never the counterparty
Seattle School District No. 1,Seattle Public Schools,not_a_vendor,the district itself
Seattle Public Schools and the Community Advisory Committee,Seattle Public Schools,not_a_vendor,E1 capture of the district
XXX,,not_a_vendor,redacted/blank vendor slot in the agenda text
Bid No,,not_a_vendor,E1 regex captured the bid-number label
Bid No. B06691,,not_a_vendor,bid number not a vendor
Bid No. B11824,,not_a_vendor,bid number not a vendor
Bid No. B11927,,not_a_vendor,bid number not a vendor
Project,,not_a_vendor,generic word captured by E1
Proposal,,not_a_vendor,generic word captured by E1
Local,,not_a_vendor,truncated union local
Local Union,,not_a_vendor,truncated union local
Directors,,not_a_vendor,truncated - blank vendor slot in a draft agenda item
Board Governance Policy Manual,,not_a_vendor,policy document
Board's,,not_a_vendor,fragment
Math,,not_a_vendor,fragment of an instructional-materials title
White,,not_a_vendor,fragment
Seattle,,not_a_vendor,fragment
City,,not_a_vendor,fragment
Association,,not_a_vendor,fragment
Lloyd,,not_a_vendor,fragment of a roofing item; true vendor unknown
Machinists,,not_a_vendor,fragment of a union name
Teamsters,,not_a_vendor,fragment of a union name
IEPs,,not_a_vendor,fragment
CARES Act,,not_a_vendor,funding source not a vendor
Teacher Incentive Fund,,not_a_vendor,federal grant not a vendor
Disabilities Education Act,,not_a_vendor,statute
New Student Assignment Plan,,not_a_vendor,policy
Growth Boundaries,,not_a_vendor,policy
Community Advisory Committee,,not_a_vendor,internal committee
BEX/BTA Oversight Committee,,not_a_vendor,internal committee
Contracted Bus Service,,not_a_vendor,service description
Relocate and Setup Portable Classrooms,,not_a_vendor,scope of work
Interior and Mechanical Upgrades,,not_a_vendor,scope of work
Interior and Mechanical Upgrades and Waterline Remedia-tion,,not_a_vendor,scope of work
Waterline Replacement,,not_a_vendor,scope of work
Reroofing and Interior Renovations,,not_a_vendor,scope of work
Upgrades Phase II,,not_a_vendor,scope of work
