# Durable vendor merge decisions for extractors.sps_web.vendors (card F1).
# This file is the system of record: it is in the repo, hand-editable, and read on
# every run. out_sps_web/contracts/vendors_review.csv is a scratch worksheet that
# only ever lists UNDECIDED proposals; any approve mark written there is harvested
# into this file after the run and then disappears from the worksheet.
#
# key_a,key_b   canonical keys (vendors.canonical_key output), stored in sorted
#               order and matched unordered. They are only stable as long as
#               canonical_key() is stable -- see the module docstring. A key that
#               matches no current vendor group is warned about, not fatal.
# decision      y = merge the two groups (larger one survives)
#               n = never propose this pair again
# canonical_a/b display names at the time of the decision, for human context only
# note          why
key_a,key_b,decision,canonical_a,canonical_b,note
cdk construction services,construction services,n,CDK Construction Services Inc.,Construction Services Inc.,seeded from vendors_review.csv 2026-08-25
city of seattle,city of seattle department of education,n,City of Seattle,City of Seattle Department of Education,seeded from vendors_review.csv 2026-08-25
city of seattle,city of seattle department of parks,n,City of Seattle,City of Seattle Department of Parks,seeded from vendors_review.csv 2026-08-25
city of seattle,city of seattle office of arts and culture,n,City of Seattle,City of Seattle Office of Arts and Culture,seeded from vendors_review.csv 2026-08-25
city of seattle,city of seattle parks,n,City of Seattle,City of Seattle Parks,seeded from vendors_review.csv 2026-08-25
city of seattle,city of seattle parks and recreation,n,City of Seattle,City of Seattle Parks and Recreation,seeded from vendors_review.csv 2026-08-25
city of seattle,city year of seattle,n,City of Seattle,City Year of Seattle,seeded from vendors_review.csv 2026-08-25
city of seattle department of education,department of education,n,City of Seattle Department of Education,Department of Education,seeded from vendors_review.csv 2026-08-25
construction services,rife construction services,n,Construction Services Inc.,Rife Construction Services LLC,seeded from vendors_review.csv 2026-08-25
department of education,seattle department of education,n,Department of Education,Seattle Department of Education,seeded from vendors_review.csv 2026-08-25
group health,group health options,n,Group Health,Group Health Options Inc.,seeded from vendors_review.csv 2026-08-25
group health,group health options group health cooperative,n,Group Health,"Group Health Options, Inc., Group Health Cooperative",seeded from vendors_review.csv 2026-08-25
king county,king county developmental disabilities division,n,King County,King County Developmental Disabilities Division,seeded from vendors_review.csv 2026-08-25
king county,king county directors association,n,King County,King County Directors' Association,seeded from vendors_review.csv 2026-08-25
king county,king county metro,n,King County,King County Metro,seeded from vendors_review.csv 2026-08-25
king county,public health seattle and king county,n,King County,Public Health - Seattle & King County,seeded from vendors_review.csv 2026-08-25
king county,seattle king county building and construction trades council,n,King County,Seattle/King County Building and Construction Trades Council,seeded from vendors_review.csv 2026-08-25
king county,seattle king county building trades council,n,King County,Seattle/King County Building Trades Council,seeded from vendors_review.csv 2026-08-25
northwest education association,northwest evaluation association,n,Northwest Education Association,Northwest Evaluation Association,seeded from vendors_review.csv 2026-08-25
overlake hospital specialty school,school specialty,n,Overlake Hospital Specialty School,School Specialty,seeded from vendors_review.csv 2026-08-25
rainier beach,rainier beach high school athletic field improvements,n,Rainier Beach,Rainier Beach High School Athletic Field Improvements,seeded from vendors_review.csv 2026-08-25
university of washington,university of washington experimental education unit,n,University of Washington,University of Washington Experimental Education Unit,seeded from vendors_review.csv 2026-08-25
university of washington,university of washington haring center,n,University of Washington,University of Washington Haring Center,seeded from vendors_review.csv 2026-08-25
africatown center for education,africatown center for education and innovation,y,Africatown Center for Education,Africatown Center for Education & Innovation,seeded from vendors_review.csv 2026-08-25
childrens institute,childrens institute for learning differences,y,Children’s Institute,Children’s Institute for Learning Differences,seeded from vendors_review.csv 2026-08-25
childrens institute,childrens institute of learning differences,y,Children’s Institute,Children's Institute of Learning Differences,seeded from vendors_review.csv 2026-08-25
childrens institute for learning differences,childrens institute of learning differences,y,Children’s Institute for Learning Differences,Children's Institute of Learning Differences,seeded from vendors_review.csv 2026-08-25
city of seattle department of education,seattle department of education,y,City of Seattle Department of Education,Seattle Department of Education,seeded from vendors_review.csv 2026-08-25
city of seattle department of parks,city of seattle parks,y,City of Seattle Department of Parks,City of Seattle Parks,seeded from vendors_review.csv 2026-08-25
city of seattle department of parks,seattle parks,y,City of Seattle Department of Parks,Seattle Parks,seeded from vendors_review.csv 2026-08-25
city of seattle parks,city of seattle parks and recreation,y,City of Seattle Parks,City of Seattle Parks and Recreation,seeded from vendors_review.csv 2026-08-25
city of seattle parks,seattle parks,y,City of Seattle Parks,Seattle Parks,seeded from vendors_review.csv 2026-08-25
city of seattle parks and recreation,seattle parks,y,City of Seattle Parks and Recreation,Seattle Parks,seeded from vendors_review.csv 2026-08-25
construction service,construction services,y,"Construction Service, Inc.",Construction Services Inc.,seeded from vendors_review.csv 2026-08-25
duck delivery,duck delivery of washington,y,Duck Delivery,Duck Delivery of Washington Inc.,seeded from vendors_review.csv 2026-08-25
first student,first students,y,First Student Inc.,First Students’,seeded from vendors_review.csv 2026-08-25
group health options,group health options group health cooperative,y,Group Health Options Inc.,"Group Health Options, Inc., Group Health Cooperative",seeded from vendors_review.csv 2026-08-25
league of education voters,league of education voters foundation,y,League of Education Voters,League of Education Voters Foundation,user approval lost when vendors_review.csv was rewritten
lloyd lynch general contractors,lynch general contractors,y,"Lloyd Lynch General Contractor, Inc.","Lynch General Contractors, Inc.",seeded from vendors_review.csv 2026-08-25
mike welech construction,mike werlech construction,y,"Mike Welech Construction, Inc.",Mike Werlech Construction Inc.,seeded from vendors_review.csv 2026-08-25
neeley construction,neeley construction and cabinet,y,Neeley Construction,Neeley Construction and Cabinet Company,seeded from vendors_review.csv 2026-08-25
r c zeigler,rc zeigler,y,R. C. Zeigler Company Inc.,R.C. Zeigler Company Inc.,seeded from vendors_review.csv 2026-08-25
recology cleanscapes,reconology cleanscapes,y,Recology CleanScapes,"Reconology Cleanscapes, Inc.",seeded from vendors_review.csv 2026-08-25
republic parking,republic parking northwest,y,Republic Parking,Republic Parking Northwest,seeded from vendors_review.csv 2026-08-25
seattle king county building and construction trades council,seattle king county building trades council,y,Seattle/King County Building and Construction Trades Council,Seattle/King County Building Trades Council,seeded from vendors_review.csv 2026-08-25
western venture construction,western ventures construction,y,Western Venture Construction,Western Ventures Construction Inc.,seeded from vendors_review.csv 2026-08-25
